Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 29, 2022","2,116","102,515",,
"Jul 30, 2022","2,694","128,721",,
"Jul 31, 2022","3,045","199,909",,
"Aug 01, 2022","3,327","312,168",,
"Aug 02, 2022","3,554","317,241",,
"Aug 03, 2022","3,781","702,996",,
"Aug 04, 2022","3,951","711,078",,
"Aug 05, 2022","4,073","714,224",,
"Aug 06, 2022","4,176","713,072",,
"Aug 07, 2022","4,239","637,103",,
"Aug 08, 2022","4,328","745,526",,
"Aug 09, 2022","4,401","746,550",,
"Aug 10, 2022","4,492","751,964",,
"Aug 11, 2022","4,600","756,654",,
"Aug 12, 2022","4,678","759,285",,
"Aug 13, 2022","4,736","761,942",,
"Aug 14, 2022","4,779","703,732",,
"Aug 15, 2022","4,868","704,883",,
"Aug 16, 2022","4,981","725,186",,
"Aug 17, 2022","5,067","733,195",,
"Aug 18, 2022","5,126","733,506",,
"Aug 19, 2022","5,203","737,475",,
"Aug 20, 2022","5,244","739,004",,
"Aug 21, 2022","5,280","740,496",,
"Aug 22, 2022","5,317","747,801",,
"Aug 23, 2022","5,361","750,253",,
"Aug 24, 2022","5,402","654,177",,
"Aug 25, 2022","5,434","761,971",,
"Aug 26, 2022","5,469","767,073",,
"Aug 27, 2022","5,504","665,264",,
"Aug 28, 2022","5,536","774,899",,
"Aug 29, 2022","5,565","779,485",,
"Aug 30, 2022","5,592","784,460",,
"Aug 31, 2022","5,615","788,008",,
"Sep 01, 2022","5,651","790,012",,
"Sep 02, 2022","5,683","793,006",,
"Sep 03, 2022","5,722","798,688",,
"Sep 04, 2022","5,742","798,431",,
"Sep 05, 2022","5,763","798,973",,
"Sep 06, 2022","5,784","802,175",,
"Sep 07, 2022","5,804","804,392",,
"Sep 08, 2022","5,830","808,402",,
"Sep 09, 2022","5,860","810,107",,
"Sep 10, 2022","5,871","811,694",,
"Sep 11, 2022","5,894","813,627",,
"Sep 12, 2022","5,919","814,608",,
"Sep 13, 2022","5,942","815,695",,
"Sep 14, 2022","5,957","816,679",,
"Sep 15, 2022","5,988","818,553",,
"Sep 16, 2022","6,016","820,516",,
"Sep 17, 2022","6,032","821,763",,
"Sep 18, 2022","6,045","822,602",,
"Sep 19, 2022","6,062","823,631",,
"Sep 20, 2022","6,086","824,823",,
"Sep 21, 2022","6,110","827,118",,
"Sep 22, 2022","6,129","829,265",,
"Sep 23, 2022","6,153","830,827",,
"Sep 24, 2022","6,170","832,821",,
"Sep 25, 2022","6,188","834,011",,
"Sep 26, 2022","6,205","837,870",,
"Sep 27, 2022","6,232","839,300",,
"Sep 28, 2022","6,253","866,182",,
"Sep 29, 2022","6,271","867,695",,
"Sep 30, 2022","6,293","870,085",,
"Oct 01, 2022","6,309","872,135",,
"Oct 02, 2022","6,330","873,207",,
"Oct 03, 2022","6,355","873,713",,
"Oct 04, 2022","6,374","874,813",,
"Oct 05, 2022","6,397","876,355",,
"Oct 06, 2022","6,411","877,615",,
"Oct 07, 2022","6,431","880,262",,
"Oct 08, 2022","6,440","779,192",,
"Oct 09, 2022","6,449","885,616",,
"Oct 10, 2022","6,467","883,586",,
"Oct 11, 2022","6,483","777,782",,
"Oct 12, 2022","6,499","778,741",,
"Oct 13, 2022","6,519","779,415",,
"Oct 14, 2022","6,527","781,109",,
"Oct 15, 2022","6,549","782,172",,
"Oct 16, 2022","6,562","810,301",,
"Oct 17, 2022","6,579","919,246",,
"Oct 18, 2022","6,603","899,156",,
"Oct 19, 2022","6,618","903,616",,
"Oct 20, 2022","6,628","906,132",,
"Oct 21, 2022","6,645","908,009",,
"Oct 22, 2022","6,658","914,872",,
"Oct 23, 2022","6,666","915,461",,
"Oct 24, 2022","6,675","916,449",,
"Oct 25, 2022","6,688","917,609",,
"Oct 26, 2022","6,709","919,442",,
"Oct 27, 2022","6,718","920,409",,
"Oct 28, 2022","6,726","917,277",,
"Oct 29, 2022","6,739","917,433",,
"Oct 30, 2022","6,742","920,320",,
"Oct 31, 2022","6,752","921,042",,
"Nov 01, 2022","6,762","921,905",,
"Nov 02, 2022","6,770","922,687",,
"Nov 03, 2022","6,774","919,165",,
"Nov 04, 2022","6,792","921,726",,
"Nov 05, 2022","6,801","922,341",,
"Nov 06, 2022","6,808","923,467",,
"Nov 07, 2022","6,822","924,168",,
"Nov 08, 2022","6,835","924,919",,
"Nov 09, 2022","6,847","925,724",,
"Nov 10, 2022","6,851","926,551",,
"Nov 11, 2022","6,858","929,090",,
"Nov 12, 2022","6,859","930,149",,
"Nov 13, 2022","6,845","819,911",,
"Nov 14, 2022","6,849","820,827",,
"Nov 15, 2022","6,841","822,086",,
"Nov 16, 2022","6,844","823,289",,
"Nov 17, 2022","6,839","822,808",,
"Nov 18, 2022","6,769","829,127",,
"Nov 19, 2022","6,782","831,106",,
"Nov 20, 2022","6,801","833,259",,
"Nov 21, 2022","6,821","834,536",,
"Nov 22, 2022","6,831","835,447",,
"Nov 23, 2022","6,835","835,402",,
"Nov 24, 2022","6,850","836,720",,
"Nov 25, 2022","6,869","837,805",,
"Nov 26, 2022","6,877","836,346",,
"Nov 27, 2022","6,890","838,327",,
"Nov 28, 2022","6,919","840,921",,
"Nov 29, 2022","6,933","840,134",,
"Nov 30, 2022","6,958","841,236",,
"Dec 01, 2022","6,971","841,535",,
"Dec 02, 2022","6,982","842,933",,
"Dec 03, 2022","6,901","837,675",,
"Dec 04, 2022","6,894","839,807",,
"Dec 05, 2022","6,808","825,646",,
"Dec 06, 2022","6,796","839,001",,
"Dec 07, 2022","6,716","833,112",,
"Dec 08, 2022","6,685","830,557",,
"Dec 09, 2022","6,645","824,711",,
"Dec 10, 2022","6,646","824,403",,
"Dec 11, 2022","6,616","787,570",,
"Dec 12, 2022","6,649","810,659",,
"Dec 13, 2022","6,652","808,751",,
"Dec 14, 2022","6,657","808,290",,
"Dec 15, 2022","6,653","799,788",,
"Dec 16, 2022","6,674","796,014",,
"Dec 17, 2022","6,660","790,227",,
"Dec 18, 2022","6,683","771,699",,
"Dec 19, 2022","6,733","793,685",,
"Dec 20, 2022","6,740","794,432",,
"Dec 21, 2022","6,757","809,777",,
"Dec 22, 2022","6,745","766,107",,
"Dec 23, 2022","6,749","772,788",,
"Dec 24, 2022","6,679","754,548",,
"Dec 25, 2022","6,559","752,922",,
"Dec 26, 2022","6,470","782,008",,
"Dec 27, 2022","6,372","778,764",,
"Dec 28, 2022","6,309","795,664",,
"Dec 29, 2022","6,200","809,747",,
"Dec 30, 2022","6,124","822,250",,
"Dec 31, 2022","6,058","808,428",,
"Jan 01, 2023","5,999","775,674",,
"Jan 02, 2023","6,017","822,056",,
"Jan 03, 2023","5,952","797,801",,
"Jan 04, 2023","5,884","772,130",,
"Jan 05, 2023","5,769","686,818",,
"Jan 06, 2023","5,668","644,115",,
"Jan 07, 2023","5,669","644,126",,
"Jan 08, 2023","5,669","645,490",,
"Jan 09, 2023","5,661","639,721",,
"Jan 10, 2023","5,712","719,566",,
"Jan 11, 2023","5,821","853,077",,
"Jan 12, 2023","5,866","854,115",,
"Jan 13, 2023","5,900","863,888",,
"Jan 14, 2023","5,921","868,848",,
"Jan 15, 2023","5,947","873,393",,
"Jan 16, 2023","8,314","910,303",,
"Jan 17, 2023","8,324","911,055",,
"Jan 18, 2023","8,339","913,884",,
"Jan 19, 2023","8,349","914,773",,
"Jan 20, 2023","8,357","915,695",,
"Jan 21, 2023","8,364","916,604",,
"Jan 22, 2023","8,373","919,389",,
"Jan 23, 2023","8,375","920,129",,
"Jan 24, 2023","8,379","922,488",,
"Jan 25, 2023","8,389","924,155",,
"Jan 26, 2023","8,402","924,741",,
"Jan 27, 2023","8,407","926,611",,
"Jan 28, 2023","8,412","927,517",,
"Jan 29, 2023","8,422","928,599",,
"Jan 30, 2023","8,423","928,683",,
"Jan 31, 2023","8,428","929,490",,
"Feb 01, 2023","8,435","930,188",,
"Feb 02, 2023","8,437","929,257",,
"Feb 03, 2023","8,446","932,199",,
"Feb 04, 2023","8,450","932,829",,
"Feb 05, 2023","8,463","934,164",,
"Feb 06, 2023","8,466","897,227",,
"Feb 07, 2023","8,473","897,975",,
"Feb 08, 2023","8,479","899,636",,
"Feb 09, 2023","8,489","900,551",,
"Feb 10, 2023","8,492","901,394",,
"Feb 11, 2023","8,496","902,277",,
"Feb 12, 2023","8,491","903,087",,
"Feb 13, 2023","8,495","903,968",,
"Feb 14, 2023","8,501","904,813",,
"Feb 15, 2023","8,504","913,056",,
"Feb 16, 2023","8,506","908,448",,
"Feb 17, 2023","8,515","969,896",,
"Feb 18, 2023","8,520","970,724",,
"Feb 19, 2023","8,519","971,643",,
"Feb 20, 2023","8,521","972,569",,
"Feb 21, 2023","8,520","973,491",,
"Feb 22, 2023","8,517","974,241",,
"Feb 23, 2023","8,517","975,046",,
"Feb 24, 2023","8,521","975,942",,
"Feb 25, 2023","8,521","976,698",,
"Feb 26, 2023","8,522","977,770",,
"Feb 27, 2023","8,519","917,839",,
"Mar 01, 2023","8,507","912,581",,
"Mar 02, 2023","8,526","919,661",,
"Mar 03, 2023","8,545","920,696",,
"Mar 04, 2023","8,561","921,999",,
"Mar 05, 2023","8,570","929,225",,
"Mar 06, 2023","8,587","929,930",,
"Mar 07, 2023","8,605","931,074",,
"Mar 08, 2023","8,625","928,546",,
"Mar 09, 2023","8,627","929,158",,
"Mar 10, 2023","8,637","923,730",,
"Mar 11, 2023","8,655","925,008",,
"Mar 12, 2023","8,672","926,335",,
"Mar 13, 2023","8,688","927,308",,
"Mar 14, 2023","8,695","934,387",,
"Mar 15, 2023","8,709","935,308",,
"Mar 16, 2023","8,721","929,837",,
"Mar 17, 2023","8,733","931,535",,
"Mar 18, 2023","8,750","941,139",,
"Mar 19, 2023","8,764","943,524",,
"Mar 20, 2023","8,778","945,979",,
"Mar 21, 2023","8,797","948,792",,
"Mar 22, 2023","8,814","951,132",,
"Mar 23, 2023","8,825","952,939",,
"Mar 24, 2023","8,846","953,092",,
"Mar 25, 2023","8,873","954,731",,
"Mar 26, 2023","8,895","956,066",,
"Mar 27, 2023","8,913","1,019,333",,
"Mar 28, 2023","8,924","1,019,331",,
"Mar 29, 2023","8,938","1,028,904",,
"Mar 30, 2023","8,956","1,033,348",,
"Mar 31, 2023","8,969","1,034,537",,
"Apr 01, 2023","8,987","1,035,945",,
"Apr 02, 2023","9,011","1,037,017",,
"Apr 03, 2023","9,031","1,037,515",,
"Apr 04, 2023","9,045","973,696",,
"Apr 05, 2023","9,069","978,345",,
"Apr 06, 2023","9,087","979,246",,
"Apr 07, 2023","9,105","980,056",,
"Apr 08, 2023","9,135","981,200",,
"Apr 09, 2023","9,152","981,878",,
"Apr 10, 2023","9,178","981,738",,
"Apr 11, 2023","9,196","982,612",,
"Apr 12, 2023","9,216","983,517",,
"Apr 13, 2023","9,233","984,354",,
"Apr 14, 2023","9,267","986,632",,
"Apr 15, 2023","9,295","988,635",,
"Apr 16, 2023","9,313","989,937",,
"Apr 17, 2023","9,329","963,868",,
"Apr 18, 2023","9,349","964,885",,
"Apr 19, 2023","9,372","966,103",,
"Apr 20, 2023","9,404","967,140",,
"Apr 21, 2023","9,433","968,028",,
"Apr 22, 2023","9,464","969,195",,
"Apr 23, 2023","9,489","969,959",,
"Apr 24, 2023","9,505","970,850",,
"Apr 25, 2023","9,539","971,653",,
"Apr 26, 2023","9,564","966,254",,
"Apr 27, 2023","9,597","973,485",,
"Apr 28, 2023","9,626","968,027",,
"Apr 29, 2023","9,655","969,181",,
"Apr 30, 2023","9,681","970,990",,
"May 01, 2023","9,715","972,351",,
"May 02, 2023","9,747","973,078",,
"May 03, 2023","9,769","980,873",,
"May 04, 2023","9,799","981,731",,
"May 05, 2023","9,822","981,678",,
"May 06, 2023","9,868","982,813",,
"May 07, 2023","9,909","984,106",,
"May 08, 2023","9,935","984,979",,
"May 09, 2023","9,954","982,846",,
"May 10, 2023","9,974","984,001",,
"May 11, 2023","10,000","985,413",,
"May 12, 2023","10,036","986,704",,
