"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",28307397,69461
"2023-05-13 00:00:00",28237936,67726
"2023-05-12 00:00:00",28170210,68011
"2023-05-11 00:00:00",28102199,67457
"2023-05-10 00:00:00",28034742,0
"2023-05-09 00:00:00",28034742,119443
"2023-05-08 00:00:00",27915299,59190
"2023-05-07 00:00:00",27856109,0
"2023-05-06 00:00:00",27856109,140406
"2023-05-05 00:00:00",27715703,68578
"2023-05-04 00:00:00",27647125,67512
"2023-05-03 00:00:00",27579613,31877
"2023-05-02 00:00:00",27547737,31877
"2023-05-01 00:00:00",27515860,90440
"2023-04-30 00:00:00",27425421,90440
"2023-04-29 00:00:00",27334981,71784
"2023-04-28 00:00:00",27263197,70731
"2023-04-27 00:00:00",27192466,70079
"2023-04-26 00:00:00",27122387,0
"2023-04-25 00:00:00",27122387,122148
"2023-04-24 00:00:00",27000239,0
"2023-04-23 00:00:00",27000239,130112
"2023-04-22 00:00:00",26870127,70793
"2023-04-21 00:00:00",26799334,0
"2023-04-20 00:00:00",26799334,140120
"2023-04-19 00:00:00",26659214,70167
"2023-04-18 00:00:00",26589047,55411
"2023-04-17 00:00:00",26533636,58549
"2023-04-16 00:00:00",26475087,0
"2023-04-15 00:00:00",26475087,138648
"2023-04-14 00:00:00",26336439,68182
"2023-04-13 00:00:00",26268257,68413
"2023-04-12 00:00:00",26199844,63085
"2023-04-11 00:00:00",26136759,53225
"2023-04-10 00:00:00",26083534,58719
"2023-04-09 00:00:00",26024815,62986
"2023-04-08 00:00:00",25961829,71102
"2023-04-07 00:00:00",25890727,68459
"2023-04-06 00:00:00",25822268,68409
"2023-04-05 00:00:00",25753859,68007
"2023-04-04 00:00:00",25685852,56475
"2023-04-03 00:00:00",25629377,61370
"2023-04-02 00:00:00",25568007,71572
"2023-04-01 00:00:00",25496435,71969
"2023-03-31 00:00:00",25424466,72119
"2023-03-30 00:00:00",25352347,72203
"2023-03-29 00:00:00",25280144,71657
"2023-03-28 00:00:00",25208487,60003
"2023-03-27 00:00:00",25148484,63829
"2023-03-26 00:00:00",25084655,0
"2023-03-25 00:00:00",25084655,148988
"2023-03-24 00:00:00",24935667,75216
"2023-03-23 00:00:00",24860451,75620
"2023-03-22 00:00:00",24784831,74167
"2023-03-21 00:00:00",24710664,59999
"2023-03-20 00:00:00",24650665,63746
"2023-03-19 00:00:00",24586919,74705
"2023-03-18 00:00:00",24512214,76906
"2023-03-17 00:00:00",24435308,76532
"2023-03-16 00:00:00",24358776,73034
"2023-03-15 00:00:00",24285742,71161
"2023-03-14 00:00:00",24214581,59951
"2023-03-13 00:00:00",24154630,64277
"2023-03-12 00:00:00",24090353,74335
"2023-03-11 00:00:00",24016018,0
