Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 29, 2022","1,671","78,403",,
"Jul 30, 2022","2,099","99,680",,
"Jul 31, 2022","2,352","108,434",,
"Aug 01, 2022","2,580","110,558",,
"Aug 02, 2022","2,719","117,410",,
"Aug 03, 2022","2,863","144,811",,
"Aug 04, 2022","2,984","148,142",,
"Aug 05, 2022","3,088","150,414",,
"Aug 06, 2022","3,148","161,252",,
"Aug 07, 2022","3,210","263,856",,
"Aug 08, 2022","3,279","265,799",,
"Aug 09, 2022","3,316","266,928",,
"Aug 10, 2022","3,366","269,464",,
"Aug 11, 2022","3,398","267,260",,
"Aug 12, 2022","3,443","276,594",,
"Aug 13, 2022","3,477","278,715",,
"Aug 14, 2022","3,498","290,716",,
"Aug 15, 2022","3,524","291,043",,
"Aug 16, 2022","3,559","304,812",,
"Aug 17, 2022","3,600","307,093",,
"Aug 18, 2022","3,631","340,899",,
"Aug 19, 2022","3,658","343,489",,
"Aug 20, 2022","3,675","344,260",,
"Aug 21, 2022","3,690","344,260",,
"Aug 22, 2022","3,706","350,726",,
"Aug 23, 2022","3,731","351,141",,
"Aug 24, 2022","3,751","351,390",,
"Aug 25, 2022","3,769","352,948",,
"Aug 26, 2022","3,789","353,432",,
"Aug 27, 2022","3,804","353,756",,
"Aug 28, 2022","3,820","354,029",,
"Aug 29, 2022","3,843","358,479",,
"Aug 30, 2022","3,855","358,592",,
"Aug 31, 2022","3,870","357,860",,
"Sep 01, 2022","3,883","357,006",,
"Sep 02, 2022","3,891","355,883",,
"Sep 03, 2022","3,907","353,882",,
"Sep 04, 2022","3,921","352,497",,
"Sep 05, 2022","3,930","352,587",,
"Sep 06, 2022","3,945","355,478",,
"Sep 07, 2022","3,960","356,172",,
"Sep 08, 2022","3,974","356,874",,
"Sep 09, 2022","3,984","357,187",,
"Sep 10, 2022","3,990","357,514",,
"Sep 11, 2022","3,998","355,475",,
"Sep 12, 2022","4,008","355,703",,
"Sep 13, 2022","4,022","356,059",,
"Sep 14, 2022","4,029","356,384",,
"Sep 15, 2022","4,042","357,120",,
"Sep 16, 2022","4,048","357,474",,
"Sep 17, 2022","4,058","357,864",,
"Sep 18, 2022","4,068","358,759",,
"Sep 19, 2022","4,075","359,648",,
"Sep 20, 2022","4,084","359,859",,
"Sep 21, 2022","4,102","360,294",,
"Sep 22, 2022","4,110","360,847",,
"Sep 23, 2022","4,119","361,309",,
"Sep 24, 2022","4,125","361,633",,
"Sep 25, 2022","4,130","362,237",,
"Sep 26, 2022","4,134","362,604",,
"Sep 27, 2022","4,139","362,903",,
"Sep 28, 2022","4,148","363,249",,
"Sep 29, 2022","4,156","363,806",,
"Sep 30, 2022","4,163","364,470",,
"Oct 01, 2022","4,177","365,502",,
"Oct 02, 2022","4,188","366,012",,
"Oct 03, 2022","4,208","366,359",,
"Oct 04, 2022","4,214","366,729",,
"Oct 05, 2022","4,222","366,992",,
"Oct 06, 2022","4,232","367,417",,
"Oct 07, 2022","4,241","368,019",,
"Oct 08, 2022","4,249","368,323",,
"Oct 09, 2022","4,252","368,663",,
"Oct 10, 2022","4,264","370,170",,
"Oct 11, 2022","4,273","373,538",,
"Oct 12, 2022","4,282","373,974",,
"Oct 13, 2022","4,293","374,065",,
"Oct 14, 2022","4,301","374,454",,
"Oct 15, 2022","4,307","374,746",,
"Oct 16, 2022","4,314","375,001",,
"Oct 17, 2022","4,319","375,342",,
"Oct 18, 2022","4,326","375,589",,
"Oct 19, 2022","4,340","379,649",,
"Oct 20, 2022","4,345","380,247",,
"Oct 21, 2022","4,349","380,685",,
"Oct 22, 2022","4,355","382,822",,
"Oct 23, 2022","4,358","380,358",,
"Oct 24, 2022","4,361","380,796",,
"Oct 25, 2022","4,371","381,116",,
"Oct 26, 2022","4,382","381,531",,
"Oct 27, 2022","4,385","381,709",,
"Oct 28, 2022","4,388","377,879",,
"Oct 29, 2022","4,395","378,129",,
"Oct 30, 2022","4,400","378,699",,
"Oct 31, 2022","4,405","378,927",,
"Nov 01, 2022","4,411","379,155",,
"Nov 02, 2022","4,417","379,354",,
"Nov 03, 2022","4,421","379,629",,
"Nov 04, 2022","4,426","379,811",,
"Nov 05, 2022","4,431","379,724",,
"Nov 06, 2022","4,432","380,219",,
"Nov 07, 2022","4,435","380,419",,
"Nov 08, 2022","4,437","380,506",,
"Nov 09, 2022","4,443","380,723",,
"Nov 10, 2022","4,440","380,862",,
"Nov 11, 2022","4,442","381,545",,
"Nov 12, 2022","4,445","381,786",,
"Nov 13, 2022","4,442","381,894",,
"Nov 14, 2022","4,443","382,186",,
"Nov 15, 2022","4,437","382,474",,
"Nov 16, 2022","4,434","382,663",,
"Nov 17, 2022","4,431","382,837",,
"Nov 18, 2022","4,382","382,059",,
"Nov 19, 2022","4,391","382,088",,
"Nov 20, 2022","4,402","382,651",,
"Nov 21, 2022","4,420","383,265",,
"Nov 22, 2022","4,427","383,499",,
"Nov 23, 2022","4,424","383,354",,
"Nov 24, 2022","4,433","383,686",,
"Nov 25, 2022","4,445","383,857",,
