"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",15070214,29345
"2023-05-13 00:00:00",15040869,29267
"2023-05-12 00:00:00",15011602,28194
"2023-05-11 00:00:00",14983408,28216
"2023-05-10 00:00:00",14955192,0
"2023-05-09 00:00:00",14955192,53931
"2023-05-08 00:00:00",14901261,26228
"2023-05-07 00:00:00",14875033,0
"2023-05-06 00:00:00",14875033,57159
"2023-05-05 00:00:00",14817874,28850
"2023-05-04 00:00:00",14789024,28319
"2023-05-03 00:00:00",14760705,13481
"2023-05-02 00:00:00",14747224,13481
"2023-05-01 00:00:00",14733743,39294
"2023-04-30 00:00:00",14694449,39294
"2023-04-29 00:00:00",14655155,29901
"2023-04-28 00:00:00",14625254,29891
"2023-04-27 00:00:00",14595363,29634
"2023-04-26 00:00:00",14565729,0
"2023-04-25 00:00:00",14565729,53507
"2023-04-24 00:00:00",14512222,0
"2023-04-23 00:00:00",14512222,56200
"2023-04-22 00:00:00",14456022,31307
"2023-04-21 00:00:00",14424715,0
"2023-04-20 00:00:00",14424715,59183
"2023-04-19 00:00:00",14365532,29739
"2023-04-18 00:00:00",14335793,24384
"2023-04-17 00:00:00",14311409,26333
"2023-04-16 00:00:00",14285076,0
"2023-04-15 00:00:00",14285076,59689
"2023-04-14 00:00:00",14225387,29474
"2023-04-13 00:00:00",14195913,27706
"2023-04-12 00:00:00",14168207,25567
"2023-04-11 00:00:00",14142640,22458
"2023-04-10 00:00:00",14120182,24336
"2023-04-09 00:00:00",14095846,26592
"2023-04-08 00:00:00",14069254,28404
"2023-04-07 00:00:00",14040850,27483
"2023-04-06 00:00:00",14013367,27311
"2023-04-05 00:00:00",13986056,27459
"2023-04-04 00:00:00",13958597,23507
"2023-04-03 00:00:00",13935090,25439
"2023-04-02 00:00:00",13909651,28968
"2023-04-01 00:00:00",13880683,29650
"2023-03-31 00:00:00",13851033,29943
"2023-03-30 00:00:00",13821090,29423
"2023-03-29 00:00:00",13791667,29100
"2023-03-28 00:00:00",13762567,25666
"2023-03-27 00:00:00",13736901,27062
"2023-03-26 00:00:00",13709839,0
"2023-03-25 00:00:00",13709839,60541
"2023-03-24 00:00:00",13649298,30019
"2023-03-23 00:00:00",13619279,30255
"2023-03-22 00:00:00",13589024,30252
"2023-03-21 00:00:00",13558772,25691
"2023-03-20 00:00:00",13533081,27653
"2023-03-19 00:00:00",13505428,30719
"2023-03-18 00:00:00",13474709,30868
"2023-03-17 00:00:00",13443841,30513
"2023-03-16 00:00:00",13413328,29856
"2023-03-15 00:00:00",13383472,29131
"2023-03-14 00:00:00",13354341,25445
"2023-03-13 00:00:00",13328896,26982
"2023-03-12 00:00:00",13301914,30275
"2023-03-11 00:00:00",13271639,0
"2023-03-10 00:00:00",13271639,61523
"2023-03-09 00:00:00",13210116,30518
"2023-03-08 00:00:00",13179598,29771
"2023-03-07 00:00:00",13149827,0
"2023-03-06 00:00:00",13149827,52373
"2023-03-05 00:00:00",13097454,30886
"2023-03-04 00:00:00",13066568,30859
"2023-03-03 00:00:00",13035709,30033
"2023-03-02 00:00:00",13005676,30795
"2023-03-01 00:00:00",12974881,30748
"2023-02-28 00:00:00",12944133,0
"2023-02-27 00:00:00",12944133,54213
"2023-02-26 00:00:00",12889920,31073
"2023-02-25 00:00:00",12858847,30869
"2023-02-24 00:00:00",12827978,30965
"2023-02-23 00:00:00",12797013,31245
"2023-02-22 00:00:00",12765768,29647
"2023-02-21 00:00:00",12736121,26501
"2023-02-20 00:00:00",12709620,28309
"2023-02-19 00:00:00",12681311,31436
"2023-02-18 00:00:00",12649875,36480
"2023-02-17 00:00:00",12613395,31467
"2023-02-16 00:00:00",12581928,0
"2023-02-15 00:00:00",12581928,59815
"2023-02-14 00:00:00",12522113,0
"2023-02-13 00:00:00",12522113,53225
"2023-02-12 00:00:00",12468888,31306
"2023-02-11 00:00:00",12437582,32498
"2023-02-10 00:00:00",12405084,31560
"2023-02-09 00:00:00",12373524,32061
"2023-02-08 00:00:00",12341463,31120
"2023-02-07 00:00:00",12310343,26091
"2023-02-06 00:00:00",12284252,27744
"2023-02-05 00:00:00",12256508,31424
"2023-02-04 00:00:00",12225084,31598
"2023-02-03 00:00:00",12193486,31717
"2023-02-02 00:00:00",12161769,31236
"2023-02-01 00:00:00",12130533,0
"2023-01-31 00:00:00",12130533,57956
"2023-01-30 00:00:00",12072577,28672
"2023-01-29 00:00:00",12043905,33417
"2023-01-28 00:00:00",12010488,32793
"2023-01-27 00:00:00",11977695,32755
"2023-01-26 00:00:00",11944940,33465
"2023-01-25 00:00:00",11911475,31912
"2023-01-24 00:00:00",11879563,26884
"2023-01-23 00:00:00",11852679,29490
"2023-01-22 00:00:00",11823189,34312
"2023-01-21 00:00:00",11788877,34424
"2023-01-20 00:00:00",11754453,34789
"2023-01-19 00:00:00",11719664,35523
"2023-01-18 00:00:00",11684141,31587
"2023-01-17 00:00:00",11652554,29774
"2023-01-16 00:00:00",11622780,29990
"2023-01-15 00:00:00",11592790,36021
"2023-01-14 00:00:00",11556769,35817
"2023-01-13 00:00:00",11520952,0
"2023-01-12 00:00:00",11520952,72987
"2023-01-11 00:00:00",11447965,36640
"2023-01-10 00:00:00",11411325,30335
"2023-01-09 00:00:00",11380990,32249
"2023-01-08 00:00:00",11348741,35748
"2023-01-07 00:00:00",11312993,35959
"2023-01-06 00:00:00",11277034,36237
"2023-01-05 00:00:00",11240797,35037
"2023-01-04 00:00:00",11205760,31453
"2023-01-03 00:00:00",11174307,28780
"2023-01-02 00:00:00",11145527,32757
"2023-01-01 00:00:00",11112770,34936
"2022-12-31 00:00:00",11077834,35264
"2022-12-30 00:00:00",11042570,35514
"2022-12-29 00:00:00",11007056,0
"2022-12-28 00:00:00",11007056,66826
"2022-12-27 00:00:00",10940230,28064
"2022-12-26 00:00:00",10912166,33686
"2022-12-25 00:00:00",10878480,37030
"2022-12-24 00:00:00",10841450,40298
"2022-12-23 00:00:00",10801152,40491
"2022-12-22 00:00:00",10760661,41079
"2022-12-21 00:00:00",10719582,37611
