Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 29, 2022","1,939","99,520",,
"Jul 30, 2022","2,482","119,225",,
"Jul 31, 2022","2,795","189,109",,
"Aug 01, 2022","3,058","193,951",,
"Aug 02, 2022","3,276","196,594",,
"Aug 03, 2022","3,461","220,247",,
"Aug 04, 2022","3,616","228,373",,
"Aug 05, 2022","3,754","235,387",,
"Aug 06, 2022","3,842","233,268",,
"Aug 07, 2022","3,916","336,132",,
"Aug 08, 2022","4,003","338,151",,
"Aug 09, 2022","4,055","338,961",,
"Aug 10, 2022","4,116","341,651",,
"Aug 11, 2022","4,167","343,163",,
"Aug 12, 2022","4,229","343,951",,
"Aug 13, 2022","4,261","344,511",,
"Aug 14, 2022","4,286","345,440",,
"Aug 15, 2022","4,319","346,735",,
"Aug 16, 2022","4,369","368,534",,
"Aug 17, 2022","4,417","370,143",,
"Aug 18, 2022","4,455","370,896",,
"Aug 19, 2022","4,487","372,635",,
"Aug 20, 2022","4,512","373,449",,
"Aug 21, 2022","4,532","373,496",,
"Aug 22, 2022","4,563","312,969",,
"Aug 23, 2022","4,601","315,275",,
"Aug 24, 2022","4,627","316,905",,
"Aug 25, 2022","4,650","318,585",,
"Aug 26, 2022","4,671","380,841",,
"Aug 27, 2022","4,693","386,298",,
"Aug 28, 2022","4,714","386,850",,
"Aug 29, 2022","4,735","387,329",,
"Aug 30, 2022","4,756","388,371",,
"Aug 31, 2022","4,775","389,809",,
"Sep 01, 2022","4,793","389,016",,
"Sep 02, 2022","4,813","388,067",,
"Sep 03, 2022","4,831","386,617",,
"Sep 04, 2022","4,843","383,375",,
"Sep 05, 2022","4,859","382,844",,
"Sep 06, 2022","4,877","385,753",,
"Sep 07, 2022","4,902","386,147",,
"Sep 08, 2022","4,925","386,690",,
"Sep 09, 2022","4,944","387,198",,
"Sep 10, 2022","4,962","387,719",,
"Sep 11, 2022","4,980","385,696",,
"Sep 12, 2022","4,991","331,560",,
"Sep 13, 2022","5,009","332,210",,
"Sep 14, 2022","5,019","332,139",,
"Sep 15, 2022","5,040","336,386",,
"Sep 16, 2022","5,057","332,395",,
"Sep 17, 2022","5,075","332,905",,
"Sep 18, 2022","5,083","333,285",,
"Sep 19, 2022","5,091","333,618",,
"Sep 20, 2022","5,107","334,086",,
"Sep 21, 2022","5,122","334,518",,
"Sep 22, 2022","5,132","335,143",,
"Sep 23, 2022","5,138","335,596",,
"Sep 24, 2022","5,150","336,342",,
"Sep 25, 2022","5,161","336,701",,
"Sep 26, 2022","5,170","337,102",,
