"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",14944181,28241
"2023-05-13 00:00:00",14915940,27715
"2023-05-12 00:00:00",14888225,27815
"2023-05-11 00:00:00",14860410,27876
"2023-05-10 00:00:00",14832534,0
"2023-05-09 00:00:00",14832534,50911
"2023-05-08 00:00:00",14781623,24977
"2023-05-07 00:00:00",14756646,0
"2023-05-06 00:00:00",14756646,55661
"2023-05-05 00:00:00",14700985,27067
"2023-05-04 00:00:00",14673918,26987
"2023-05-03 00:00:00",14646931,12880
"2023-05-02 00:00:00",14634051,12880
"2023-05-01 00:00:00",14621171,37498
"2023-04-30 00:00:00",14583674,37498
"2023-04-29 00:00:00",14546176,28309
"2023-04-28 00:00:00",14517867,28909
"2023-04-27 00:00:00",14488958,28462
"2023-04-26 00:00:00",14460496,0
"2023-04-25 00:00:00",14460496,50868
"2023-04-24 00:00:00",14409628,0
"2023-04-23 00:00:00",14409628,52669
"2023-04-22 00:00:00",14356959,28493
"2023-04-21 00:00:00",14328466,0
"2023-04-20 00:00:00",14328466,54846
"2023-04-19 00:00:00",14273620,27584
"2023-04-18 00:00:00",14246036,22713
"2023-04-17 00:00:00",14223323,24252
"2023-04-16 00:00:00",14199071,0
"2023-04-15 00:00:00",14199071,54810
"2023-04-14 00:00:00",14144261,26969
"2023-04-13 00:00:00",14117292,26732
"2023-04-12 00:00:00",14090560,24578
"2023-04-11 00:00:00",14065982,21982
"2023-04-10 00:00:00",14044000,23592
"2023-04-09 00:00:00",14020408,25516
"2023-04-08 00:00:00",13994892,28115
"2023-04-07 00:00:00",13966777,27312
"2023-04-06 00:00:00",13939465,27043
"2023-04-05 00:00:00",13912422,27044
"2023-04-04 00:00:00",13885378,23145
"2023-04-03 00:00:00",13862233,24676
"2023-04-02 00:00:00",13837557,28213
"2023-04-01 00:00:00",13809344,28383
"2023-03-31 00:00:00",13780961,28522
"2023-03-30 00:00:00",13752439,28609
"2023-03-29 00:00:00",13723830,28312
"2023-03-28 00:00:00",13695518,24294
"2023-03-27 00:00:00",13671224,25468
"2023-03-26 00:00:00",13645756,0
"2023-03-25 00:00:00",13645756,58346
"2023-03-24 00:00:00",13587410,28952
"2023-03-23 00:00:00",13558458,29474
"2023-03-22 00:00:00",13528984,29211
"2023-03-21 00:00:00",13499773,24254
"2023-03-20 00:00:00",13475519,26011
"2023-03-19 00:00:00",13449508,29711
"2023-03-18 00:00:00",13419797,29626
"2023-03-17 00:00:00",13390171,29451
"2023-03-16 00:00:00",13360720,28763
"2023-03-15 00:00:00",13331957,27582
"2023-03-14 00:00:00",13304375,24367
"2023-03-13 00:00:00",13280008,25964
"2023-03-12 00:00:00",13254044,29254
"2023-03-11 00:00:00",13224790,0
"2023-03-10 00:00:00",13224790,60093
"2023-03-09 00:00:00",13164697,29119
"2023-03-08 00:00:00",13135578,29073
"2023-03-07 00:00:00",13106505,0
"2023-03-06 00:00:00",13106505,50033
"2023-03-05 00:00:00",13056472,29378
"2023-03-04 00:00:00",13027094,29655
"2023-03-03 00:00:00",12997439,29423
"2023-03-02 00:00:00",12968016,29730
"2023-03-01 00:00:00",12938286,29308
"2023-02-28 00:00:00",12908978,0
"2023-02-27 00:00:00",12908978,50693
"2023-02-26 00:00:00",12858285,29350
"2023-02-25 00:00:00",12828935,29962
"2023-02-24 00:00:00",12798973,30382
"2023-02-23 00:00:00",12768591,30878
"2023-02-22 00:00:00",12737713,28770
"2023-02-21 00:00:00",12708943,25785
"2023-02-20 00:00:00",12683158,27353
"2023-02-19 00:00:00",12655805,30744
"2023-02-18 00:00:00",12625061,31005
"2023-02-17 00:00:00",12594056,30423
"2023-02-16 00:00:00",12563633,0
"2023-02-15 00:00:00",12563633,58078
"2023-02-14 00:00:00",12505555,0
"2023-02-13 00:00:00",12505555,51172
"2023-02-12 00:00:00",12454383,30863
"2023-02-11 00:00:00",12423520,31655
"2023-02-10 00:00:00",12391865,31729
"2023-02-09 00:00:00",12360136,31296
"2023-02-08 00:00:00",12328840,30741
"2023-02-07 00:00:00",12298099,25892
"2023-02-06 00:00:00",12272207,27890
"2023-02-05 00:00:00",12244317,31840
"2023-02-04 00:00:00",12212477,32079
"2023-02-03 00:00:00",12180398,31398
"2023-02-02 00:00:00",12149000,31632
"2023-02-01 00:00:00",12117368,0
"2023-01-31 00:00:00",12117368,56992
"2023-01-30 00:00:00",12060376,28530
"2023-01-29 00:00:00",12031846,33029
"2023-01-28 00:00:00",11998817,32402
"2023-01-27 00:00:00",11966415,32665
"2023-01-26 00:00:00",11933750,33056
"2023-01-25 00:00:00",11900694,31566
