Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 29, 2022","3,126","5,560,676",,
"Jul 30, 2022","4,049","10,061,774",5,"812,333"
"Jul 31, 2022","4,601","10,106,258",5,"812,844"
"Aug 01, 2022","5,088","7,943,664",6,"1,653,379"
"Aug 02, 2022","5,542","9,270,830",6,"1,653,919"
"Aug 03, 2022","5,968","9,302,952",6,"1,654,505"
"Aug 04, 2022","6,395","9,314,951",6,"1,655,149"
"Aug 05, 2022","6,806","8,418,971",6,"1,655,833"
"Aug 06, 2022","6,983","4,115,061",6,"1,656,671"
"Aug 07, 2022","7,162","4,111,531",6,"1,657,329"
"Aug 08, 2022","7,369","4,134,587",6,"1,657,813"
"Aug 09, 2022","7,564","4,148,163",6,"1,658,604"
"Aug 10, 2022","7,760","3,314,792",5,"818,505"
"Aug 11, 2022","7,910","3,315,975",5,"819,011"
"Aug 12, 2022","8,075","3,382,854",5,"819,525"
"Aug 13, 2022","8,166","3,388,973",5,"820,073"
"Aug 14, 2022","8,276","3,211,296",5,"820,445"
"Aug 15, 2022","8,413","3,100,928",5,"820,789"
"Aug 16, 2022","8,561","3,130,394",5,"821,122"
"Aug 17, 2022","8,745","3,145,557",5,"821,533"
"Aug 18, 2022","8,890","3,170,794",5,"821,935"
"Aug 19, 2022","9,021","3,176,866",5,"822,338"
"Aug 20, 2022","9,109","3,105,569",4,"748,794"
"Aug 21, 2022","9,199","3,081,773",4,"749,098"
"Aug 22, 2022","9,303","3,033,175",4,"749,413"
"Aug 23, 2022","9,398","3,041,152",4,"749,789"
"Aug 24, 2022","9,522","3,064,542",4,"750,164"
"Aug 25, 2022","9,623","3,083,233",4,"750,593"
"Aug 26, 2022","9,714","3,148,232",4,"750,993"
"Aug 27, 2022","9,803","3,171,178",4,"752,657"
"Aug 28, 2022","9,887","3,137,894",4,"754,337"
"Aug 29, 2022","9,979","3,140,086",4,"755,837"
"Aug 30, 2022","10,058","3,143,120",4,"757,557"
"Aug 31, 2022","10,150","3,145,505",4,"758,795"
"Sep 01, 2022","10,229","3,141,446",4,"759,548"
"Sep 02, 2022","10,296","3,141,109",4,"760,211"
"Sep 03, 2022","10,377","3,138,950",4,"761,193"
"Sep 04, 2022","10,449","3,126,830",4,"761,202"
"Sep 05, 2022","10,511","3,124,996",4,"762,071"
"Sep 06, 2022","10,565","3,124,666",4,"763,550"
"Sep 07, 2022","10,646","3,109,763",4,"765,035"
"Sep 08, 2022","10,724","3,136,108",4,"766,747"
"Sep 09, 2022","10,811","3,141,281",4,"768,441"
"Sep 10, 2022","10,864","3,145,224",4,"770,159"
"Sep 11, 2022","10,929","3,149,314",4,"771,621"
"Sep 12, 2022","11,034","3,105,366",4,"775,292"
"Sep 13, 2022","11,128","2,706,430",3,"372,254"
"Sep 14, 2022","11,224","2,711,748",3,"373,726"
"Sep 15, 2022","11,310","2,715,554",3,"375,176"
"Sep 16, 2022","11,392","2,778,694",3,"376,751"
"Sep 17, 2022","11,461","2,783,501",3,"378,147"
"Sep 18, 2022","11,508","2,789,998",3,"379,423"
"Sep 19, 2022","11,562","2,784,531",3,"380,730"
"Sep 20, 2022","11,629","2,787,631",3,"382,004"
"Sep 21, 2022","11,711","2,793,831",3,"383,426"
"Sep 22, 2022","11,785","2,799,967",3,"384,750"
"Sep 23, 2022","11,843","2,806,482",3,"386,139"
"Sep 24, 2022","11,893","2,805,099",3,"387,506"
"Sep 25, 2022","11,954","2,812,132",3,"388,689"
"Sep 26, 2022","12,046","2,761,903",3,"389,818"
"Sep 27, 2022","12,121","2,766,264",3,"391,122"
