Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jul 29, 2022","1,811","83,267",,
"Jul 30, 2022","2,316","110,329",,
"Jul 31, 2022","2,606","119,972",,
"Aug 01, 2022","2,839","124,126",,
"Aug 02, 2022","3,040","127,618",,
"Aug 03, 2022","3,216","152,259",,
"Aug 04, 2022","3,339","157,204",,
"Aug 05, 2022","3,455","159,936",,
"Aug 06, 2022","3,529","170,742",,
"Aug 07, 2022","3,588","197,481",,
"Aug 08, 2022","3,654","198,429",,
"Aug 09, 2022","3,704","200,804",,
"Aug 10, 2022","3,762","203,522",,
"Aug 11, 2022","3,815","201,580",,
"Aug 12, 2022","3,866","203,024",,
"Aug 13, 2022","3,909","205,180",,
"Aug 14, 2022","3,937","207,416",,
"Aug 15, 2022","3,976","207,661",,
"Aug 16, 2022","4,023","226,952",,
"Aug 17, 2022","4,068","228,850",,
"Aug 18, 2022","4,108","229,670",,
"Aug 19, 2022","4,142","232,414",,
"Aug 20, 2022","4,172","232,991",,
"Aug 21, 2022","4,195","233,692",,
"Aug 22, 2022","4,218","240,236",,
"Aug 23, 2022","4,247","254,357",,
"Aug 24, 2022","4,275","273,657",,
"Aug 25, 2022","4,295","275,249",,
"Aug 26, 2022","4,318","275,721",,
"Aug 27, 2022","4,345","276,076",,
"Aug 28, 2022","4,364","276,486",,
"Aug 29, 2022","4,391","276,859",,
"Aug 30, 2022","4,403","277,181",,
"Aug 31, 2022","4,425","276,311",,
"Sep 01, 2022","4,445","275,738",,
"Sep 02, 2022","4,465","275,768",,
"Sep 03, 2022","4,487","273,907",,
"Sep 04, 2022","4,501","273,426",,
"Sep 05, 2022","4,516","273,618",,
"Sep 06, 2022","4,537","276,526",,
"Sep 07, 2022","4,560","276,771",,
"Sep 08, 2022","4,580","277,215",,
"Sep 09, 2022","4,596","277,574",,
"Sep 10, 2022","4,612","278,194",,
"Sep 11, 2022","4,621","276,434",,
"Sep 12, 2022","4,638","276,781",,
"Sep 13, 2022","4,656","277,409",,
"Sep 14, 2022","4,665","277,749",,
"Sep 15, 2022","4,688","278,546",,
"Sep 16, 2022","4,700","278,972",,
"Sep 17, 2022","4,707","279,614",,
"Sep 18, 2022","4,719","280,630",,
"Sep 19, 2022","4,725","281,725",,
"Sep 20, 2022","4,739","281,963",,
"Sep 21, 2022","4,761","282,471",,
"Sep 22, 2022","4,775","283,070",,
"Sep 23, 2022","4,783","283,483",,
"Sep 24, 2022","4,795","284,208",,
"Sep 25, 2022","4,807","284,521",,
"Sep 26, 2022","4,815","287,236",,
"Sep 27, 2022","4,828","287,929",,
"Sep 28, 2022","4,838","288,244",,
"Sep 29, 2022","4,854","288,841",,
"Sep 30, 2022","4,867","289,502",,
"Oct 01, 2022","4,880","290,747",,
"Oct 02, 2022","4,888","291,084",,
"Oct 03, 2022","4,900","291,492",,
"Oct 04, 2022","4,907","291,870",,
"Oct 05, 2022","4,923","292,321",,
"Oct 06, 2022","4,937","292,855",,
"Oct 07, 2022","4,945","293,474",,
"Oct 08, 2022","4,955","293,857",,
"Oct 09, 2022","4,960","294,175",,
"Oct 10, 2022","4,975","295,739",,
"Oct 11, 2022","4,991","299,366",,
"Oct 12, 2022","5,004","299,989",,
"Oct 13, 2022","5,015","300,361",,
"Oct 14, 2022","5,020","301,147",,
"Oct 15, 2022","5,031","301,463",,
"Oct 16, 2022","5,042","309,553",,
"Oct 17, 2022","5,056","310,008",,
"Oct 18, 2022","5,064","310,490",,
"Oct 19, 2022","5,071","315,520",,
"Oct 20, 2022","5,078","316,179",,
"Oct 21, 2022","5,087","317,097",,
"Oct 22, 2022","5,095","317,933",,
"Oct 23, 2022","5,101","315,581",,
"Oct 24, 2022","5,108","316,013",,
"Oct 25, 2022","5,122","316,379",,
"Oct 26, 2022","5,133","316,801",,
"Oct 27, 2022","5,136","317,113",,
"Oct 28, 2022","5,139","313,308",,
"Oct 29, 2022","5,149","313,618",,
"Oct 30, 2022","5,154","314,232",,
"Oct 31, 2022","5,159","314,543",,
"Nov 01, 2022","5,168","317,184",,
