"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",16281134,33437
"2023-05-13 00:00:00",16247697,33487
"2023-05-12 00:00:00",16214210,33134
"2023-05-11 00:00:00",16181076,32927
"2023-05-10 00:00:00",16148149,0
"2023-05-09 00:00:00",16148149,59062
"2023-05-08 00:00:00",16089087,28895
"2023-05-07 00:00:00",16060192,0
"2023-05-06 00:00:00",16060192,66947
"2023-05-05 00:00:00",15993245,32739
"2023-05-04 00:00:00",15960506,32553
"2023-05-03 00:00:00",15927953,15657
"2023-05-02 00:00:00",15912296,15657
"2023-05-01 00:00:00",15896639,45080
"2023-04-30 00:00:00",15851559,45080
"2023-04-29 00:00:00",15806479,34239
"2023-04-28 00:00:00",15772240,34540
"2023-04-27 00:00:00",15737700,34195
"2023-04-26 00:00:00",15703505,0
"2023-04-25 00:00:00",15703505,60485
"2023-04-24 00:00:00",15643020,0
"2023-04-23 00:00:00",15643020,63627
"2023-04-22 00:00:00",15579393,34300
"2023-04-21 00:00:00",15545093,0
"2023-04-20 00:00:00",15545093,66667
"2023-04-19 00:00:00",15478426,33825
"2023-04-18 00:00:00",15444601,27586
"2023-04-17 00:00:00",15417015,29497
"2023-04-16 00:00:00",15387518,0
"2023-04-15 00:00:00",15387518,68157
"2023-04-14 00:00:00",15319361,32987
"2023-04-13 00:00:00",15286374,32711
"2023-04-12 00:00:00",15253663,31199
"2023-04-11 00:00:00",15222464,28003
"2023-04-10 00:00:00",15194461,29578
"2023-04-09 00:00:00",15164883,31736
"2023-04-08 00:00:00",15133147,34702
"2023-04-07 00:00:00",15098445,33327
"2023-04-06 00:00:00",15065118,33616
"2023-04-05 00:00:00",15031502,32671
"2023-04-04 00:00:00",14998831,28109
"2023-04-03 00:00:00",14970722,30426
"2023-04-02 00:00:00",14940296,34335
"2023-04-01 00:00:00",14905961,34781
"2023-03-31 00:00:00",14871180,34576
"2023-03-30 00:00:00",14836604,35337
"2023-03-29 00:00:00",14801267,34505
"2023-03-28 00:00:00",14766762,28885
"2023-03-27 00:00:00",14737877,31374
"2023-03-26 00:00:00",14706503,0
"2023-03-25 00:00:00",14706503,70707
"2023-03-24 00:00:00",14635796,35685
"2023-03-23 00:00:00",14600111,35038
"2023-03-22 00:00:00",14565073,35203
"2023-03-21 00:00:00",14529870,29386
"2023-03-20 00:00:00",14500484,31334
"2023-03-19 00:00:00",14469150,35603
"2023-03-18 00:00:00",14433547,36223
"2023-03-17 00:00:00",14397324,35537
"2023-03-16 00:00:00",14361787,34552
"2023-03-15 00:00:00",14327235,34682
"2023-03-14 00:00:00",14292553,30093
"2023-03-13 00:00:00",14262460,31702
"2023-03-12 00:00:00",14230758,35596
"2023-03-11 00:00:00",14195162,0
"2023-03-10 00:00:00",14195162,73019
"2023-03-09 00:00:00",14122143,35691
"2023-03-08 00:00:00",14086452,35184
"2023-03-07 00:00:00",14051268,0
"2023-03-06 00:00:00",14051268,62076
"2023-03-05 00:00:00",13989192,36537
"2023-03-04 00:00:00",13952655,36401
"2023-03-03 00:00:00",13916254,36406
"2023-03-02 00:00:00",13879848,36971
"2023-03-01 00:00:00",13842877,36010
"2023-02-28 00:00:00",13806867,0
"2023-02-27 00:00:00",13806867,61472
"2023-02-26 00:00:00",13745395,35703
"2023-02-25 00:00:00",13709692,37160
"2023-02-24 00:00:00",13672532,37550
"2023-02-23 00:00:00",13634982,37870
"2023-02-22 00:00:00",13597112,35727
"2023-02-21 00:00:00",13561385,32195
