"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",3253886,6618
"2023-05-16 00:00:00",3247268,6618
"2023-05-15 00:00:00",3240650,6548
"2023-05-14 00:00:00",3234102,0
"2023-05-13 00:00:00",3234102,15341
"2023-05-12 00:00:00",3218761,7684
"2023-05-11 00:00:00",3211077,7591
"2023-05-10 00:00:00",3203486,7539
"2023-05-09 00:00:00",3195947,6371
"2023-05-08 00:00:00",3189576,6830
"2023-05-07 00:00:00",3182746,7803
"2023-05-06 00:00:00",3174943,7803
"2023-05-05 00:00:00",3167140,8028
"2023-05-04 00:00:00",3159112,8026
"2023-05-03 00:00:00",3151086,0
"2023-05-02 00:00:00",3151086,7813
"2023-05-01 00:00:00",3143273,13672
"2023-04-30 00:00:00",3129601,8410
"2023-04-29 00:00:00",3121191,8224
"2023-04-28 00:00:00",3112968,8224
"2023-04-27 00:00:00",3104744,4072
"2023-04-26 00:00:00",3100672,4072
"2023-04-25 00:00:00",3096600,7989
"2023-04-24 00:00:00",3088611,13686
"2023-04-23 00:00:00",3074925,8087
"2023-04-22 00:00:00",3066838,8237
"2023-04-21 00:00:00",3058602,8237
"2023-04-20 00:00:00",3050365,8045
"2023-04-19 00:00:00",3042320,7295
"2023-04-18 00:00:00",3035026,7295
"2023-04-17 00:00:00",3027731,7116
"2023-04-16 00:00:00",3020615,8256
"2023-04-15 00:00:00",3012359,8554
"2023-04-14 00:00:00",3003805,8428
"2023-04-13 00:00:00",2995377,8428
"2023-04-12 00:00:00",2986949,7845
"2023-04-11 00:00:00",2979104,6812
"2023-04-10 00:00:00",2972292,7649
"2023-04-09 00:00:00",2964643,0
"2023-04-08 00:00:00",2964643,17011
"2023-04-07 00:00:00",2947632,8876
"2023-04-06 00:00:00",2938756,9227
"2023-04-05 00:00:00",2929529,0
"2023-04-04 00:00:00",2929529,16951
"2023-04-03 00:00:00",2912578,8170
"2023-04-02 00:00:00",2904408,9759
"2023-04-01 00:00:00",2894649,10091
"2023-03-31 00:00:00",2884558,10650
"2023-03-30 00:00:00",2873908,10354
"2023-03-29 00:00:00",2863554,10624
"2023-03-28 00:00:00",2852930,8882
"2023-03-27 00:00:00",2844048,9415
"2023-03-26 00:00:00",2834633,11349
"2023-03-25 00:00:00",2823284,11387
"2023-03-24 00:00:00",2811897,11992
"2023-03-23 00:00:00",2799905,11654
"2023-03-22 00:00:00",2788251,11020
"2023-03-21 00:00:00",2777231,8748
"2023-03-20 00:00:00",2768483,9185
"2023-03-19 00:00:00",2759298,10416
"2023-03-18 00:00:00",2748882,10457
"2023-03-17 00:00:00",2738425,10392
"2023-03-16 00:00:00",2728033,10140
"2023-03-15 00:00:00",2717893,10661
"2023-03-14 00:00:00",2707232,9090
"2023-03-13 00:00:00",2698142,9670
"2023-03-12 00:00:00",2688472,0
"2023-03-11 00:00:00",2688472,23187
"2023-03-10 00:00:00",2665285,11589
"2023-03-09 00:00:00",2653696,11471
"2023-03-08 00:00:00",2642225,11404
"2023-03-07 00:00:00",2630821,9346
"2023-03-06 00:00:00",2621475,0
"2023-03-05 00:00:00",2621475,22336
"2023-03-04 00:00:00",2599139,12688
"2023-03-03 00:00:00",2586451,12976
"2023-03-02 00:00:00",2573475,12185
"2023-03-01 00:00:00",2561290,12329
"2023-02-28 00:00:00",2548961,9739
"2023-02-27 00:00:00",2539222,10516
"2023-02-26 00:00:00",2528706,12309
"2023-02-25 00:00:00",2516397,12205
"2023-02-24 00:00:00",2504192,12723
"2023-02-23 00:00:00",2491469,13356
"2023-02-22 00:00:00",2478113,11711
"2023-02-21 00:00:00",2466402,10772
"2023-02-20 00:00:00",2455630,11537
"2023-02-19 00:00:00",2444093,0
"2023-02-18 00:00:00",2444093,27594
"2023-02-17 00:00:00",2416499,13692
"2023-02-16 00:00:00",2402807,14208
"2023-02-15 00:00:00",2388599,13313
