Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",20,"147,164",,
"Dec 11, 2022",63,"192,427",,
"Dec 12, 2022",123,"214,884",,
"Dec 13, 2022",156,"123,378",,
"Dec 14, 2022",186,"125,872",,
"Dec 15, 2022",200,"116,797",,
"Dec 16, 2022",227,"129,206",,
"Dec 17, 2022",236,"125,122",,
"Dec 18, 2022",253,"121,570",,
"Dec 19, 2022",271,"130,960",,
"Dec 20, 2022",271,"129,332",,
"Dec 21, 2022",296,"178,655",,
"Dec 22, 2022",316,"176,383",,
"Dec 23, 2022",345,"180,077",,
"Dec 24, 2022",384,"174,415",,
"Dec 25, 2022",453,"171,604",,
"Dec 26, 2022",599,"172,187",,
"Dec 27, 2022",694,"176,040",,
"Dec 28, 2022",787,"181,633",,
"Dec 29, 2022",876,"183,134",,
"Dec 30, 2022",964,"185,441",,
"Dec 31, 2022",995,"188,676",,
"Jan 01, 2023","1,041","190,197",,
"Jan 02, 2023","1,123","185,567",,
"Jan 03, 2023","1,171","178,455",,
"Jan 04, 2023","1,200","174,864",,
"Jan 05, 2023","1,215","176,956",,
"Jan 06, 2023","1,211","163,653",,
"Jan 07, 2023","1,210","163,392",,
"Jan 08, 2023","1,209","158,562",,
"Jan 09, 2023","1,209","158,622",,
"Jan 10, 2023","1,274","185,986",,
"Jan 11, 2023","1,365","187,961",,
"Jan 12, 2023","1,426","183,722",,
"Jan 13, 2023","1,491","183,409",,
"Jan 14, 2023","1,530","184,174",,
"Jan 15, 2023","1,594","188,877",,
"Jan 16, 2023","3,821","212,921",,
"Jan 17, 2023","3,830","213,161",,
"Jan 18, 2023","3,841","213,952",,
"Jan 19, 2023","3,857","214,149",,
"Jan 20, 2023","3,864","214,394",,
"Jan 21, 2023","3,868","214,570",,
"Jan 22, 2023","3,876","214,214",,
"Jan 23, 2023","3,885","216,345",,
"Jan 24, 2023","3,896","216,656",,
"Jan 25, 2023","3,905","218,578",,
"Jan 26, 2023","3,912","218,745",,
"Jan 27, 2023","3,919","219,573",,
"Jan 28, 2023","3,931","219,760",,
"Jan 29, 2023","3,933","220,128",,
"Jan 30, 2023","3,939","224,526",,
"Jan 31, 2023","3,943","224,997",,
"Feb 01, 2023","3,947","226,909",,
"Feb 02, 2023","3,953","227,215",,
"Feb 03, 2023","3,959","227,498",,
"Feb 04, 2023","3,961","227,673",,
"Feb 05, 2023","3,968","227,972",,
"Feb 06, 2023","3,970","228,179",,
"Feb 07, 2023","3,970","228,277",,
"Feb 08, 2023","3,974","228,444",,
"Feb 09, 2023","3,977","228,641",,
"Feb 10, 2023","3,977","226,752",,
"Feb 11, 2023","3,978","225,916",,
"Feb 12, 2023","3,979","225,993",,
"Feb 13, 2023","3,983","226,074",,
"Feb 14, 2023","3,985","226,262",,
"Feb 15, 2023","3,985","225,339",,
"Feb 16, 2023","3,988","225,442",,
"Feb 17, 2023","3,989","225,826",,
"Feb 18, 2023","3,988","226,673",,
"Feb 19, 2023","3,986","226,779",,
"Feb 20, 2023","3,984","226,555",,
"Feb 21, 2023","3,982","226,682",,
"Feb 22, 2023","3,981","226,763",,
"Feb 23, 2023","3,981","227,464",,
"Feb 24, 2023","3,981","227,691",,
"Feb 25, 2023","3,981","227,824",,
"Feb 26, 2023","3,979","228,970",,
"Feb 27, 2023","3,975","228,530",,
"Mar 01, 2023","3,959","227,551",,
"Mar 02, 2023","3,972","228,123",,
"Mar 03, 2023","3,989","225,970",,
"Mar 04, 2023","4,001","226,144",,
"Mar 05, 2023","4,007","226,924",,
"Mar 06, 2023","4,018","227,152",,
"Mar 07, 2023","4,023","226,041",,
"Mar 08, 2023","4,030","226,220",,
"Mar 09, 2023","4,035","226,380",,
"Mar 10, 2023","4,041","226,405",,
"Mar 11, 2023","4,049","226,529",,
"Mar 12, 2023","4,056","226,718",,
"Mar 13, 2023","4,060","226,972",,
"Mar 14, 2023","4,062","227,097",,
"Mar 15, 2023","4,073","230,864",,
"Mar 16, 2023","4,084","231,707",,
"Mar 17, 2023","4,091","231,886",,
"Mar 18, 2023","4,095","231,689",,
"Mar 19, 2023","4,100","231,888",,
"Mar 20, 2023","4,107","233,680",,
"Mar 21, 2023","4,112","233,842",,
"Mar 22, 2023","4,117","234,100",,
"Mar 23, 2023","4,123","234,550",,
"Mar 24, 2023","4,126","234,836",,
"Mar 25, 2023","4,133","235,204",,
"Mar 26, 2023","4,132","235,296",,
"Mar 27, 2023","4,140","235,660",,
"Mar 28, 2023","4,144","235,805",,
"Mar 29, 2023","4,155","236,071",,
"Mar 30, 2023","4,168","236,211",,
"Mar 31, 2023","4,174","236,398",,
"Apr 01, 2023","4,184","236,614",,
"Apr 02, 2023","4,189","236,748",,
"Apr 03, 2023","4,201","240,526",,
"Apr 04, 2023","4,208","240,646",,
"Apr 05, 2023","4,213","240,911",,
"Apr 06, 2023","4,219","241,048",,
"Apr 07, 2023","4,229","241,188",,
"Apr 08, 2023","4,233","241,334",,
"Apr 09, 2023","4,241","241,495",,
"Apr 10, 2023","4,246","241,566",,
"Apr 11, 2023","4,253","241,753",,
"Apr 12, 2023","4,257","241,832",,
"Apr 13, 2023","4,259","241,946",,
"Apr 14, 2023","4,273","242,533",,
"Apr 15, 2023","4,283","242,695",,
"Apr 16, 2023","4,293","242,982",,
"Apr 17, 2023","4,297","243,540",,
"Apr 18, 2023","4,310","243,732",,
"Apr 19, 2023","4,321","243,876",,
"Apr 20, 2023","4,335","244,100",,
"Apr 21, 2023","4,344","242,348",,
"Apr 22, 2023","4,360","244,626",,
"Apr 23, 2023","4,366","244,949",,
"Apr 24, 2023","4,374","245,211",,
"Apr 25, 2023","4,387","245,887",,
"Apr 26, 2023","4,398","246,051",,
"Apr 27, 2023","4,411","246,284",,
"Apr 28, 2023","4,422","246,438",,
"Apr 29, 2023","4,435","245,130",,
"Apr 30, 2023","4,447","246,841",,
"May 01, 2023","4,460","247,283",,
"May 02, 2023","4,472","247,583",,
"May 03, 2023","4,483","247,803",,
"May 04, 2023","4,498","247,578",,
"May 05, 2023","4,506","247,711",,
"May 06, 2023","4,519","248,005",,
"May 07, 2023","4,530","248,355",,
"May 08, 2023","4,540","248,564",,
"May 09, 2023","4,549","248,692",,
"May 10, 2023","4,562","246,794",,
"May 11, 2023","4,564","249,193",,
"May 12, 2023","4,577","251,858",1,"2,200"
"May 13, 2023","4,590","251,842",1,"2,200"
"May 14, 2023","4,596","251,958",1,"2,200"
"May 15, 2023","4,608","252,103",1,"2,200"
"May 16, 2023","4,614","252,187",1,"2,200"
"May 17, 2023","4,628","253,033",1,"2,200"
Invalid date,,,,
