"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",5141576,10051
"2023-05-16 00:00:00",5131526,10051
"2023-05-15 00:00:00",5121475,10014
"2023-05-14 00:00:00",5111461,0
"2023-05-13 00:00:00",5111461,22954
"2023-05-12 00:00:00",5088507,11566
"2023-05-11 00:00:00",5076941,11349
"2023-05-10 00:00:00",5065592,11171
"2023-05-09 00:00:00",5054421,9286
"2023-05-08 00:00:00",5045135,9999
"2023-05-07 00:00:00",5035136,11659
"2023-05-06 00:00:00",5023477,11659
"2023-05-05 00:00:00",5011818,11884
"2023-05-04 00:00:00",4999934,11843
"2023-05-03 00:00:00",4988091,0
"2023-05-02 00:00:00",4988091,11916
"2023-05-01 00:00:00",4976175,20429
"2023-04-30 00:00:00",4955746,12498
"2023-04-29 00:00:00",4943248,12213
"2023-04-28 00:00:00",4931035,12213
"2023-04-27 00:00:00",4918822,6154
"2023-04-26 00:00:00",4912668,6154
"2023-04-25 00:00:00",4906514,12324
"2023-04-24 00:00:00",4894190,20490
"2023-04-23 00:00:00",4873700,12102
"2023-04-22 00:00:00",4861598,12307
"2023-04-21 00:00:00",4849291,12307
"2023-04-20 00:00:00",4836984,12141
"2023-04-19 00:00:00",4824843,11225
"2023-04-18 00:00:00",4813618,11225
"2023-04-17 00:00:00",4802393,10685
"2023-04-16 00:00:00",4791708,12234
"2023-04-15 00:00:00",4779474,12485
"2023-04-14 00:00:00",4766989,12486
"2023-04-13 00:00:00",4754503,13055
"2023-04-12 00:00:00",4741448,12501
"2023-04-11 00:00:00",4728947,10400
"2023-04-10 00:00:00",4718547,11569
"2023-04-09 00:00:00",4706978,0
"2023-04-08 00:00:00",4706978,25852
"2023-04-07 00:00:00",4681126,13801
"2023-04-06 00:00:00",4667325,13812
"2023-04-05 00:00:00",4653513,0
"2023-04-04 00:00:00",4653513,25561
"2023-04-03 00:00:00",4627952,12849
"2023-04-02 00:00:00",4615103,14709
"2023-04-01 00:00:00",4600394,15569
"2023-03-31 00:00:00",4584825,15475
"2023-03-30 00:00:00",4569350,15476
"2023-03-29 00:00:00",4553874,16134
"2023-03-28 00:00:00",4537740,13554
"2023-03-27 00:00:00",4524186,13953
"2023-03-26 00:00:00",4510233,16639
"2023-03-25 00:00:00",4493594,17044
"2023-03-24 00:00:00",4476550,17727
"2023-03-23 00:00:00",4458823,17810
"2023-03-22 00:00:00",4441013,16665
