Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",21,"154,701",,
"Dec 11, 2022",59,"193,969",,
"Dec 12, 2022",116,"226,037",,
"Dec 13, 2022",148,"300,509",,
"Dec 14, 2022",192,"309,983",,
"Dec 15, 2022",194,"298,880",,
"Dec 16, 2022",222,"319,705",,
"Dec 17, 2022",240,"317,032",,
"Dec 18, 2022",256,"327,323",,
"Dec 19, 2022",278,"340,891",,
"Dec 20, 2022",288,"341,536",,
"Dec 21, 2022",311,"386,175",,
"Dec 22, 2022",332,"382,994",,
"Dec 23, 2022",370,"380,432",,
"Dec 24, 2022",413,"528,425",,
"Dec 25, 2022",510,"525,217",,
"Dec 26, 2022",692,"689,089",,
"Dec 27, 2022",820,"678,393",,
"Dec 28, 2022",927,"698,333",,
"Dec 29, 2022","1,035","704,230",,
"Dec 30, 2022","1,142","710,482",,
"Dec 31, 2022","1,176","698,815",,
"Jan 01, 2023","1,258","694,869",,
"Jan 02, 2023","1,357","700,416",,
"Jan 03, 2023","1,425","689,169",,
"Jan 04, 2023","1,463","685,138",,
"Jan 05, 2023","1,489","678,737",,
"Jan 06, 2023","1,480","663,715",,
"Jan 07, 2023","1,479","663,810",,
"Jan 08, 2023","1,481","663,799",,
"Jan 09, 2023","1,482","663,804",,
"Jan 10, 2023","1,578","716,764",,
"Jan 11, 2023","1,687","718,264",,
"Jan 12, 2023","1,759","715,522",,
"Jan 13, 2023","1,858","716,619",,
"Jan 14, 2023","1,903","718,136",,
"Jan 15, 2023","1,999","721,052",,
"Jan 16, 2023","5,312","746,270",,
"Jan 17, 2023","5,331","746,750",,
"Jan 18, 2023","5,370","747,809",,
"Jan 19, 2023","5,441","749,432",,
"Jan 20, 2023","5,481","750,767",,
"Jan 21, 2023","5,504","751,380",,
"Jan 22, 2023","5,521","752,053",,
"Jan 23, 2023","5,550","752,735",,
"Jan 24, 2023","5,573","753,362",,
"Jan 25, 2023","5,623","756,041",,
"Jan 26, 2023","5,643","760,117",,
"Jan 27, 2023","5,670","763,303",,
"Jan 28, 2023","5,690","765,764",,
"Jan 29, 2023","5,702","766,327",,
"Jan 30, 2023","5,728","770,823",,
"Jan 31, 2023","5,745","771,757",,
"Feb 01, 2023","5,767","775,600",,
"Feb 02, 2023","5,785","774,391",,
"Feb 03, 2023","5,792","774,633",,
"Feb 04, 2023","5,802","774,920",,
"Feb 05, 2023","5,818","775,538",,
"Feb 06, 2023","5,832","776,027",,
"Feb 07, 2023","5,845","776,336",,
"Feb 08, 2023","5,924","778,601",,
"Feb 09, 2023","5,961","779,288",,
"Feb 10, 2023","5,990","779,945",,
"Feb 11, 2023","6,003","780,319",,
"Feb 12, 2023","6,012","780,553",,
"Feb 13, 2023","6,036","781,814",,
"Feb 14, 2023","6,044","782,218",,
"Feb 15, 2023","6,063","783,805",,
"Feb 16, 2023","6,080","784,785",,
"Feb 17, 2023","6,087","787,991",,
"Feb 18, 2023","6,096","789,114",,
"Feb 19, 2023","6,100","630,350",,
"Feb 20, 2023","6,104","483,077",,
"Feb 21, 2023","6,108","483,452",,
"Feb 22, 2023","6,117","483,099",,
"Feb 23, 2023","6,116","484,426",,
"Feb 24, 2023","6,119","485,029",,
"Feb 25, 2023","6,120","485,787",,
"Feb 26, 2023","6,128","488,280",,
"Feb 27, 2023","6,129","489,094",,
"Mar 01, 2023","6,084","488,409",,
"Mar 02, 2023","6,149","491,681",,
"Mar 03, 2023","6,201","490,241",,
"Mar 04, 2023","6,260","486,299",,
"Mar 05, 2023","6,300","492,482",,
"Mar 06, 2023","6,352","495,797",,
"Mar 07, 2023","6,398","500,737",,
"Mar 08, 2023","6,443","496,092",,
"Mar 09, 2023","6,471","498,178",,
"Mar 10, 2023","6,498","498,623",,
"Mar 11, 2023","6,537","499,129",,
"Mar 12, 2023","6,569","502,886",,
"Mar 13, 2023","6,606","503,977",,
