"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",5960401,9442
"2023-05-16 00:00:00",5950959,9442
"2023-05-15 00:00:00",5941517,8968
"2023-05-14 00:00:00",5932549,0
"2023-05-13 00:00:00",5932549,21436
"2023-05-12 00:00:00",5911113,11027
"2023-05-11 00:00:00",5900086,10832
"2023-05-10 00:00:00",5889254,10693
"2023-05-09 00:00:00",5878561,8944
"2023-05-08 00:00:00",5869617,9466
"2023-05-07 00:00:00",5860151,11100
"2023-05-06 00:00:00",5849052,11100
"2023-05-05 00:00:00",5837952,11514
"2023-05-04 00:00:00",5826438,11288
"2023-05-03 00:00:00",5815150,0
"2023-05-02 00:00:00",5815150,10914
"2023-05-01 00:00:00",5804236,19558
"2023-04-30 00:00:00",5784678,11925
"2023-04-29 00:00:00",5772753,11796
"2023-04-28 00:00:00",5760957,11796
"2023-04-27 00:00:00",5749161,5914
"2023-04-26 00:00:00",5743247,5914
"2023-04-25 00:00:00",5737333,11744
"2023-04-24 00:00:00",5725589,19693
"2023-04-23 00:00:00",5705896,11538
"2023-04-22 00:00:00",5694358,11618
"2023-04-21 00:00:00",5682741,11618
"2023-04-20 00:00:00",5671123,11375
"2023-04-19 00:00:00",5659748,10745
"2023-04-18 00:00:00",5649004,10745
"2023-04-17 00:00:00",5638259,10094
"2023-04-16 00:00:00",5628165,11789
"2023-04-15 00:00:00",5616376,12176
"2023-04-14 00:00:00",5604200,12358
"2023-04-13 00:00:00",5591842,12708
"2023-04-12 00:00:00",5579134,11746
"2023-04-11 00:00:00",5567388,10315
"2023-04-10 00:00:00",5557073,11585
"2023-04-09 00:00:00",5545488,0
"2023-04-08 00:00:00",5545488,25724
"2023-04-07 00:00:00",5519764,13657
"2023-04-06 00:00:00",5506107,13583
"2023-04-05 00:00:00",5492524,0
"2023-04-04 00:00:00",5492524,26356
"2023-04-03 00:00:00",5466168,13013
"2023-04-02 00:00:00",5453155,14881
"2023-04-01 00:00:00",5438274,15861
"2023-03-31 00:00:00",5422413,16302
"2023-03-30 00:00:00",5406111,16600
"2023-03-29 00:00:00",5389511,17454
"2023-03-28 00:00:00",5372057,15133
"2023-03-27 00:00:00",5356924,15217
"2023-03-26 00:00:00",5341707,18538
"2023-03-25 00:00:00",5323169,18849
