"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",4069796,7744
"2023-05-16 00:00:00",4062053,7744
"2023-05-15 00:00:00",4054309,7346
"2023-05-14 00:00:00",4046963,0
"2023-05-13 00:00:00",4046963,17880
"2023-05-12 00:00:00",4029083,9317
"2023-05-11 00:00:00",4019766,9042
"2023-05-10 00:00:00",4010724,8640
"2023-05-09 00:00:00",4002084,7263
"2023-05-08 00:00:00",3994821,7850
"2023-05-07 00:00:00",3986971,9124
"2023-05-06 00:00:00",3977847,9124
"2023-05-05 00:00:00",3968723,9542
"2023-05-04 00:00:00",3959181,9539
"2023-05-03 00:00:00",3949642,0
"2023-05-02 00:00:00",3949642,9401
"2023-05-01 00:00:00",3940241,16037
"2023-04-30 00:00:00",3924204,9726
"2023-04-29 00:00:00",3914478,9827
"2023-04-28 00:00:00",3904651,9827
"2023-04-27 00:00:00",3894824,5008
"2023-04-26 00:00:00",3889817,5008
"2023-04-25 00:00:00",3884809,9763
"2023-04-24 00:00:00",3875046,16356
"2023-04-23 00:00:00",3858690,9693
"2023-04-22 00:00:00",3848997,9850
"2023-04-21 00:00:00",3839148,9850
"2023-04-20 00:00:00",3829298,9777
"2023-04-19 00:00:00",3819521,9291
"2023-04-18 00:00:00",3810231,9291
"2023-04-17 00:00:00",3800940,8622
"2023-04-16 00:00:00",3792318,10228
"2023-04-15 00:00:00",3782090,10357
"2023-04-14 00:00:00",3771733,10050
"2023-04-13 00:00:00",3761683,10317
"2023-04-12 00:00:00",3751366,9701
"2023-04-11 00:00:00",3741665,8232
"2023-04-10 00:00:00",3733433,9234
"2023-04-09 00:00:00",3724199,0
"2023-04-08 00:00:00",3724199,20747
"2023-04-07 00:00:00",3703452,10656
"2023-04-06 00:00:00",3692796,11034
"2023-04-05 00:00:00",3681762,0
"2023-04-04 00:00:00",3681762,20499
"2023-04-03 00:00:00",3661263,9924
"2023-04-02 00:00:00",3651339,11635
"2023-04-01 00:00:00",3639704,12271
"2023-03-31 00:00:00",3627433,12239
"2023-03-30 00:00:00",3615194,12601
"2023-03-29 00:00:00",3602593,12908
"2023-03-28 00:00:00",3589685,10838
"2023-03-27 00:00:00",3578847,10994
"2023-03-26 00:00:00",3567853,13754
"2023-03-25 00:00:00",3554099,13759
"2023-03-24 00:00:00",3540340,14370
"2023-03-23 00:00:00",3525970,14177
"2023-03-22 00:00:00",3511793,13099
"2023-03-21 00:00:00",3498694,10295
"2023-03-20 00:00:00",3488399,11367
"2023-03-19 00:00:00",3477032,12711
"2023-03-18 00:00:00",3464321,12860
"2023-03-17 00:00:00",3451461,12497
"2023-03-16 00:00:00",3438964,12680
"2023-03-15 00:00:00",3426284,12824
"2023-03-14 00:00:00",3413460,10611
"2023-03-13 00:00:00",3402849,11704
"2023-03-12 00:00:00",3391145,0
"2023-03-11 00:00:00",3391145,27765
"2023-03-10 00:00:00",3363380,13808
"2023-03-09 00:00:00",3349572,14093
"2023-03-08 00:00:00",3335479,14081
"2023-03-07 00:00:00",3321398,11289
"2023-03-06 00:00:00",3310109,0
"2023-03-05 00:00:00",3310109,26927
"2023-03-04 00:00:00",3283182,15393
"2023-03-03 00:00:00",3267789,15752
"2023-03-02 00:00:00",3252037,14775
"2023-03-01 00:00:00",3237262,15819
"2023-02-28 00:00:00",3221443,11917
"2023-02-27 00:00:00",3209526,12299
"2023-02-26 00:00:00",3197227,14772
"2023-02-25 00:00:00",3182455,14672
"2023-02-24 00:00:00",3167783,15420
"2023-02-23 00:00:00",3152363,15294
"2023-02-22 00:00:00",3137069,13717
"2023-02-21 00:00:00",3123352,13235
"2023-02-20 00:00:00",3110117,14106
"2023-02-19 00:00:00",3096011,0
"2023-02-18 00:00:00",3096011,32698
"2023-02-17 00:00:00",3063313,16549
"2023-02-16 00:00:00",3046764,16720
"2023-02-15 00:00:00",3030044,15591
"2023-02-14 00:00:00",3014453,13765
"2023-02-13 00:00:00",3000688,14713
"2023-02-12 00:00:00",2985975,18243
"2023-02-11 00:00:00",2967732,18758
"2023-02-10 00:00:00",2948974,19695
"2023-02-09 00:00:00",2929279,18984
"2023-02-08 00:00:00",2910295,18849
"2023-02-07 00:00:00",2891446,15278
"2023-02-06 00:00:00",2876168,15989
"2023-02-05 00:00:00",2860179,19314
"2023-02-04 00:00:00",2840865,19913
"2023-02-03 00:00:00",2820952,20133
"2023-02-02 00:00:00",2800819,20561
"2023-02-01 00:00:00",2780258,19968
"2023-01-31 00:00:00",2760290,16230
"2023-01-30 00:00:00",2744060,18438
"2023-01-29 00:00:00",2725622,21209
"2023-01-28 00:00:00",2704413,21580
"2023-01-27 00:00:00",2682833,22021
"2023-01-26 00:00:00",2660812,23434
"2023-01-25 00:00:00",2637378,23808
"2023-01-24 00:00:00",2613570,19729
"2023-01-23 00:00:00",2593841,20716
"2023-01-22 00:00:00",2573125,24891
"2023-01-21 00:00:00",2548234,26095
"2023-01-20 00:00:00",2522139,27492
"2023-01-19 00:00:00",2494647,28000
"2023-01-18 00:00:00",2466647,24853
"2023-01-17 00:00:00",2441794,22627
"2023-01-16 00:00:00",2419167,22953
"2023-01-15 00:00:00",2396214,29716
"2023-01-14 00:00:00",2366498,30737
"2023-01-13 00:00:00",2335761,29783
"2023-01-12 00:00:00",2305978,30514
"2023-01-11 00:00:00",2275464,31582
"2023-01-10 00:00:00",2243882,25360
"2023-01-09 00:00:00",2218522,27015
"2023-01-08 00:00:00",2191507,32007
"2023-01-07 00:00:00",2159500,33063
"2023-01-06 00:00:00",2126437,34301
"2023-01-05 00:00:00",2092136,34688
"2023-01-04 00:00:00",2057448,30342
"2023-01-03 00:00:00",2027106,27100
"2023-01-02 00:00:00",2000006,33214
"2023-01-01 00:00:00",1966792,36135
"2022-12-31 00:00:00",1930657,38992
"2022-12-30 00:00:00",1891665,40618
"2022-12-29 00:00:00",1851047,39672
"2022-12-28 00:00:00",1811375,35818
"2022-12-27 00:00:00",1775557,31766
"2022-12-26 00:00:00",1743791,38890
"2022-12-25 00:00:00",1704901,44835
"2022-12-24 00:00:00",1660066,51593
"2022-12-23 00:00:00",1608473,54614
"2022-12-22 00:00:00",1553859,57170
"2022-12-21 00:00:00",1496689,61238
"2022-12-20 00:00:00",1435451,54442
"2022-12-19 00:00:00",1381009,67506
"2022-12-18 00:00:00",1313503,84633
"2022-12-17 00:00:00",1228870,100734
"2022-12-16 00:00:00",1128136,109687
"2022-12-15 00:00:00",1018449,123176
"2022-12-14 00:00:00",895273,155455
"2022-12-13 00:00:00",739818,146306
"2022-12-12 00:00:00",593512,201651
"2022-12-11 00:00:00",391861,387189
"2022-12-10 00:00:00",4672,0
