Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",14,"132,689",,
"Dec 11, 2022",40,"161,435",,
"Dec 12, 2022",85,"180,532",,
"Dec 13, 2022",107,"89,167",,
"Dec 14, 2022",125,"91,647",,
"Dec 15, 2022",127,"82,115",,
"Dec 16, 2022",143,"81,565",,
"Dec 17, 2022",152,"74,506",,
"Dec 18, 2022",158,"75,119",,
"Dec 19, 2022",171,"83,822",,
"Dec 20, 2022",170,"79,513",,
"Dec 21, 2022",188,"127,583",,
"Dec 22, 2022",196,"123,695",,
"Dec 23, 2022",211,"122,186",,
"Dec 24, 2022",242,"116,792",,
"Dec 25, 2022",281,"116,857",,
"Dec 26, 2022",371,"120,153",,
"Dec 27, 2022",432,"124,253",,
"Dec 28, 2022",488,"128,547",,
"Dec 29, 2022",548,"129,037",,
"Dec 30, 2022",610,"128,945",,
"Dec 31, 2022",635,"131,336",,
"Jan 01, 2023",677,"133,629",,
"Jan 02, 2023",723,"129,419",,
"Jan 03, 2023",761,"130,538",,
"Jan 04, 2023",774,"124,476",,
"Jan 05, 2023",783,"115,639",,
"Jan 06, 2023",780,"106,605",,
"Jan 07, 2023",780,"106,605",,
"Jan 08, 2023",781,"106,612",,
"Jan 09, 2023",782,"106,617",,
"Jan 10, 2023",832,"126,204",,
"Jan 11, 2023",884,"114,391",,
"Jan 12, 2023",924,"109,625",,
"Jan 13, 2023",973,"111,909",,
"Jan 14, 2023",999,"112,182",,
"Jan 15, 2023","1,042","113,835",,
"Jan 16, 2023","2,585","130,024",,
"Jan 17, 2023","2,590","142,724",,
"Jan 18, 2023","2,595","142,833",,
"Jan 19, 2023","2,608","143,414",,
"Jan 20, 2023","2,611","143,569",,
"Jan 21, 2023","2,612","143,655",,
"Jan 22, 2023","2,614","143,803",,
"Jan 23, 2023","2,618","143,983",,
"Jan 24, 2023","2,623","144,074",,
"Jan 25, 2023","2,625","144,187",,
"Jan 26, 2023","2,625","144,291",,
"Jan 27, 2023","2,627","144,421",,
"Jan 28, 2023","2,633","151,699",1,"7,181"
"Jan 29, 2023","2,636","152,154",1,"7,181"
"Jan 30, 2023","2,641","152,398",1,"7,181"
"Jan 31, 2023","2,640","152,523",1,"7,179"
"Feb 01, 2023","2,643","154,352",1,"7,180"
"Feb 02, 2023","2,642","154,517",1,"7,181"
"Feb 03, 2023","2,642","154,476",1,"7,181"
"Feb 04, 2023","2,643","154,654",1,"7,182"
"Feb 05, 2023","2,644","154,823",1,"7,183"
"Feb 06, 2023","2,645","154,962",1,"7,183"
"Feb 07, 2023","2,646","154,994",1,"7,181"
"Feb 08, 2023","2,647","155,111",1,"7,181"
"Feb 09, 2023","2,647","155,273",1,"7,180"
"Feb 10, 2023","2,648","155,268",1,"7,183"
"Feb 11, 2023","2,650","155,521",1,"7,182"
"Feb 12, 2023","2,651","155,592",1,"7,182"
"Feb 13, 2023","2,653","155,969",1,"7,183"
"Feb 14, 2023","2,654","156,074",1,"7,183"
"Feb 15, 2023","2,653","155,586",1,"7,183"
"Feb 16, 2023","2,653","155,650",1,"7,183"
"Feb 17, 2023","2,650","155,764",1,"7,185"
"Feb 18, 2023","2,652","156,590",1,"7,186"
"Feb 19, 2023","2,651","156,634",1,"7,186"
"Feb 20, 2023","2,651","156,637",1,"7,186"
"Feb 21, 2023","2,651","156,650",1,"7,187"
"Feb 22, 2023","2,651","156,696",1,"7,187"
"Feb 23, 2023","2,650","156,852",1,"7,187"
"Feb 24, 2023","2,648","156,920",1,"7,189"
"Feb 25, 2023","2,647","156,950",1,"7,191"
"Feb 26, 2023","2,647","157,034",1,"7,191"
"Feb 27, 2023","2,646","157,066",1,"7,192"
"Mar 01, 2023","2,638","156,172",1,"7,192"
"Mar 02, 2023","2,643","157,278",1,"7,192"
"Mar 03, 2023","2,654","155,058",1,"7,191"
"Mar 04, 2023","2,662","155,180",1,"7,192"
"Mar 05, 2023","2,666","155,249",1,"7,191"
"Mar 06, 2023","2,667","155,391",1,"7,192"
"Mar 07, 2023","2,672","155,477",1,"7,192"
"Mar 08, 2023","2,676","155,583",1,"7,191"
"Mar 09, 2023","2,676","155,614",1,"7,191"
"Mar 10, 2023","2,677","155,279",1,"7,192"
"Mar 11, 2023","2,677","155,333",1,"7,193"
"Mar 12, 2023","2,679","155,348",1,"7,194"
"Mar 13, 2023","2,683","155,821",1,"7,193"
"Mar 14, 2023","2,683","155,883",1,"7,193"
"Mar 15, 2023","2,689","155,917",1,"7,193"
"Mar 16, 2023","2,695","156,075",1,"7,193"
"Mar 17, 2023","2,700","156,205",1,"7,193"
"Mar 18, 2023","2,700","156,237",1,"7,194"
"Mar 19, 2023","2,703","155,945",1,"7,195"
"Mar 20, 2023","2,704","155,974",1,"7,195"
"Mar 21, 2023","2,707","156,044",1,"7,196"
"Mar 22, 2023","2,711","156,625",1,"7,196"
"Mar 23, 2023","2,717","156,886",1,"7,198"
"Mar 24, 2023","2,719","157,047",1,"7,200"
"Mar 25, 2023","2,720","154,520",1,"7,201"
"Mar 26, 2023","2,720","157,312",1,"7,200"
"Mar 27, 2023","2,724","157,431",1,"7,200"
"Mar 28, 2023","2,725","157,511",1,"7,200"
"Mar 29, 2023","2,730","157,616",1,"7,201"
"Mar 30, 2023","2,737","157,718",1,"7,201"
"Mar 31, 2023","2,737","157,770",1,"7,200"
"Apr 01, 2023","2,742","157,872",1,"7,200"
"Apr 02, 2023","2,748","157,933",1,"7,200"
"Apr 03, 2023","2,754","161,621",1,"7,200"
"Apr 04, 2023","2,760","161,700",1,"7,201"
"Apr 05, 2023","2,764","161,786",1,"7,200"
"Apr 06, 2023","2,766","161,911",1,"7,201"
"Apr 07, 2023","2,768","161,972",1,"7,201"
"Apr 08, 2023","2,771","162,067",1,"7,201"
"Apr 09, 2023","2,774","162,119",1,"7,201"
"Apr 10, 2023","2,780","162,171",1,"7,201"
"Apr 11, 2023","2,784","162,228",1,"7,203"
"Apr 12, 2023","2,788","162,267",1,"7,203"
"Apr 13, 2023","2,788","162,319",1,"7,204"
"Apr 14, 2023","2,797","162,379",1,"7,203"
"Apr 15, 2023","2,800","162,493",1,"7,206"
"Apr 16, 2023","2,802","162,594",1,"7,207"
"Apr 17, 2023","2,805","162,684",1,"7,206"
"Apr 18, 2023","2,810","162,797",1,"7,206"
"Apr 19, 2023","2,818","162,913",1,"7,206"
"Apr 20, 2023","2,824","163,041",1,"7,206"
"Apr 21, 2023","2,834","163,177",1,"7,207"
"Apr 22, 2023","2,844","163,280",1,"7,207"
"Apr 23, 2023","2,849","163,459",1,"7,207"
"Apr 24, 2023","2,854","163,565",1,"7,207"
"Apr 25, 2023","2,864","163,625",1,"7,207"
"Apr 26, 2023","2,871","163,732",1,"7,207"
"Apr 27, 2023","2,877","163,943",1,"7,207"
