Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",39,"6,547,141",1,"6,384,694"
"Dec 11, 2022",100,"6,629,291",1,"6,386,533"
"Dec 12, 2022",193,"6,673,424",1,"6,387,490"
"Dec 13, 2022",257,"6,757,131",1,"6,389,833"
"Dec 14, 2022",296,"6,759,306",1,"6,390,496"
"Dec 15, 2022",308,"6,738,617",1,"6,392,545"
"Dec 16, 2022",351,"6,762,890",1,"6,395,230"
"Dec 17, 2022",371,"6,761,367",2,"6,396,959"
"Dec 18, 2022",406,"6,759,765",2,"6,398,915"
"Dec 19, 2022",440,"6,779,426",2,"6,400,776"
"Dec 20, 2022",441,"6,780,407",2,"6,402,669"
"Dec 21, 2022",477,"6,829,784",2,"6,404,580"
"Dec 22, 2022",502,"6,829,257",2,"6,406,242"
"Dec 23, 2022",564,"6,824,690",2,"6,408,112"
"Dec 24, 2022",640,"6,871,784",2,"6,409,438"
"Dec 25, 2022",762,"6,880,552",2,"6,411,130"
"Dec 26, 2022",979,"6,873,555",1,"6,413,412"
"Dec 27, 2022","1,152","6,892,474",1,"6,415,544"
"Dec 28, 2022","1,303","6,907,424",1,"6,417,882"
"Dec 29, 2022","1,458","6,912,729",1,"6,419,644"
"Dec 30, 2022","1,625","6,922,221",1,"6,422,423"
"Dec 31, 2022","1,681","6,910,963",1,"6,425,358"
"Jan 01, 2023","1,795","6,916,290",1,"6,431,402"
"Jan 02, 2023","1,965","6,925,471",1,"6,433,329"
"Jan 03, 2023","2,048","6,940,206",1,"6,434,960"
"Jan 04, 2023","2,097","6,906,133",1,"6,436,706"
"Jan 05, 2023","2,126","6,867,297",1,"6,438,200"
"Jan 06, 2023","2,114","6,855,411",1,"6,440,078"
"Jan 07, 2023","2,112","6,856,366",1,"6,441,431"
"Jan 08, 2023","2,114","6,858,445",1,"6,443,518"
"Jan 09, 2023","2,115","6,857,045",1,"6,445,430"
"Jan 10, 2023","2,242","6,965,831",1,"6,447,378"
"Jan 11, 2023","2,390","6,976,739",1,"6,449,457"
"Jan 12, 2023","2,488","6,978,383",1,"6,451,667"
"Jan 13, 2023","2,627","6,983,278",1,"6,453,908"
"Jan 14, 2023","2,678","6,987,085",1,"6,455,777"
"Jan 15, 2023","2,778","6,991,791",1,"6,458,231"
"Jan 16, 2023","6,771","7,041,302",1,"6,459,566"
"Jan 17, 2023","6,791","7,064,029",1,"6,461,628"
"Jan 18, 2023","6,806","7,069,352",1,"6,463,521"
"Jan 19, 2023","6,833","7,073,691",1,"6,465,432"
"Jan 20, 2023","6,846","7,075,893",1,"6,467,379"
"Jan 21, 2023","6,860","7,078,655",1,"6,469,270"
"Jan 22, 2023","6,877","7,081,785",1,"6,471,339"
"Jan 23, 2023","6,892","7,084,893",1,"6,473,248"
"Jan 24, 2023","6,908","7,087,672",1,"6,474,855"
"Jan 25, 2023","6,917","7,092,175",1,"6,476,889"
"Jan 26, 2023","6,927","7,092,453",1,"6,478,399"
"Jan 27, 2023","6,938","7,095,059",1,"6,480,100"
"Jan 28, 2023","6,954","7,096,176",1,"6,482,231"
"Jan 29, 2023","6,964","7,102,045",1,"6,484,493"
"Jan 30, 2023","6,975","7,102,159",1,"6,486,015"
"Jan 31, 2023","6,982","7,105,060",1,"6,487,718"
"Feb 01, 2023","7,001","7,109,725",1,"6,489,135"
"Feb 02, 2023","7,013","7,111,776",1,"6,490,597"
"Feb 03, 2023","7,021","7,113,612",1,"6,492,049"
"Feb 04, 2023","7,023","7,115,913",1,"6,493,680"
"Feb 05, 2023","7,030","7,117,504",1,"6,494,823"
"Feb 06, 2023","7,037","7,119,041",1,"6,495,836"
"Feb 07, 2023","7,037","7,120,480",1,"6,496,901"
"Feb 08, 2023","7,039","7,122,489",1,"6,498,217"
"Feb 09, 2023","7,046","7,124,314",1,"6,499,422"
"Feb 10, 2023","7,051","7,126,507",1,"6,500,786"
"Feb 11, 2023","7,056","7,128,277",1,"6,501,991"
"Feb 12, 2023","7,061","7,130,000",1,"6,503,311"
"Feb 13, 2023","7,071","7,158,512",1,"6,504,274"
"Feb 14, 2023","7,074","7,160,031",1,"6,505,248"
"Feb 15, 2023","7,078","7,160,597",1,"6,506,101"
"Feb 16, 2023","7,079","7,162,027",1,"6,507,008"
"Feb 17, 2023","7,082","7,163,976",1,"6,507,959"
"Feb 18, 2023","7,085","7,166,388",1,"6,509,203"
"Feb 19, 2023","7,087","7,168,332",1,"6,510,792"
"Feb 20, 2023","7,087","7,170,407",1,"6,512,165"
"Feb 21, 2023","7,083","7,172,143",1,"6,513,390"
"Feb 22, 2023","7,081","7,174,209",1,"6,514,597"
"Feb 23, 2023","7,081","7,176,764",1,"6,515,895"
"Feb 24, 2023","7,082","7,178,633",1,"6,517,221"
"Feb 25, 2023","7,080","7,175,371",1,"6,518,611"
"Feb 26, 2023","7,076","7,177,289",1,"6,519,982"
"Feb 27, 2023","7,069","7,178,628",1,"6,521,085"
"Mar 01, 2023","7,042","7,180,741",1,"6,523,500"
"Mar 02, 2023","7,073","7,182,918",1,"6,524,471"
"Mar 03, 2023","7,105","7,182,640",1,"6,525,675"
"Mar 04, 2023","7,129","7,179,588",1,"6,527,589"
"Mar 05, 2023","7,139","7,187,814",1,"6,529,617"
"Mar 06, 2023","7,159","7,190,928",1,"6,531,696"
"Mar 07, 2023","7,178","7,192,551",1,"6,532,866"
"Mar 08, 2023","7,193","7,189,081",1,"6,534,293"
"Mar 09, 2023","7,205","7,191,526",1,"6,536,154"
"Mar 10, 2023","7,215","7,193,780",1,"6,538,215"
"Mar 11, 2023","7,235","7,197,103",1,"6,539,947"
"Mar 12, 2023","7,254","7,203,563",1,"6,541,412"
"Mar 13, 2023","7,273","7,204,569",1,"6,542,608"
"Mar 14, 2023","7,282","7,209,761",1,"6,543,625"
"Mar 15, 2023","7,302","7,212,921",1,"6,544,882"
"Mar 16, 2023","7,320","7,215,779",1,"6,546,068"
"Mar 17, 2023","7,338","7,219,277",1,"6,547,360"
"Mar 18, 2023","7,350","7,220,896",1,"6,548,626"
"Mar 19, 2023","7,361","7,182,361",1,"6,549,730"
"Mar 20, 2023","7,373","7,185,269",1,"6,550,680"
"Mar 21, 2023","7,390","7,186,452",1,"6,551,613"
"Mar 22, 2023","7,399","7,188,916",1,"6,552,939"
"Mar 23, 2023","7,416","7,190,512",1,"6,554,124"
"Mar 24, 2023","7,432","7,192,393",1,"6,555,092"
"Mar 25, 2023","7,455","635,905",,
"Mar 26, 2023","7,453","639,239",,
"Mar 27, 2023","7,470","639,973",,
"Mar 28, 2023","7,480","639,072",,
"Mar 29, 2023","7,502","637,055",,
"Mar 30, 2023","7,521","640,149",,
"Mar 31, 2023","7,531","640,891",,
"Apr 01, 2023","7,554","640,496",,
"Apr 02, 2023","7,569","641,416",,
"Apr 03, 2023","7,587","646,781",,
"Apr 04, 2023","7,603","647,502",,
"Apr 05, 2023","7,623","648,072",,
"Apr 06, 2023","7,644","649,286",,
"Apr 07, 2023","7,659","649,917",,
"Apr 08, 2023","7,674","648,895",,
"Apr 09, 2023","7,693","649,019",,
"Apr 10, 2023","7,721","654,312",,
"Apr 11, 2023","7,738","654,908",,
"Apr 12, 2023","7,747","656,206",,
"Apr 13, 2023","7,757","656,828",,
"Apr 14, 2023","7,778","654,995",,
"Apr 15, 2023","7,796","653,303",,
"Apr 16, 2023","7,828","654,779",,
"Apr 17, 2023","7,841","656,417",,
"Apr 18, 2023","7,864","657,161",,
"Apr 19, 2023","7,906","658,368",,
"Apr 20, 2023","7,936","659,252",,
"Apr 21, 2023","7,967","659,333",,
"Apr 22, 2023","7,993","662,853",,
"Apr 23, 2023","8,014","636,098",,
"Apr 24, 2023","8,032","634,414",,
"Apr 25, 2023","8,060","635,123",,
"Apr 26, 2023","8,080","635,734",,
"Apr 27, 2023","8,111","636,484",,
"Apr 28, 2023","8,132","637,307",,
"Apr 29, 2023","8,170","637,936",,
"Apr 30, 2023","8,191","638,458",,
"May 01, 2023","8,221","639,092",,
"May 02, 2023","8,240","639,743",,
"May 03, 2023","8,262","640,380",,
"May 04, 2023","8,286","638,291",,
"May 05, 2023","8,312","641,589",,
"May 06, 2023","8,352","642,779",,
"May 07, 2023","8,369","643,107",,
"May 08, 2023","8,388","641,020",,
"May 09, 2023","8,409","640,953",,
"May 10, 2023","8,428","639,003",,
"May 11, 2023","8,440","642,053",,
"May 12, 2023","8,457","643,477",,
"May 13, 2023","8,484","644,015",,
"May 14, 2023","8,497","644,364",,
"May 15, 2023","8,522","644,774",,
"May 16, 2023","8,531","645,204",,
"May 17, 2023","8,557","645,782",,
Invalid date,,,,
