Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",24,"149,178",,
"Dec 11, 2022",55,"186,895",,
"Dec 12, 2022",104,"212,731",,
"Dec 13, 2022",131,"123,262",,
"Dec 14, 2022",160,"126,438",,
"Dec 15, 2022",168,"110,857",,
"Dec 16, 2022",188,"152,184",,
"Dec 17, 2022",200,"150,060",,
"Dec 18, 2022",208,"142,756",,
"Dec 19, 2022",218,"157,224",,
"Dec 20, 2022",225,"160,648",,
"Dec 21, 2022",238,"204,714",,
"Dec 22, 2022",251,"201,321",,
"Dec 23, 2022",270,"196,115",,
"Dec 24, 2022",304,"187,751",,
"Dec 25, 2022",365,"190,351",,
"Dec 26, 2022",490,"189,688",,
"Dec 27, 2022",584,"204,259",,
"Dec 28, 2022",650,"206,047",,
"Dec 29, 2022",732,"206,372",,
"Dec 30, 2022",809,"342,309",,
"Dec 31, 2022",836,"336,165",,
"Jan 01, 2023",891,"336,441",,
"Jan 02, 2023",952,"322,347",,
"Jan 03, 2023",991,"322,948",,
"Jan 04, 2023","1,016","318,160",,
"Jan 05, 2023","1,025","313,627",,
"Jan 06, 2023","1,015","301,421",,
"Jan 07, 2023","1,015","301,421",,
"Jan 08, 2023","1,015","301,421",,
"Jan 09, 2023","1,017","301,370",,
"Jan 10, 2023","1,074","332,758",,
"Jan 11, 2023","1,152","329,000",,
"Jan 12, 2023","1,200","325,206",,
"Jan 13, 2023","1,257","327,901",,
"Jan 14, 2023","1,283","328,283",,
"Jan 15, 2023","1,333","329,899",,
"Jan 16, 2023","3,210","341,087",,
"Jan 17, 2023","3,214","341,216",,
"Jan 18, 2023","3,217","341,363",,
"Jan 19, 2023","3,226","341,536",,
"Jan 20, 2023","3,231","341,745",,
"Jan 21, 2023","3,233","341,922",,
"Jan 22, 2023","3,239","342,127",,
"Jan 23, 2023","3,243","342,293",,
"Jan 24, 2023","3,246","342,424",,
"Jan 25, 2023","3,249","342,729",,
"Jan 26, 2023","3,253","343,071",,
"Jan 27, 2023","3,259","343,458",,
"Jan 28, 2023","3,266","343,567",,
"Jan 29, 2023","3,267","343,770",,
"Jan 30, 2023","3,268","347,877",,
"Jan 31, 2023","3,271","348,582",,
"Feb 01, 2023","3,274","350,565",,
"Feb 02, 2023","3,278","350,767",,
"Feb 03, 2023","3,284","351,542",,
"Feb 04, 2023","3,285","351,716",,
"Feb 05, 2023","3,290","351,908",,
"Feb 06, 2023","3,290","352,136",,
"Feb 07, 2023","3,292","352,261",,
"Feb 08, 2023","3,293","352,197",,
"Feb 09, 2023","3,294","352,391",,
"Feb 10, 2023","3,299","352,471",,
"Feb 11, 2023","3,301","352,717",,
"Feb 12, 2023","3,301","352,903",,
"Feb 13, 2023","3,303","379,767",,
"Feb 14, 2023","3,305","379,942",,
"Feb 15, 2023","3,305","380,064",,
"Feb 16, 2023","3,305","380,084",,
"Feb 17, 2023","3,305","380,268",,
"Feb 18, 2023","3,306","381,148",,
"Feb 19, 2023","3,304","381,292",,
"Feb 20, 2023","3,304","381,346",,
"Feb 21, 2023","3,301","381,451",,
"Feb 22, 2023","3,299","380,778",,
"Feb 23, 2023","3,298","381,019",,
"Feb 24, 2023","3,295","381,224",,
"Feb 25, 2023","3,293","381,307",,
"Feb 26, 2023","3,290","381,287",,
"Feb 27, 2023","3,289","381,408",,
"Mar 01, 2023","3,279","380,566",,
"Mar 02, 2023","3,288","386,102",,
"Mar 03, 2023","3,297","384,369",,
"Mar 04, 2023","3,305","379,064",,
"Mar 05, 2023","3,313","385,277",,
"Mar 06, 2023","3,314","384,915",,
"Mar 07, 2023","3,323","386,339",,
"Mar 08, 2023","3,330","381,016",,
"Mar 09, 2023","3,333","381,275",,
"Mar 10, 2023","3,333","381,040",,
"Mar 11, 2023","3,338","381,201",,
"Mar 12, 2023","3,344","381,361",,
"Mar 13, 2023","3,349","381,918",,
