"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",3520426,6052
"2023-05-16 00:00:00",3514374,6052
"2023-05-15 00:00:00",3508322,5761
"2023-05-14 00:00:00",3502561,0
"2023-05-13 00:00:00",3502561,14242
"2023-05-12 00:00:00",3488319,7442
"2023-05-11 00:00:00",3480877,7099
"2023-05-10 00:00:00",3473778,7177
"2023-05-09 00:00:00",3466601,6317
"2023-05-08 00:00:00",3460284,6695
"2023-05-07 00:00:00",3453589,7416
"2023-05-06 00:00:00",3446173,7416
"2023-05-05 00:00:00",3438757,7393
"2023-05-04 00:00:00",3431364,7499
"2023-05-03 00:00:00",3423865,0
"2023-05-02 00:00:00",3423865,7471
"2023-05-01 00:00:00",3416394,12974
"2023-04-30 00:00:00",3403420,7780
"2023-04-29 00:00:00",3395640,7778
"2023-04-28 00:00:00",3387863,7778
"2023-04-27 00:00:00",3380085,3854
"2023-04-26 00:00:00",3376231,3854
"2023-04-25 00:00:00",3372377,7460
"2023-04-24 00:00:00",3364917,12753
"2023-04-23 00:00:00",3352164,7671
"2023-04-22 00:00:00",3344493,8034
"2023-04-21 00:00:00",3336459,8034
"2023-04-20 00:00:00",3328425,7979
"2023-04-19 00:00:00",3320446,7089
"2023-04-18 00:00:00",3313357,7089
"2023-04-17 00:00:00",3306268,6963
"2023-04-16 00:00:00",3299305,7950
"2023-04-15 00:00:00",3291355,8031
"2023-04-14 00:00:00",3283324,8032
"2023-04-13 00:00:00",3275292,8016
"2023-04-12 00:00:00",3267276,7666
"2023-04-11 00:00:00",3259610,6615
"2023-04-10 00:00:00",3252995,7244
"2023-04-09 00:00:00",3245751,0
"2023-04-08 00:00:00",3245751,16685
"2023-04-07 00:00:00",3229066,8970
"2023-04-06 00:00:00",3220096,8841
"2023-04-05 00:00:00",3211255,0
"2023-04-04 00:00:00",3211255,16350
"2023-04-03 00:00:00",3194905,8213
"2023-04-02 00:00:00",3186692,9328
"2023-04-01 00:00:00",3177364,9474
"2023-03-31 00:00:00",3167890,10035
"2023-03-30 00:00:00",3157855,9970
"2023-03-29 00:00:00",3147885,10045
"2023-03-28 00:00:00",3137840,8498
"2023-03-27 00:00:00",3129342,9097
"2023-03-26 00:00:00",3120245,10746
"2023-03-25 00:00:00",3109499,10843
"2023-03-24 00:00:00",3098656,11291
"2023-03-23 00:00:00",3087365,11123
"2023-03-22 00:00:00",3076242,10292
"2023-03-21 00:00:00",3065950,8271
"2023-03-20 00:00:00",3057679,8770
"2023-03-19 00:00:00",3048909,10033
"2023-03-18 00:00:00",3038876,10461
"2023-03-17 00:00:00",3028415,10260
"2023-03-16 00:00:00",3018155,10039
"2023-03-15 00:00:00",3008116,10236
"2023-03-14 00:00:00",2997880,9008
"2023-03-13 00:00:00",2988872,9519
"2023-03-12 00:00:00",2979353,0
"2023-03-11 00:00:00",2979353,22835
"2023-03-10 00:00:00",2956518,11480
"2023-03-09 00:00:00",2945038,11474
"2023-03-08 00:00:00",2933564,11514
"2023-03-07 00:00:00",2922050,9447
"2023-03-06 00:00:00",2912603,0
"2023-03-05 00:00:00",2912603,22370
"2023-03-04 00:00:00",2890233,12539
"2023-03-03 00:00:00",2877694,12404
"2023-03-02 00:00:00",2865290,12179
"2023-03-01 00:00:00",2853111,12286
"2023-02-28 00:00:00",2840825,9732
"2023-02-27 00:00:00",2831093,11022
"2023-02-26 00:00:00",2820071,12833
"2023-02-25 00:00:00",2807238,12900
"2023-02-24 00:00:00",2794338,13186
"2023-02-23 00:00:00",2781152,13297
"2023-02-22 00:00:00",2767855,11941
"2023-02-21 00:00:00",2755914,10915
"2023-02-20 00:00:00",2744999,11782
"2023-02-19 00:00:00",2733217,0
"2023-02-18 00:00:00",2733217,27824
"2023-02-17 00:00:00",2705393,14190
"2023-02-16 00:00:00",2691203,14476
"2023-02-15 00:00:00",2676727,13403
"2023-02-14 00:00:00",2663324,11998
"2023-02-13 00:00:00",2651326,12972
"2023-02-12 00:00:00",2638354,15760
"2023-02-11 00:00:00",2622594,16163
"2023-02-10 00:00:00",2606431,17013
"2023-02-09 00:00:00",2589418,16012
"2023-02-08 00:00:00",2573406,15748
"2023-02-07 00:00:00",2557658,12933
"2023-02-06 00:00:00",2544725,14003
"2023-02-05 00:00:00",2530722,16680
"2023-02-04 00:00:00",2514042,16997
"2023-02-03 00:00:00",2497045,17416
"2023-02-02 00:00:00",2479629,17282
"2023-02-01 00:00:00",2462347,17053
"2023-01-31 00:00:00",2445294,14046
"2023-01-30 00:00:00",2431248,15391
"2023-01-29 00:00:00",2415857,18190
"2023-01-28 00:00:00",2397667,18492
"2023-01-27 00:00:00",2379175,19027
"2023-01-26 00:00:00",2360148,19675
"2023-01-25 00:00:00",2340473,19294
"2023-01-24 00:00:00",2321179,16086
"2023-01-23 00:00:00",2305093,17701
"2023-01-22 00:00:00",2287392,21011
"2023-01-21 00:00:00",2266381,21820
"2023-01-20 00:00:00",2244561,22736
"2023-01-19 00:00:00",2221825,23008
"2023-01-18 00:00:00",2198817,20678
"2023-01-17 00:00:00",2178139,18408
"2023-01-16 00:00:00",2159731,19567
"2023-01-15 00:00:00",2140164,24098
"2023-01-14 00:00:00",2116066,25280
"2023-01-13 00:00:00",2090786,25513
"2023-01-12 00:00:00",2065273,26812
"2023-01-11 00:00:00",2038461,27368
"2023-01-10 00:00:00",2011093,22505
"2023-01-09 00:00:00",1988588,24362
"2023-01-08 00:00:00",1964226,28548
"2023-01-07 00:00:00",1935678,29162
"2023-01-06 00:00:00",1906516,31083
"2023-01-05 00:00:00",1875433,30967
"2023-01-04 00:00:00",1844466,28034
"2023-01-03 00:00:00",1816432,24670
"2023-01-02 00:00:00",1791762,30527
"2023-01-01 00:00:00",1761235,33777
"2022-12-31 00:00:00",1727458,35296
"2022-12-30 00:00:00",1692162,36926
"2022-12-29 00:00:00",1655236,36123
"2022-12-28 00:00:00",1619113,32594
"2022-12-27 00:00:00",1586519,28157
"2022-12-26 00:00:00",1558362,35617
"2022-12-25 00:00:00",1522745,42302
"2022-12-24 00:00:00",1480443,47994
"2022-12-23 00:00:00",1432449,51647
"2022-12-22 00:00:00",1380802,53996
"2022-12-21 00:00:00",1326806,56344
"2022-12-20 00:00:00",1270462,49464
"2022-12-19 00:00:00",1220998,61756
"2022-12-18 00:00:00",1159242,76780
"2022-12-17 00:00:00",1082462,89940
"2022-12-16 00:00:00",992522,99746
"2022-12-15 00:00:00",892776,114514
"2022-12-14 00:00:00",778262,136399
"2022-12-13 00:00:00",641863,127378
"2022-12-12 00:00:00",514485,179490
"2022-12-11 00:00:00",334995,331213
"2022-12-10 00:00:00",3782,0
