Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",18,"138,433",,
"Dec 11, 2022",56,"172,802",,
"Dec 12, 2022",106,"183,463",,
"Dec 13, 2022",129,"90,774",,
"Dec 14, 2022",152,"98,658",,
"Dec 15, 2022",161,"88,436",,
"Dec 16, 2022",180,"93,111",,
"Dec 17, 2022",191,"90,941",,
"Dec 18, 2022",205,"91,771",,
"Dec 19, 2022",225,"99,521",,
"Dec 20, 2022",230,"100,213",,
"Dec 21, 2022",245,"142,690",,
"Dec 22, 2022",259,"141,293",,
"Dec 23, 2022",287,"140,874",,
"Dec 24, 2022",314,"129,539",,
"Dec 25, 2022",379,"132,966",,
"Dec 26, 2022",502,"137,819",,
"Dec 27, 2022",590,"139,483",,
"Dec 28, 2022",655,"146,194",,
"Dec 29, 2022",736,"179,155",,
"Dec 30, 2022",817,"181,807",,
"Dec 31, 2022",839,"181,231",,
"Jan 01, 2023",892,"183,255",,
"Jan 02, 2023",961,"156,939",,
"Jan 03, 2023","1,011","149,861",,
"Jan 04, 2023","1,037","144,510",,
"Jan 05, 2023","1,052","132,406",,
"Jan 06, 2023","1,043","117,877",,
"Jan 07, 2023","1,043","119,045",,
"Jan 08, 2023","1,043","119,044",,
"Jan 09, 2023","1,045","119,066",,
"Jan 10, 2023","1,116","173,424",,
"Jan 11, 2023","1,188","196,996",,
"Jan 12, 2023","1,237","193,950",,
"Jan 13, 2023","1,290","194,391",,
"Jan 14, 2023","1,318","195,069",,
"Jan 15, 2023","1,379","197,624",,
"Jan 16, 2023","3,321","210,134",,
"Jan 17, 2023","3,330","210,629",,
"Jan 18, 2023","3,337","211,612",,
"Jan 19, 2023","3,346","212,313",,
"Jan 20, 2023","3,356","212,816",,
"Jan 21, 2023","3,359","213,322",,
"Jan 22, 2023","3,361","213,398",,
"Jan 23, 2023","3,366","213,912",,
"Jan 24, 2023","3,370","214,081",,
"Jan 25, 2023","3,380","216,474",,
"Jan 26, 2023","3,384","216,928",,
"Jan 27, 2023","3,393","217,479",,
"Jan 28, 2023","3,402","217,841",,
"Jan 29, 2023","3,404","218,300",,
"Jan 30, 2023","3,407","218,570",,
"Jan 31, 2023","3,409","219,205",,
"Feb 01, 2023","3,413","221,291",,
"Feb 02, 2023","3,419","221,614",,
"Feb 03, 2023","3,425","221,974",,
"Feb 04, 2023","3,428","222,360",,
"Feb 05, 2023","3,430","222,745",,
"Feb 06, 2023","3,431","222,923",,
"Feb 07, 2023","3,432","223,154",,
"Feb 08, 2023","3,436","223,341",,
"Feb 09, 2023","3,440","223,624",,
"Feb 10, 2023","3,444","223,867",,
"Feb 11, 2023","3,444","224,019",,
"Feb 12, 2023","3,441","223,962",,
"Feb 13, 2023","3,446","224,513",,
"Feb 14, 2023","3,447","224,752",,
"Feb 15, 2023","3,448","225,152",,
"Feb 16, 2023","3,447","225,444",,
"Feb 17, 2023","3,446","226,393",,
"Feb 18, 2023","3,447","227,369",,
"Feb 19, 2023","3,447","227,632",,
"Feb 20, 2023","3,448","228,100",,
"Feb 21, 2023","3,448","228,245",,
"Feb 22, 2023","3,449","227,691",,
"Feb 23, 2023","3,447","228,013",,
"Feb 24, 2023","3,444","228,260",,
"Feb 25, 2023","3,443","228,390",,
"Feb 26, 2023","3,441","228,629",,
"Feb 27, 2023","3,440","228,852",,
"Mar 01, 2023","3,427","228,260",,
"Mar 02, 2023","3,442","230,051",,
"Mar 03, 2023","3,453","228,010",,
"Mar 04, 2023","3,461","222,732",,
"Mar 05, 2023","3,470","228,614",,
"Mar 06, 2023","3,474","229,085",,
"Mar 07, 2023","3,480","230,614",,
"Mar 08, 2023","3,488","225,624",,
"Mar 09, 2023","3,492","226,027",,
"Mar 10, 2023","3,493","225,872",,
"Mar 11, 2023","3,499","226,124",,
"Mar 12, 2023","3,502","226,427",,
"Mar 13, 2023","3,509","226,993",,
"Mar 14, 2023","3,509","227,374",,
"Mar 15, 2023","3,518","227,622",,
"Mar 16, 2023","3,524","227,818",,
"Mar 17, 2023","3,527","228,102",,
"Mar 18, 2023","3,529","228,287",,
"Mar 19, 2023","3,538","228,580",,
"Mar 20, 2023","3,543","229,144",,
"Mar 21, 2023","3,551","229,412",,
"Mar 22, 2023","3,554","229,886",,
"Mar 23, 2023","3,557","230,459",,
"Mar 24, 2023","3,559","230,891",,
"Mar 25, 2023","3,568","228,755",,
"Mar 26, 2023","3,567","231,651",,
"Mar 27, 2023","3,576","232,121",,
"Mar 28, 2023","3,581","232,342",,
"Mar 29, 2023","3,590","232,800",,
"Mar 30, 2023","3,601","233,168",,
"Mar 31, 2023","3,606","233,593",,
"Apr 01, 2023","3,613","235,248",,
"Apr 02, 2023","3,617","235,609",,
"Apr 03, 2023","3,623","239,445",,
"Apr 04, 2023","3,634","239,867",,
"Apr 05, 2023","3,641","240,155",,
"Apr 06, 2023","3,654","240,565",,
"Apr 07, 2023","3,660","240,885",,
"Apr 08, 2023","3,667","243,399",,
"Apr 09, 2023","3,673","243,722",,
"Apr 10, 2023","3,678","243,936",,
"Apr 11, 2023","3,684","244,248",,
"Apr 12, 2023","3,689","244,563",,
"Apr 13, 2023","3,689","244,840",,
"Apr 14, 2023","3,696","245,194",,
"Apr 15, 2023","3,698","245,599",,
"Apr 16, 2023","3,710","246,205",,
"Apr 17, 2023","3,714","246,535",,
"Apr 18, 2023","3,723","246,857",,
"Apr 19, 2023","3,737","247,274",,
"Apr 20, 2023","3,745","247,676",,
"Apr 21, 2023","3,753","246,086",,
"Apr 22, 2023","3,766","249,070",,
"Apr 23, 2023","3,771","248,652",,
"Apr 24, 2023","3,777","249,890",,
"Apr 25, 2023","3,787","250,230",,
"Apr 26, 2023","3,792","250,483",,
"Apr 27, 2023","3,800","251,070",,
"Apr 28, 2023","3,808","251,371",,
"Apr 29, 2023","3,821","251,667",,
"Apr 30, 2023","3,830","252,171",,
"May 01, 2023","3,837","252,656",,
"May 02, 2023","3,842","253,018",,
"May 03, 2023","3,848","253,228",,
"May 04, 2023","3,857","253,667",,
"May 05, 2023","3,867","254,004",,
"May 06, 2023","3,878","254,359",,
"May 07, 2023","3,887","254,595",,
"May 08, 2023","3,892","254,855",,
"May 09, 2023","3,897","255,191",,
"May 10, 2023","3,905","253,517",,
"May 11, 2023","3,911","256,068",,
"May 12, 2023","3,916","256,298",,
"May 13, 2023","3,929","256,702",,
"May 14, 2023","3,932","256,998",,
"May 15, 2023","3,948","257,305",,
"May 16, 2023","3,953","257,468",,
"May 17, 2023","3,969","257,781",,
Invalid date,,,,
