"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",3972274,8449
"2023-05-16 00:00:00",3963825,8449
"2023-05-15 00:00:00",3955376,8143
"2023-05-14 00:00:00",3947233,0
"2023-05-13 00:00:00",3947233,19046
"2023-05-12 00:00:00",3928187,9640
"2023-05-11 00:00:00",3918547,9378
"2023-05-10 00:00:00",3909169,9216
"2023-05-09 00:00:00",3899953,7569
"2023-05-08 00:00:00",3892384,8338
"2023-05-07 00:00:00",3884046,9680
"2023-05-06 00:00:00",3874366,9680
"2023-05-05 00:00:00",3864686,9823
"2023-05-04 00:00:00",3854863,9841
"2023-05-03 00:00:00",3845022,0
"2023-05-02 00:00:00",3845022,9768
"2023-05-01 00:00:00",3835254,17048
"2023-04-30 00:00:00",3818206,10250
"2023-04-29 00:00:00",3807956,10230
"2023-04-28 00:00:00",3797726,10230
"2023-04-27 00:00:00",3787496,5085
"2023-04-26 00:00:00",3782411,5085
"2023-04-25 00:00:00",3777326,10029
"2023-04-24 00:00:00",3767297,17144
"2023-04-23 00:00:00",3750153,9981
"2023-04-22 00:00:00",3740172,10474
"2023-04-21 00:00:00",3729699,10474
"2023-04-20 00:00:00",3719225,10324
"2023-04-19 00:00:00",3708901,9298
"2023-04-18 00:00:00",3699603,9298
"2023-04-17 00:00:00",3690305,8829
"2023-04-16 00:00:00",3681476,10265
"2023-04-15 00:00:00",3671211,10377
"2023-04-14 00:00:00",3660834,10400
"2023-04-13 00:00:00",3650434,10520
"2023-04-12 00:00:00",3639914,9788
"2023-04-11 00:00:00",3630126,8495
"2023-04-10 00:00:00",3621631,9526
"2023-04-09 00:00:00",3612105,0
"2023-04-08 00:00:00",3612105,21234
"2023-04-07 00:00:00",3590871,11142
"2023-04-06 00:00:00",3579729,11199
"2023-04-05 00:00:00",3568530,0
"2023-04-04 00:00:00",3568530,20592
"2023-04-03 00:00:00",3547938,10234
"2023-04-02 00:00:00",3537704,11870
"2023-04-01 00:00:00",3525834,12179
"2023-03-31 00:00:00",3513655,12626
"2023-03-30 00:00:00",3501029,12884
"2023-03-29 00:00:00",3488145,12876
"2023-03-28 00:00:00",3475269,10698
"2023-03-27 00:00:00",3464571,11512
"2023-03-26 00:00:00",3453059,13639
"2023-03-25 00:00:00",3439420,13707
"2023-03-24 00:00:00",3425713,14258
"2023-03-23 00:00:00",3411455,14180
"2023-03-22 00:00:00",3397275,13385
"2023-03-21 00:00:00",3383890,10471
"2023-03-20 00:00:00",3373419,11356
"2023-03-19 00:00:00",3362063,12976
"2023-03-18 00:00:00",3349087,12902
"2023-03-17 00:00:00",3336185,12934
"2023-03-16 00:00:00",3323251,12996
"2023-03-15 00:00:00",3310255,13248
"2023-03-14 00:00:00",3297007,11216
"2023-03-13 00:00:00",3285791,11752
"2023-03-12 00:00:00",3274039,0
"2023-03-11 00:00:00",3274039,28377
"2023-03-10 00:00:00",3245662,14756
"2023-03-09 00:00:00",3230906,14660
"2023-03-08 00:00:00",3216246,14218
"2023-03-07 00:00:00",3202028,11645
"2023-03-06 00:00:00",3190383,0
"2023-03-05 00:00:00",3190383,27827
"2023-03-04 00:00:00",3162556,15851
"2023-03-03 00:00:00",3146705,15773
"2023-03-02 00:00:00",3130932,15539
"2023-03-01 00:00:00",3115393,15695
"2023-02-28 00:00:00",3099698,12448
"2023-02-27 00:00:00",3087250,13459
"2023-02-26 00:00:00",3073791,15724
"2023-02-25 00:00:00",3058067,15500
"2023-02-24 00:00:00",3042567,16084
"2023-02-23 00:00:00",3026483,16471
"2023-02-22 00:00:00",3010012,14979
"2023-02-21 00:00:00",2995033,13173
"2023-02-20 00:00:00",2981860,14294
"2023-02-19 00:00:00",2967566,0
"2023-02-18 00:00:00",2967566,33759
"2023-02-17 00:00:00",2933807,16993
