Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Dec 10, 2022",26,"2,062,102",1,"1,924,830"
"Dec 11, 2022",73,"2,121,584",1,"1,925,042"
"Dec 12, 2022",134,"2,142,370",1,"1,925,209"
"Dec 13, 2022",172,"2,223,711",1,"1,925,370"
"Dec 14, 2022",202,"2,228,768",2,"1,925,917"
"Dec 15, 2022",209,"2,209,462",2,"1,926,059"
"Dec 16, 2022",232,"2,245,318",2,"1,926,204"
"Dec 17, 2022",242,"2,241,977",2,"1,926,431"
"Dec 18, 2022",257,"2,232,053",2,"1,926,711"
"Dec 19, 2022",286,"2,252,370",2,"1,926,938"
"Dec 20, 2022",292,"2,250,474",2,"1,927,155"
"Dec 21, 2022",316,"2,296,830",2,"1,927,420"
"Dec 22, 2022",334,"2,294,532",2,"1,927,722"
"Dec 23, 2022",367,"2,289,465",2,"1,928,042"
"Dec 24, 2022",405,"2,274,877",2,"1,928,292"
"Dec 25, 2022",492,"2,276,372",1,"1,928,148"
"Dec 26, 2022",639,"2,280,259",1,"1,928,387"
"Dec 27, 2022",748,"2,292,769",1,"1,928,626"
"Dec 28, 2022",832,"2,298,674",1,"1,928,879"
"Dec 29, 2022",927,"2,301,798",1,"1,929,165"
"Dec 30, 2022","1,024","2,307,220",2,"1,929,761"
"Dec 31, 2022","1,050","2,298,353",2,"1,929,978"
"Jan 01, 2023","1,108","2,303,989",2,"1,930,173"
"Jan 02, 2023","1,205","2,300,565",2,"1,930,392"
"Jan 03, 2023","1,254","2,296,724",2,"1,930,587"
"Jan 04, 2023","1,289","2,295,458",1,"1,930,413"
"Jan 05, 2023","1,306","2,285,849",1,"1,930,684"
"Jan 06, 2023","1,295","2,272,421",1,"1,930,972"
"Jan 07, 2023","1,294","2,272,607",1,"1,931,277"
"Jan 08, 2023","1,295","2,273,048",1,"1,931,718"
"Jan 09, 2023","1,296","2,273,898",2,"1,932,551"
"Jan 10, 2023","1,368","2,309,822",2,"1,932,956"
"Jan 11, 2023","1,459","2,312,389",2,"1,933,370"
"Jan 12, 2023","1,521","2,307,118",2,"1,933,760"
"Jan 13, 2023","1,603","2,312,156",2,"1,934,155"
"Jan 14, 2023","1,640","2,313,233",2,"1,934,617"
"Jan 15, 2023","1,702","2,315,738",2,"1,935,001"
"Jan 16, 2023","4,038","2,342,201",2,"1,935,394"
"Jan 17, 2023","4,048","2,342,942",2,"1,935,809"
"Jan 18, 2023","4,063","2,347,230",2,"1,936,153"
"Jan 19, 2023","4,082","2,347,476",2,"1,936,548"
"Jan 20, 2023","4,092","2,348,392",2,"1,936,890"
"Jan 21, 2023","4,101","2,349,109",2,"1,937,172"
"Jan 22, 2023","4,108","2,349,890",2,"1,937,533"
"Jan 23, 2023","4,114","2,350,706",2,"1,937,890"
"Jan 24, 2023","4,121","2,351,536",2,"1,938,206"
"Jan 25, 2023","4,126","2,353,930",2,"1,938,493"
"Jan 26, 2023","4,131","2,356,666",2,"1,938,844"
"Jan 27, 2023","4,140","2,357,411",2,"1,939,164"
"Jan 28, 2023","4,146","2,358,065",2,"1,939,512"
"Jan 29, 2023","4,148","2,358,921",2,"1,939,897"
"Jan 30, 2023","4,151","2,363,561",2,"1,940,192"
"Jan 31, 2023","4,154","2,364,254",2,"1,940,542"
"Feb 01, 2023","4,158","2,366,736",2,"1,940,896"
"Feb 02, 2023","4,159","2,367,657",2,"1,941,260"
"Feb 03, 2023","4,161","2,368,178",2,"1,941,560"
"Feb 04, 2023","4,164","2,370,078",2,"1,941,857"
"Feb 05, 2023","4,170","2,370,909",2,"1,942,140"
"Feb 06, 2023","4,174","2,371,568",2,"1,942,383"
"Feb 07, 2023","4,173","2,372,075",2,"1,942,653"
"Feb 08, 2023","4,175","2,372,514",2,"1,942,856"
"Feb 09, 2023","4,180","2,373,148",2,"1,943,133"
"Feb 10, 2023","4,183","2,373,654",2,"1,943,387"
"Feb 11, 2023","4,187","2,374,197",2,"1,943,634"
"Feb 12, 2023","4,184","2,374,661",2,"1,943,903"
"Feb 13, 2023","4,186","2,375,075",2,"1,944,093"
"Feb 14, 2023","4,190","2,375,585",2,"1,944,304"
"Feb 15, 2023","4,188","2,374,998",2,"1,944,544"
"Feb 16, 2023","4,188","2,375,436",2,"1,944,715"
"Feb 17, 2023","4,187","2,375,937",2,"1,944,924"
"Feb 18, 2023","4,186","2,377,115",2,"1,945,112"
"Feb 19, 2023","4,183","2,377,616",2,"1,945,362"
"Feb 20, 2023","4,183","2,378,075",2,"1,945,526"
"Feb 21, 2023","4,183","2,378,447",2,"1,945,704"
"Feb 22, 2023","4,183","2,378,155",2,"1,945,872"
"Feb 23, 2023","4,181","2,378,779",2,"1,946,081"
"Feb 24, 2023","4,182","2,379,229",2,"1,946,265"
"Feb 25, 2023","4,181","2,379,667",2,"1,946,545"
"Feb 26, 2023","4,179","2,375,376",2,"1,946,786"
"Feb 27, 2023","4,177","2,375,488",2,"1,946,994"
"Mar 01, 2023","4,163","2,375,446",2,"1,947,454"
"Mar 02, 2023","4,180","2,377,203",2,"1,947,740"
"Mar 03, 2023","4,199","2,375,607",2,"1,948,030"
"Mar 04, 2023","4,208","2,371,119",2,"1,948,253"
"Mar 05, 2023","4,215","2,377,095",2,"1,948,428"
"Mar 06, 2023","4,218","2,377,687",2,"1,948,664"
"Mar 07, 2023","4,229","2,378,444",2,"1,948,838"
"Mar 08, 2023","4,238","2,373,523",2,"1,948,994"
"Mar 09, 2023","4,236","2,374,023",2,"1,949,185"
"Mar 10, 2023","4,241","2,377,031",2,"1,949,331"
"Mar 11, 2023","4,253","2,377,813",2,"1,949,526"
"Mar 12, 2023","4,266","2,379,218",2,"1,949,777"
"Mar 13, 2023","4,274","2,380,177",2,"1,949,975"
"Mar 14, 2023","4,277","2,380,658",2,"1,950,104"
"Mar 15, 2023","4,285","2,381,563",2,"1,950,296"
"Mar 16, 2023","4,296","2,382,399",2,"1,950,471"
"Mar 17, 2023","4,299","2,382,954",2,"1,950,671"
"Mar 18, 2023","4,303","2,383,599",2,"1,950,873"
"Mar 19, 2023","4,309","2,384,141",2,"1,950,995"
"Mar 20, 2023","4,314","2,385,006",2,"1,951,175"
"Mar 21, 2023","4,320","2,385,596",2,"1,951,341"
"Mar 22, 2023","4,326","2,386,482",2,"1,951,485"
"Mar 23, 2023","4,332","2,387,326",2,"1,951,618"
"Mar 24, 2023","4,338","2,388,216",2,"1,951,804"
"Mar 25, 2023","4,336","2,389,022",2,"1,951,966"
"Mar 26, 2023","4,339","2,389,753",2,"1,952,146"
"Mar 27, 2023","4,344","2,390,544",2,"1,952,293"
"Mar 28, 2023","4,355","2,391,244",2,"1,952,460"
"Mar 29, 2023","4,367","2,391,919",2,"1,952,570"
"Mar 30, 2023","4,377","2,392,676",2,"1,952,705"
"Mar 31, 2023","4,381","2,393,177",2,"1,952,851"
"Apr 01, 2023","4,389","2,393,909",2,"1,953,269"
"Apr 02, 2023","4,394","2,394,668",2,"1,953,714"
"Apr 03, 2023","4,402","2,399,089",2,"1,954,144"
"Apr 04, 2023","4,410","2,400,593",2,"1,954,513"
"Apr 05, 2023","4,421","2,401,259",2,"1,954,900"
"Apr 06, 2023","4,427","2,402,062",2,"1,955,373"
"Apr 07, 2023","4,436","2,402,862",2,"1,955,844"
"Apr 08, 2023","4,441","2,403,688",2,"1,956,312"
"Apr 09, 2023","4,459","2,406,793",2,"1,956,763"
"Apr 10, 2023","4,468","2,408,313",2,"1,957,210"
"Apr 11, 2023","4,472","2,408,969",2,"1,957,543"
"Apr 12, 2023","4,476","2,409,685",2,"1,958,006"
"Apr 13, 2023","4,475","2,408,748",2,"1,958,429"
"Apr 14, 2023","4,480","2,411,033",2,"1,958,877"
"Apr 15, 2023","4,487","2,411,972",2,"1,959,378"
"Apr 16, 2023","4,494","2,413,039",2,"1,959,844"
"Apr 17, 2023","4,500","2,413,561",2,"1,960,299"
"Apr 18, 2023","4,511","2,414,146",2,"1,960,738"
"Apr 19, 2023","4,523","2,415,144",2,"1,961,290"
"Apr 20, 2023","4,532","2,416,026",2,"1,961,763"
"Apr 21, 2023","4,538","2,414,690",2,"1,962,271"
"Apr 22, 2023","4,546","2,417,592",2,"1,962,806"
"Apr 23, 2023","4,554","2,419,873",2,"1,963,296"
"Apr 24, 2023","4,561","2,420,671",2,"1,963,765"
"Apr 25, 2023","4,576","2,242,645",2,"1,964,219"
"Apr 26, 2023","4,589","2,243,457",2,"1,964,806"
"Apr 27, 2023","4,604","2,244,505",2,"1,965,391"
"Apr 28, 2023","4,613","2,245,292",2,"1,965,946"
"Apr 29, 2023","4,630","2,246,552",2,"1,966,476"
"Apr 30, 2023","4,644","2,247,247",2,"1,966,959"
"May 01, 2023","4,649","2,247,991",2,"1,967,363"
"May 02, 2023","4,657","2,248,744",2,"1,967,766"
"May 03, 2023","4,669","2,249,478",2,"1,968,166"
"May 04, 2023","4,676","2,250,009",2,"1,968,569"
"May 05, 2023","4,685","2,250,527",2,"1,968,944"
"May 06, 2023","4,700","2,251,362",2,"1,969,391"
"May 07, 2023","4,712","2,251,975",2,"1,969,785"
"May 08, 2023","4,717","2,252,461",2,"1,970,115"
"May 09, 2023","4,724","2,253,081",2,"1,970,512"
"May 10, 2023","4,730","2,251,661",2,"1,970,874"
"May 11, 2023","4,735","2,254,245",2,"1,971,274"
"May 12, 2023","4,743","2,252,792",2,"1,971,699"
"May 13, 2023","4,759","2,253,384",2,"1,972,136"
"May 14, 2023","4,765","2,253,995",2,"1,972,567"
"May 15, 2023","4,777","2,254,558",2,"1,972,943"
"May 16, 2023","4,782","2,252,919",2,"1,973,304"
"May 17, 2023","4,798","2,253,486",2,"1,973,683"
Invalid date,,,,
