"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",5930102,11545
"2023-05-16 00:00:00",5918558,11545
"2023-05-15 00:00:00",5907013,11175
"2023-05-14 00:00:00",5895838,0
"2023-05-13 00:00:00",5895838,25677
"2023-05-12 00:00:00",5870161,13419
"2023-05-11 00:00:00",5856742,13335
"2023-05-10 00:00:00",5843407,13003
"2023-05-09 00:00:00",5830404,11136
"2023-05-08 00:00:00",5819268,11564
"2023-05-07 00:00:00",5807704,13624
"2023-05-06 00:00:00",5794081,13624
"2023-05-05 00:00:00",5780457,13736
"2023-05-04 00:00:00",5766721,13887
"2023-05-03 00:00:00",5752834,0
"2023-05-02 00:00:00",5752834,13860
"2023-05-01 00:00:00",5738974,24147
"2023-04-30 00:00:00",5714827,14428
"2023-04-29 00:00:00",5700399,14441
"2023-04-28 00:00:00",5685959,14441
"2023-04-27 00:00:00",5671518,7297
"2023-04-26 00:00:00",5664222,7297
"2023-04-25 00:00:00",5656925,14477
"2023-04-24 00:00:00",5642448,24336
"2023-04-23 00:00:00",5618112,14617
"2023-04-22 00:00:00",5603495,14593
"2023-04-21 00:00:00",5588903,14593
"2023-04-20 00:00:00",5574310,14270
"2023-04-19 00:00:00",5560040,13959
"2023-04-18 00:00:00",5546081,13959
"2023-04-17 00:00:00",5532122,13576
"2023-04-16 00:00:00",5518546,15820
"2023-04-15 00:00:00",5502726,16713
"2023-04-14 00:00:00",5486013,16411
"2023-04-13 00:00:00",5469602,16335
"2023-04-12 00:00:00",5453267,15027
"2023-04-11 00:00:00",5438240,13428
"2023-04-10 00:00:00",5424812,14912
"2023-04-09 00:00:00",5409900,0
"2023-04-08 00:00:00",5409900,33311
"2023-04-07 00:00:00",5376589,17338
"2023-04-06 00:00:00",5359251,17254
"2023-04-05 00:00:00",5341997,0
"2023-04-04 00:00:00",5341997,31948
"2023-04-03 00:00:00",5310049,15318
"2023-04-02 00:00:00",5294731,18733
"2023-04-01 00:00:00",5275998,19038
"2023-03-31 00:00:00",5256960,19240
"2023-03-30 00:00:00",5237720,19354
"2023-03-29 00:00:00",5218366,20193
"2023-03-28 00:00:00",5198173,16912
"2023-03-27 00:00:00",5181261,17777
"2023-03-26 00:00:00",5163484,21153
"2023-03-25 00:00:00",5142331,20922
"2023-03-24 00:00:00",5121409,22146
"2023-03-23 00:00:00",5099263,22049
"2023-03-22 00:00:00",5077214,20139
"2023-03-21 00:00:00",5057075,16111
"2023-03-20 00:00:00",5040964,16986
"2023-03-19 00:00:00",5023978,19559
"2023-03-18 00:00:00",5004419,20294
"2023-03-17 00:00:00",4984125,20081
"2023-03-16 00:00:00",4964044,20067
"2023-03-15 00:00:00",4943977,20262
"2023-03-14 00:00:00",4923715,17357
"2023-03-13 00:00:00",4906358,18999
"2023-03-12 00:00:00",4887359,0
"2023-03-11 00:00:00",4887359,44434
"2023-03-10 00:00:00",4842925,22617
"2023-03-09 00:00:00",4820308,22058
"2023-03-08 00:00:00",4798250,21630
"2023-03-07 00:00:00",4776620,18087
"2023-03-06 00:00:00",4758533,0
"2023-03-05 00:00:00",4758533,41890
"2023-03-04 00:00:00",4716643,23624
"2023-03-03 00:00:00",4693019,23545
"2023-03-02 00:00:00",4669474,22875
"2023-03-01 00:00:00",4646599,23111
"2023-02-28 00:00:00",4623488,18346
"2023-02-27 00:00:00",4605142,19531
"2023-02-26 00:00:00",4585611,22139
"2023-02-25 00:00:00",4563472,22913
"2023-02-24 00:00:00",4540559,23554
"2023-02-23 00:00:00",4517005,24015
"2023-02-22 00:00:00",4492990,21103
"2023-02-21 00:00:00",4471887,19388
"2023-02-20 00:00:00",4452499,20383
"2023-02-19 00:00:00",4432116,0
"2023-02-18 00:00:00",4432116,47849
"2023-02-17 00:00:00",4384267,24161
"2023-02-16 00:00:00",4360106,25163
"2023-02-15 00:00:00",4334943,23812
"2023-02-14 00:00:00",4311131,20914
"2023-02-13 00:00:00",4290217,22087
"2023-02-12 00:00:00",4268130,26719
"2023-02-11 00:00:00",4241411,27660
"2023-02-10 00:00:00",4213751,28233
"2023-02-09 00:00:00",4185518,27457
"2023-02-08 00:00:00",4158061,27365
"2023-02-07 00:00:00",4130696,22639
"2023-02-06 00:00:00",4108057,23917
"2023-02-05 00:00:00",4084140,28236
"2023-02-04 00:00:00",4055904,29455
"2023-02-03 00:00:00",4026449,29473
"2023-02-02 00:00:00",3996976,30221
"2023-02-01 00:00:00",3966755,29907
"2023-01-31 00:00:00",3936848,24839
"2023-01-30 00:00:00",3912009,26957
"2023-01-29 00:00:00",3885052,31484
"2023-01-28 00:00:00",3853568,31775
"2023-01-27 00:00:00",3821793,32533
"2023-01-26 00:00:00",3789260,33801
"2023-01-25 00:00:00",3755459,33731
"2023-01-24 00:00:00",3721728,28048
"2023-01-23 00:00:00",3693680,31089
"2023-01-22 00:00:00",3662591,36522
"2023-01-21 00:00:00",3626069,36901
"2023-01-20 00:00:00",3589168,39160
"2023-01-19 00:00:00",3550008,39097
"2023-01-18 00:00:00",3510911,35316
"2023-01-17 00:00:00",3475595,31854
"2023-01-16 00:00:00",3443741,33302
"2023-01-15 00:00:00",3410439,41598
"2023-01-14 00:00:00",3368841,43126
"2023-01-13 00:00:00",3325715,42969
"2023-01-12 00:00:00",3282746,43758
"2023-01-11 00:00:00",3238988,44681
"2023-01-10 00:00:00",3194307,37163
"2023-01-09 00:00:00",3157144,40317
"2023-01-08 00:00:00",3116827,47079
"2023-01-07 00:00:00",3069748,47902
"2023-01-06 00:00:00",3021846,51425
"2023-01-05 00:00:00",2970421,51174
"2023-01-04 00:00:00",2919247,47261
"2023-01-03 00:00:00",2871986,40423
"2023-01-02 00:00:00",2831563,50390
"2023-01-01 00:00:00",2781173,53478
"2022-12-31 00:00:00",2727695,56482
"2022-12-30 00:00:00",2671213,60048
"2022-12-29 00:00:00",2611165,59712
"2022-12-28 00:00:00",2551453,53028
"2022-12-27 00:00:00",2498425,48295
"2022-12-26 00:00:00",2450130,58953
"2022-12-25 00:00:00",2391177,70409
"2022-12-24 00:00:00",2320768,78675
"2022-12-23 00:00:00",2242093,82017
"2022-12-22 00:00:00",2160076,85575
"2022-12-21 00:00:00",2074501,88653
"2022-12-20 00:00:00",1985848,76637
"2022-12-19 00:00:00",1909211,93900
"2022-12-18 00:00:00",1815311,117716
"2022-12-17 00:00:00",1697595,136544
"2022-12-16 00:00:00",1561051,149156
"2022-12-15 00:00:00",1411895,168801
"2022-12-14 00:00:00",1243094,200271
"2022-12-13 00:00:00",1042823,192324
"2022-12-12 00:00:00",850499,268951
"2022-12-11 00:00:00",581548,574039
"2022-12-10 00:00:00",7509,0
