"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",8493682,16591
"2023-05-09 00:00:00",8477091,14029
"2023-05-08 00:00:00",8463062,15156
"2023-05-07 00:00:00",8447906,18541
"2023-05-06 00:00:00",8429365,20199
"2023-05-05 00:00:00",8409166,22644
"2023-05-04 00:00:00",8386522,7935
"2023-05-03 00:00:00",8378588,7935
"2023-05-02 00:00:00",8370653,22697
"2023-05-01 00:00:00",8347956,10493
"2023-04-30 00:00:00",8337463,12314
"2023-04-29 00:00:00",8325149,12919
"2023-04-28 00:00:00",8312230,13028
"2023-04-27 00:00:00",8299202,0
"2023-04-26 00:00:00",8299202,25908
"2023-04-25 00:00:00",8273294,10106
"2023-04-24 00:00:00",8263188,10898
"2023-04-23 00:00:00",8252291,10898
"2023-04-22 00:00:00",8241393,11671
"2023-04-21 00:00:00",8229722,11822
"2023-04-20 00:00:00",8217900,11887
"2023-04-19 00:00:00",8206013,11887
"2023-04-18 00:00:00",8194126,9954
"2023-04-17 00:00:00",8184172,10198
"2023-04-16 00:00:00",8173974,11962
"2023-04-15 00:00:00",8162012,12092
"2023-04-14 00:00:00",8149920,12146
"2023-04-13 00:00:00",8137774,12195
"2023-04-12 00:00:00",8125579,11612
"2023-04-11 00:00:00",8113967,9804
"2023-04-10 00:00:00",8104163,10533
"2023-04-09 00:00:00",8093630,11170
"2023-04-08 00:00:00",8082460,12657
"2023-04-07 00:00:00",8069803,12597
"2023-04-06 00:00:00",8057206,0
"2023-04-05 00:00:00",8057206,25273
"2023-04-04 00:00:00",8031933,10602
"2023-04-03 00:00:00",8021331,10712
"2023-04-02 00:00:00",8010619,12424
"2023-04-01 00:00:00",7998195,13023
"2023-03-31 00:00:00",7985172,0
"2023-03-30 00:00:00",7985172,26817
"2023-03-29 00:00:00",7958355,13489
"2023-03-28 00:00:00",7944866,11542
"2023-03-27 00:00:00",7933324,11816
"2023-03-26 00:00:00",7921508,0
"2023-03-25 00:00:00",7921508,27753
"2023-03-24 00:00:00",7893755,13940
"2023-03-23 00:00:00",7879815,0
"2023-03-22 00:00:00",7879815,29046
"2023-03-21 00:00:00",7850769,12230
"2023-03-20 00:00:00",7838539,12297
"2023-03-19 00:00:00",7826242,13984
"2023-03-18 00:00:00",7812258,0
"2023-03-17 00:00:00",7812258,29945
"2023-03-16 00:00:00",7782313,14895
"2023-03-15 00:00:00",7767418,14390
"2023-03-14 00:00:00",7753028,12770
"2023-03-13 00:00:00",7740258,12547
"2023-03-12 00:00:00",7727711,14726
"2023-03-11 00:00:00",7712985,15395
"2023-03-10 00:00:00",7697590,0
"2023-03-09 00:00:00",7697590,30457
"2023-03-08 00:00:00",7667133,15041
"2023-03-07 00:00:00",7652092,12323
"2023-03-06 00:00:00",7639769,12328
"2023-03-05 00:00:00",7627441,14131
"2023-03-04 00:00:00",7613310,14949
"2023-03-03 00:00:00",7598361,14461
"2023-03-02 00:00:00",7583900,14293
"2023-03-01 00:00:00",7569607,14625
"2023-02-28 00:00:00",7554982,11922
"2023-02-27 00:00:00",7543060,0
"2023-02-26 00:00:00",7543060,25098
"2023-02-25 00:00:00",7517962,13100
"2023-02-24 00:00:00",7504862,13534
"2023-02-23 00:00:00",7491328,24795
"2023-02-22 00:00:00",7466533,0
"2023-02-21 00:00:00",7466533,11009
"2023-02-20 00:00:00",7455524,0
"2023-02-19 00:00:00",7455524,22921
"2023-02-18 00:00:00",7432603,13229
"2023-02-17 00:00:00",7419374,0
"2023-02-16 00:00:00",7419374,26424
"2023-02-15 00:00:00",7392950,12771
"2023-02-14 00:00:00",7380179,11016
"2023-02-13 00:00:00",7369163,10965
"2023-02-12 00:00:00",7358198,12993
"2023-02-11 00:00:00",7345205,13510
"2023-02-10 00:00:00",7331695,0
"2023-02-09 00:00:00",7331695,29097
"2023-02-08 00:00:00",7302598,16205
"2023-02-07 00:00:00",7286393,11972
"2023-02-06 00:00:00",7274421,11623
"2023-02-05 00:00:00",7262798,13681
"2023-02-04 00:00:00",7249117,13804
"2023-02-03 00:00:00",7235313,13910
"2023-02-02 00:00:00",7221403,14139
"2023-02-01 00:00:00",7207264,14643
"2023-01-31 00:00:00",7192621,11937
"2023-01-30 00:00:00",7180684,11828
"2023-01-29 00:00:00",7168856,14254
"2023-01-28 00:00:00",7154602,15015
"2023-01-27 00:00:00",7139587,14453
"2023-01-26 00:00:00",7125134,14426
"2023-01-25 00:00:00",7110708,14577
"2023-01-24 00:00:00",7096131,11923
"2023-01-23 00:00:00",7084208,12013
"2023-01-22 00:00:00",7072195,14135
"2023-01-21 00:00:00",7058060,14935
"2023-01-20 00:00:00",7043125,0
"2023-01-19 00:00:00",7043125,31696
"2023-01-18 00:00:00",7011429,13784
"2023-01-17 00:00:00",6997645,12701
"2023-01-16 00:00:00",6984944,12443
"2023-01-15 00:00:00",6972501,15402
"2023-01-14 00:00:00",6957099,15803
"2023-01-13 00:00:00",6941296,15921
"2023-01-12 00:00:00",6925375,15908
"2023-01-11 00:00:00",6909467,15824
"2023-01-10 00:00:00",6893643,13106
"2023-01-09 00:00:00",6880537,12841
"2023-01-08 00:00:00",6867696,14998
"2023-01-07 00:00:00",6852698,14910
"2023-01-06 00:00:00",6837788,14749
"2023-01-05 00:00:00",6823039,14365
"2023-01-04 00:00:00",6808674,13087
"2023-01-03 00:00:00",6795587,10829
"2023-01-02 00:00:00",6784758,12718
"2023-01-01 00:00:00",6772040,13390
"2022-12-31 00:00:00",6758650,13129
"2022-12-30 00:00:00",6745521,13538
"2022-12-29 00:00:00",6731983,12823
"2022-12-28 00:00:00",6719160,11872
"2022-12-27 00:00:00",6707288,9939
"2022-12-26 00:00:00",6697349,0
"2022-12-25 00:00:00",6697349,24863
"2022-12-24 00:00:00",6672486,13539
"2022-12-23 00:00:00",6658947,14190
"2022-12-22 00:00:00",6644757,13945
"2022-12-21 00:00:00",6630812,14007
"2022-12-20 00:00:00",6616805,11726
"2022-12-19 00:00:00",6605079,12297
"2022-12-18 00:00:00",6592782,14321
"2022-12-17 00:00:00",6578461,14803
"2022-12-16 00:00:00",6563658,14641
"2022-12-15 00:00:00",6549017,14943
"2022-12-14 00:00:00",6534074,14965
"2022-12-13 00:00:00",6519109,12364
"2022-12-12 00:00:00",6506745,11818
"2022-12-11 00:00:00",6494927,13404
"2022-12-10 00:00:00",6481523,15957
"2022-12-09 00:00:00",6465566,16218
"2022-12-08 00:00:00",6449348,16236
"2022-12-07 00:00:00",6433112,16288
"2022-12-06 00:00:00",6416824,15594
"2022-12-05 00:00:00",6401230,15594
"2022-12-04 00:00:00",6385636,15594
"2022-12-03 00:00:00",6370041,15594
"2022-12-02 00:00:00",6354447,15594
"2022-12-01 00:00:00",6338853,16568
"2022-11-30 00:00:00",6322285,16707
"2022-11-29 00:00:00",6305578,13858
"2022-11-28 00:00:00",6291720,13620
"2022-11-27 00:00:00",6278100,13325
"2022-11-26 00:00:00",6264775,13772
"2022-11-25 00:00:00",6251003,14879
"2022-11-24 00:00:00",6236124,15288
"2022-11-23 00:00:00",6220836,15120
"2022-11-22 00:00:00",6205716,13230
"2022-11-21 00:00:00",6192486,13447
"2022-11-20 00:00:00",6179039,15671
"2022-11-19 00:00:00",6163368,16533
"2022-11-18 00:00:00",6146835,16385
"2022-11-17 00:00:00",6130450,16606
"2022-11-16 00:00:00",6113844,16852
"2022-11-15 00:00:00",6096992,13416
"2022-11-14 00:00:00",6083576,14164
"2022-11-13 00:00:00",6069412,15421
"2022-11-12 00:00:00",6053991,16570
"2022-11-11 00:00:00",6037421,16960
"2022-11-10 00:00:00",6020461,16508
"2022-11-09 00:00:00",6003953,16930
"2022-11-08 00:00:00",5987023,0
"2022-11-07 00:00:00",5987023,27400
"2022-11-06 00:00:00",5959623,15535
"2022-11-05 00:00:00",5944088,18390
"2022-11-04 00:00:00",5925698,17894
"2022-11-03 00:00:00",5907804,16694
"2022-11-02 00:00:00",5891110,17401
"2022-11-01 00:00:00",5873709,14292
"2022-10-31 00:00:00",5859417,14419
"2022-10-30 00:00:00",5844998,17667
"2022-10-29 00:00:00",5827331,18705
"2022-10-28 00:00:00",5808626,18921
"2022-10-27 00:00:00",5789705,18854
"2022-10-26 00:00:00",5770851,18947
"2022-10-25 00:00:00",5751904,15759
"2022-10-24 00:00:00",5736145,16114
"2022-10-23 00:00:00",5720031,18591
"2022-10-22 00:00:00",5701440,18905
"2022-10-21 00:00:00",5682535,19192
"2022-10-20 00:00:00",5663343,19579
"2022-10-19 00:00:00",5643764,19565
"2022-10-18 00:00:00",5624199,15925
"2022-10-17 00:00:00",5608274,16437
"2022-10-16 00:00:00",5591837,19145
"2022-10-15 00:00:00",5572692,39913
"2022-10-14 00:00:00",5532779,0
"2022-10-13 00:00:00",5532779,20534
"2022-10-12 00:00:00",5512245,19640
"2022-10-11 00:00:00",5492605,16933
"2022-10-10 00:00:00",5475672,17405
"2022-10-09 00:00:00",5458267,20400
"2022-10-08 00:00:00",5437867,21988
"2022-10-07 00:00:00",5415879,21659
"2022-10-06 00:00:00",5394220,21919
"2022-10-05 00:00:00",5372301,22346
"2022-10-04 00:00:00",5349955,18730
"2022-10-03 00:00:00",5331225,18730
"2022-10-02 00:00:00",5312495,20502
"2022-10-01 00:00:00",5291993,21944
"2022-09-30 00:00:00",5270049,22076
"2022-09-29 00:00:00",5247973,22543
"2022-09-28 00:00:00",5225430,22148
"2022-09-27 00:00:00",5203282,18328
"2022-09-26 00:00:00",5184954,19209
"2022-09-25 00:00:00",5165745,22709
"2022-09-24 00:00:00",5143036,23966
"2022-09-23 00:00:00",5119070,48350
"2022-09-22 00:00:00",5070720,0
"2022-09-21 00:00:00",5070720,24171
"2022-09-20 00:00:00",5046549,20389
"2022-09-19 00:00:00",5026161,20389
"2022-09-18 00:00:00",5005772,24001
"2022-09-17 00:00:00",4981771,25755
"2022-09-16 00:00:00",4956016,25913
"2022-09-15 00:00:00",4930103,26285
"2022-09-14 00:00:00",4903818,25979
"2022-09-13 00:00:00",4877839,21914
"2022-09-12 00:00:00",4855925,21802
"2022-09-11 00:00:00",4834123,25077
"2022-09-10 00:00:00",4809046,26369
"2022-09-09 00:00:00",4782677,25952
"2022-09-08 00:00:00",4756725,50531
"2022-09-07 00:00:00",4706194,0
"2022-09-06 00:00:00",4706194,22499
"2022-09-05 00:00:00",4683695,22893
"2022-09-04 00:00:00",4660802,26952
"2022-09-03 00:00:00",4633850,27713
"2022-09-02 00:00:00",4606137,28041
"2022-09-01 00:00:00",4578096,27560
