"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",17487096,52713
"2023-05-09 00:00:00",17434383,48356
"2023-05-08 00:00:00",17386027,51473
"2023-05-07 00:00:00",17334554,62958
"2023-05-06 00:00:00",17271596,67190
"2023-05-05 00:00:00",17204406,76143
"2023-05-04 00:00:00",17128263,29879
"2023-05-03 00:00:00",17098385,29879
"2023-05-02 00:00:00",17068506,97911
"2023-05-01 00:00:00",16970595,45893
"2023-04-30 00:00:00",16924702,51657
"2023-04-29 00:00:00",16873045,51564
"2023-04-28 00:00:00",16821481,50880
"2023-04-27 00:00:00",16770601,0
"2023-04-26 00:00:00",16770601,100732
"2023-04-25 00:00:00",16669869,41914
"2023-04-24 00:00:00",16627955,44221
"2023-04-23 00:00:00",16583734,44221
"2023-04-22 00:00:00",16539513,52708
"2023-04-21 00:00:00",16486805,52415
"2023-04-20 00:00:00",16434390,53148
"2023-04-19 00:00:00",16381243,53148
"2023-04-18 00:00:00",16328095,44418
"2023-04-17 00:00:00",16283677,44381
"2023-04-16 00:00:00",16239296,50336
"2023-04-15 00:00:00",16188960,50180
"2023-04-14 00:00:00",16138780,48027
"2023-04-13 00:00:00",16090753,47170
"2023-04-12 00:00:00",16043583,46397
"2023-04-11 00:00:00",15997186,39622
"2023-04-10 00:00:00",15957564,42430
"2023-04-09 00:00:00",15915134,39769
"2023-04-08 00:00:00",15875365,41706
"2023-04-07 00:00:00",15833659,46983
"2023-04-06 00:00:00",15786676,0
"2023-04-05 00:00:00",15786676,103299
"2023-04-04 00:00:00",15683377,43777
"2023-04-03 00:00:00",15639600,43754
"2023-04-02 00:00:00",15595846,49670
"2023-04-01 00:00:00",15546176,48086
"2023-03-31 00:00:00",15498090,0
"2023-03-30 00:00:00",15498090,89629
"2023-03-29 00:00:00",15408461,44432
"2023-03-28 00:00:00",15364029,37758
"2023-03-27 00:00:00",15326271,37530
"2023-03-26 00:00:00",15288741,0
"2023-03-25 00:00:00",15288741,82681
"2023-03-24 00:00:00",15206060,50054
"2023-03-23 00:00:00",15156006,0
"2023-03-22 00:00:00",15156006,104548
"2023-03-21 00:00:00",15051458,45086
"2023-03-20 00:00:00",15006372,45120
"2023-03-19 00:00:00",14961252,50102
