"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",38821554,79443
"2023-05-09 00:00:00",38742111,67637
"2023-05-08 00:00:00",38674474,71546
"2023-05-07 00:00:00",38602928,85975
"2023-05-06 00:00:00",38516953,90983
"2023-05-05 00:00:00",38425970,97165
"2023-05-04 00:00:00",38328805,39167
"2023-05-03 00:00:00",38289638,39167
"2023-05-02 00:00:00",38250471,125407
"2023-05-01 00:00:00",38125064,57388
"2023-04-30 00:00:00",38067676,65808
"2023-04-29 00:00:00",38001868,68052
"2023-04-28 00:00:00",37933816,70208
"2023-04-27 00:00:00",37863608,0
"2023-04-26 00:00:00",37863608,141813
"2023-04-25 00:00:00",37721795,56803
"2023-04-24 00:00:00",37664992,61340
"2023-04-23 00:00:00",37603653,61340
"2023-04-22 00:00:00",37542313,67281
"2023-04-21 00:00:00",37475032,67295
"2023-04-20 00:00:00",37407737,68207
"2023-04-19 00:00:00",37339531,68207
"2023-04-18 00:00:00",37271324,56233
"2023-04-17 00:00:00",37215091,57942
"2023-04-16 00:00:00",37157149,66416
"2023-04-15 00:00:00",37090733,67884
"2023-04-14 00:00:00",37022849,67131
"2023-04-13 00:00:00",36955718,67732
"2023-04-12 00:00:00",36887986,65034
"2023-04-11 00:00:00",36822952,55733
"2023-04-10 00:00:00",36767219,58639
"2023-04-09 00:00:00",36708580,62042
"2023-04-08 00:00:00",36646538,69406
"2023-04-07 00:00:00",36577132,71897
"2023-04-06 00:00:00",36505235,0
"2023-04-05 00:00:00",36505235,148040
"2023-04-04 00:00:00",36357195,63929
"2023-04-03 00:00:00",36293266,64462
"2023-04-02 00:00:00",36228804,72028
"2023-04-01 00:00:00",36156776,74009
"2023-03-31 00:00:00",36082767,0
"2023-03-30 00:00:00",36082767,150595
"2023-03-29 00:00:00",35932172,75462
"2023-03-28 00:00:00",35856710,63996
"2023-03-27 00:00:00",35792714,64892
"2023-03-26 00:00:00",35727822,0
"2023-03-25 00:00:00",35727822,151517
"2023-03-24 00:00:00",35576305,79105
"2023-03-23 00:00:00",35497200,0
"2023-03-22 00:00:00",35497200,163759
"2023-03-21 00:00:00",35333441,68362
"2023-03-20 00:00:00",35265079,70585
"2023-03-19 00:00:00",35194494,79026
"2023-03-18 00:00:00",35115468,0
"2023-03-17 00:00:00",35115468,165071
"2023-03-16 00:00:00",34950397,79532
"2023-03-15 00:00:00",34870865,78513
"2023-03-14 00:00:00",34792352,68542
"2023-03-13 00:00:00",34723810,70484
"2023-03-12 00:00:00",34653326,80903
"2023-03-11 00:00:00",34572423,83735
"2023-03-10 00:00:00",34488688,0
"2023-03-09 00:00:00",34488688,171957
"2023-03-08 00:00:00",34316731,85662
"2023-03-07 00:00:00",34231069,69066
"2023-03-06 00:00:00",34162003,68739
"2023-03-05 00:00:00",34093264,79432
"2023-03-04 00:00:00",34013832,79814
"2023-03-03 00:00:00",33934018,77319
"2023-03-02 00:00:00",33856699,77135
"2023-03-01 00:00:00",33779564,79826
"2023-02-28 00:00:00",33699738,66441
"2023-02-27 00:00:00",33633297,0
"2023-02-26 00:00:00",33633297,144644
"2023-02-25 00:00:00",33488653,79295
"2023-02-24 00:00:00",33409358,81844
"2023-02-23 00:00:00",33327514,156617
"2023-02-22 00:00:00",33170897,0
"2023-02-21 00:00:00",33170897,67458
"2023-02-20 00:00:00",33103439,0
"2023-02-19 00:00:00",33103439,146975
"2023-02-18 00:00:00",32956464,0
"2023-02-17 00:00:00",32956464,79982
"2023-02-16 00:00:00",32876482,160961
"2023-02-15 00:00:00",32715521,79042
"2023-02-14 00:00:00",32636479,68976
"2023-02-13 00:00:00",32567503,69381
"2023-02-12 00:00:00",32498122,83752
"2023-02-11 00:00:00",32414370,87059
"2023-02-10 00:00:00",32327311,0
"2023-02-09 00:00:00",32327311,181023
"2023-02-08 00:00:00",32146288,91141
"2023-02-07 00:00:00",32055147,73708
"2023-02-06 00:00:00",31981439,74613
"2023-02-05 00:00:00",31906826,85964
"2023-02-04 00:00:00",31820862,85062
"2023-02-03 00:00:00",31735800,82929
"2023-02-02 00:00:00",31652871,84095
"2023-02-01 00:00:00",31568776,84689
"2023-01-31 00:00:00",31484087,71311
"2023-01-30 00:00:00",31412776,71863
"2023-01-29 00:00:00",31340913,85258
"2023-01-28 00:00:00",31255655,86053
"2023-01-27 00:00:00",31169602,88643
"2023-01-26 00:00:00",31080959,90902
"2023-01-25 00:00:00",30990057,91007
"2023-01-24 00:00:00",30899050,74018
"2023-01-23 00:00:00",30825032,75317
"2023-01-22 00:00:00",30749715,90460
"2023-01-21 00:00:00",30659255,90655
"2023-01-20 00:00:00",30568600,0
"2023-01-19 00:00:00",30568600,183392
"2023-01-18 00:00:00",30385208,79842
"2023-01-17 00:00:00",30305366,73026
"2023-01-16 00:00:00",30232340,71895
"2023-01-15 00:00:00",30160445,89152
"2023-01-14 00:00:00",30071293,92554
"2023-01-13 00:00:00",29978739,92942
"2023-01-12 00:00:00",29885797,97083
"2023-01-11 00:00:00",29788714,95410
"2023-01-10 00:00:00",29693304,75871
"2023-01-09 00:00:00",29617433,77013
"2023-01-08 00:00:00",29540420,88394
"2023-01-07 00:00:00",29452026,87775
"2023-01-06 00:00:00",29364251,86817
"2023-01-05 00:00:00",29277434,84588
"2023-01-04 00:00:00",29192846,75462
"2023-01-03 00:00:00",29117384,65078
"2023-01-02 00:00:00",29052306,74914
"2023-01-01 00:00:00",28977392,79260
"2022-12-31 00:00:00",28898132,79285
"2022-12-30 00:00:00",28818847,79921
"2022-12-29 00:00:00",28738926,78601
"2022-12-28 00:00:00",28660325,72428
"2022-12-27 00:00:00",28587897,62678
"2022-12-26 00:00:00",28525219,0
"2022-12-25 00:00:00",28525219,150359
"2022-12-24 00:00:00",28374860,80630
"2022-12-23 00:00:00",28294230,83111
"2022-12-22 00:00:00",28211119,85044
"2022-12-21 00:00:00",28126075,85266
"2022-12-20 00:00:00",28040809,72733
"2022-12-19 00:00:00",27968076,79072
"2022-12-18 00:00:00",27889004,89554
"2022-12-17 00:00:00",27799450,91959
"2022-12-16 00:00:00",27707491,90769
"2022-12-15 00:00:00",27616722,92139
"2022-12-14 00:00:00",27524583,88049
"2022-12-13 00:00:00",27436534,79002
"2022-12-12 00:00:00",27357532,79931
"2022-12-11 00:00:00",27277601,82655
"2022-12-10 00:00:00",27194946,94739
"2022-12-09 00:00:00",27100207,95970
"2022-12-08 00:00:00",27004237,96322
"2022-12-07 00:00:00",26907915,101576
"2022-12-06 00:00:00",26806339,94560
"2022-12-05 00:00:00",26711779,94560
"2022-12-04 00:00:00",26617220,94560
"2022-12-03 00:00:00",26522660,94560
"2022-12-02 00:00:00",26428101,94560
"2022-12-01 00:00:00",26333541,92402
"2022-11-30 00:00:00",26241139,92863
"2022-11-29 00:00:00",26148276,75384
"2022-11-28 00:00:00",26072892,74352
"2022-11-27 00:00:00",25998540,71707
"2022-11-26 00:00:00",25926833,75766
"2022-11-25 00:00:00",25851067,82395
"2022-11-24 00:00:00",25768672,83177
"2022-11-23 00:00:00",25685495,84614
"2022-11-22 00:00:00",25600881,75018
"2022-11-21 00:00:00",25525863,76223
"2022-11-20 00:00:00",25449640,88051
"2022-11-19 00:00:00",25361589,92810
"2022-11-18 00:00:00",25268779,93105
"2022-11-17 00:00:00",25175674,95409
"2022-11-16 00:00:00",25080265,96357
"2022-11-15 00:00:00",24983908,77865
"2022-11-14 00:00:00",24906043,81207
"2022-11-13 00:00:00",24824836,89826
"2022-11-12 00:00:00",24735010,98045
"2022-11-11 00:00:00",24636965,99568
"2022-11-10 00:00:00",24537397,96447
"2022-11-09 00:00:00",24440950,96631
"2022-11-08 00:00:00",24344319,0
"2022-11-07 00:00:00",24344319,162693
"2022-11-06 00:00:00",24181626,91646
"2022-11-05 00:00:00",24089980,105272
"2022-11-04 00:00:00",23984708,103837
"2022-11-03 00:00:00",23880871,100058
"2022-11-02 00:00:00",23780813,102834
"2022-11-01 00:00:00",23677979,84711
"2022-10-31 00:00:00",23593268,88285
"2022-10-30 00:00:00",23504983,105764
"2022-10-29 00:00:00",23399219,110660
"2022-10-28 00:00:00",23288559,112383
"2022-10-27 00:00:00",23176176,111751
"2022-10-26 00:00:00",23064425,113713
"2022-10-25 00:00:00",22950712,93336
"2022-10-24 00:00:00",22857376,95980
"2022-10-23 00:00:00",22761396,106156
"2022-10-22 00:00:00",22655240,106411
"2022-10-21 00:00:00",22548829,108039
"2022-10-20 00:00:00",22440790,109798
"2022-10-19 00:00:00",22330992,108821
"2022-10-18 00:00:00",22222171,89357
"2022-10-17 00:00:00",22132814,91889
"2022-10-16 00:00:00",22040925,106735
"2022-10-15 00:00:00",21934190,225092
"2022-10-14 00:00:00",21709098,0
"2022-10-13 00:00:00",21709098,118080
"2022-10-12 00:00:00",21591018,113298
"2022-10-11 00:00:00",21477720,98927
"2022-10-10 00:00:00",21378793,101704
"2022-10-09 00:00:00",21277089,118749
"2022-10-08 00:00:00",21158340,125411
"2022-10-07 00:00:00",21032929,123271
"2022-10-06 00:00:00",20909658,123077
"2022-10-05 00:00:00",20786581,123464
"2022-10-04 00:00:00",20663117,99420
"2022-10-03 00:00:00",20563697,103809
"2022-10-02 00:00:00",20459888,126103
"2022-10-01 00:00:00",20333785,133563
"2022-09-30 00:00:00",20200222,134187
"2022-09-29 00:00:00",20066035,133867
"2022-09-28 00:00:00",19932168,128509
"2022-09-27 00:00:00",19803659,106924
"2022-09-26 00:00:00",19696735,111024
"2022-09-25 00:00:00",19585711,135274
"2022-09-24 00:00:00",19450437,141045
"2022-09-23 00:00:00",19309392,285366
"2022-09-22 00:00:00",19024026,0
"2022-09-21 00:00:00",19024026,141415
"2022-09-20 00:00:00",18882611,117493
"2022-09-19 00:00:00",18765118,124976
"2022-09-18 00:00:00",18640142,148322
"2022-09-17 00:00:00",18491820,161505
"2022-09-16 00:00:00",18330315,161481
"2022-09-15 00:00:00",18168834,160215
"2022-09-14 00:00:00",18008619,161226
"2022-09-13 00:00:00",17847393,133015
"2022-09-12 00:00:00",17714378,136822
"2022-09-11 00:00:00",17577556,160111
"2022-09-10 00:00:00",17417445,165676
"2022-09-09 00:00:00",17251769,157916
"2022-09-08 00:00:00",17093853,297581
"2022-09-07 00:00:00",16796272,0
"2022-09-06 00:00:00",16796272,130867
"2022-09-05 00:00:00",16665405,136136
"2022-09-04 00:00:00",16529269,155439
"2022-09-03 00:00:00",16373830,160957
"2022-09-02 00:00:00",16212873,161302
"2022-09-01 00:00:00",16051571,160081
"2022-08-31 00:00:00",15891490,160620
"2022-08-30 00:00:00",15730870,138444
"2022-08-29 00:00:00",15592426,141912
"2022-08-28 00:00:00",15450514,161100
"2022-08-27 00:00:00",15289414,165825
"2022-08-26 00:00:00",15123589,164748
"2022-08-25 00:00:00",14958841,163439
"2022-08-24 00:00:00",14795402,164690
"2022-08-23 00:00:00",14630712,146561
"2022-08-22 00:00:00",14484151,322448
"2022-08-21 00:00:00",14161703,0
"2022-08-20 00:00:00",14161703,165616
"2022-08-19 00:00:00",13996087,165875
"2022-08-18 00:00:00",13830212,165937
"2022-08-17 00:00:00",13664275,161412
"2022-08-16 00:00:00",13502863,143856
"2022-08-15 00:00:00",13359007,148715
"2022-08-14 00:00:00",13210292,160958
"2022-08-13 00:00:00",13049334,166998
"2022-08-12 00:00:00",12882336,172720
"2022-08-11 00:00:00",12709616,171870
"2022-08-10 00:00:00",12537746,171805
"2022-08-09 00:00:00",12365941,151328
"2022-08-08 00:00:00",12214613,159818
"2022-08-07 00:00:00",12054795,169524
"2022-08-06 00:00:00",11885271,179373
"2022-08-05 00:00:00",11705898,180501
"2022-08-04 00:00:00",11525397,182943
"2022-08-03 00:00:00",11342454,183557
"2022-08-02 00:00:00",11158897,172992
"2022-08-01 00:00:00",10985905,183752
"2022-07-31 00:00:00",10802153,203181
"2022-07-30 00:00:00",10598972,221597
"2022-07-29 00:00:00",10377375,212151
"2022-07-28 00:00:00",10165224,212787
"2022-07-27 00:00:00",9952437,218373
"2022-07-26 00:00:00",9734064,212361
"2022-07-25 00:00:00",9521703,235451
"2022-07-24 00:00:00",9286252,262790
"2022-07-23 00:00:00",9023462,262582
"2022-07-22 00:00:00",8760880,277628
"2022-07-21 00:00:00",8483252,286825
"2022-07-20 00:00:00",8196427,548497
"2022-07-19 00:00:00",7647930,394354
"2022-07-18 00:00:00",7253576,522823
"2022-07-17 00:00:00",6730753,566334
"2022-07-16 00:00:00",6164419,502743
"2022-07-15 00:00:00",5661676,582025
"2022-07-14 00:00:00",5079651,1435022
"2022-07-13 00:00:00",3644629,0
"2022-07-12 00:00:00",3644629,801943
"2022-07-11 00:00:00",2842686,1055904
"2022-07-10 00:00:00",1786782,1715427
"2022-07-09 00:00:00",71355,0
