"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",5562233,8690
"2023-05-09 00:00:00",5553543,7949
"2023-05-08 00:00:00",5545594,8855
"2023-05-07 00:00:00",5536739,11120
"2023-05-06 00:00:00",5525619,12662
"2023-05-05 00:00:00",5512957,17191
"2023-05-04 00:00:00",5495766,4874
"2023-05-03 00:00:00",5490893,4874
"2023-05-02 00:00:00",5486019,10587
"2023-05-01 00:00:00",5475432,5218
"2023-04-30 00:00:00",5470214,5282
"2023-04-29 00:00:00",5464932,5609
"2023-04-28 00:00:00",5459323,5866
"2023-04-27 00:00:00",5453457,0
"2023-04-26 00:00:00",5453457,11265
"2023-04-25 00:00:00",5442192,4438
"2023-04-24 00:00:00",5437754,4249
"2023-04-23 00:00:00",5433506,4249
"2023-04-22 00:00:00",5429257,4481
"2023-04-21 00:00:00",5424776,4536
"2023-04-20 00:00:00",5420240,4696
"2023-04-19 00:00:00",5415545,4696
"2023-04-18 00:00:00",5410849,4186
"2023-04-17 00:00:00",5406663,4300
"2023-04-16 00:00:00",5402363,4978
"2023-04-15 00:00:00",5397385,4882
"2023-04-14 00:00:00",5392503,4849
"2023-04-13 00:00:00",5387654,5075
"2023-04-12 00:00:00",5382579,5192
"2023-04-11 00:00:00",5377387,4524
"2023-04-10 00:00:00",5372863,4683
"2023-04-09 00:00:00",5368180,5027
"2023-04-08 00:00:00",5363153,5466
"2023-04-07 00:00:00",5357687,5276
"2023-04-06 00:00:00",5352411,0
"2023-04-05 00:00:00",5352411,10783
"2023-04-04 00:00:00",5341628,4901
"2023-04-03 00:00:00",5336727,4823
"2023-04-02 00:00:00",5331904,5144
"2023-04-01 00:00:00",5326760,5604
"2023-03-31 00:00:00",5321156,0
"2023-03-30 00:00:00",5321156,11452
"2023-03-29 00:00:00",5309704,5961
"2023-03-28 00:00:00",5303743,5266
"2023-03-27 00:00:00",5298477,5197
"2023-03-26 00:00:00",5293280,0
"2023-03-25 00:00:00",5293280,11660
"2023-03-24 00:00:00",5281620,6097
