"DateTime","Spotify Streams","Change"
"2023-05-10 00:00:00",9112445,16021
"2023-05-09 00:00:00",9096424,14307
"2023-05-08 00:00:00",9082117,15723
"2023-05-07 00:00:00",9066394,19740
"2023-05-06 00:00:00",9046654,22326
"2023-05-05 00:00:00",9024328,29672
"2023-05-04 00:00:00",8994656,9024
"2023-05-03 00:00:00",8985633,9024
"2023-05-02 00:00:00",8976609,21381
"2023-05-01 00:00:00",8955228,9513
"2023-04-30 00:00:00",8945715,11053
"2023-04-29 00:00:00",8934662,11181
"2023-04-28 00:00:00",8923481,11719
"2023-04-27 00:00:00",8911762,0
"2023-04-26 00:00:00",8911762,22975
"2023-04-25 00:00:00",8888787,8652
"2023-04-24 00:00:00",8880135,8717
"2023-04-23 00:00:00",8871418,8717
"2023-04-22 00:00:00",8862701,9401
"2023-04-21 00:00:00",8853300,9692
"2023-04-20 00:00:00",8843608,9916
"2023-04-19 00:00:00",8833693,9916
"2023-04-18 00:00:00",8823777,8354
"2023-04-17 00:00:00",8815423,8610
"2023-04-16 00:00:00",8806813,10125
"2023-04-15 00:00:00",8796688,10015
"2023-04-14 00:00:00",8786673,10090
"2023-04-13 00:00:00",8776583,10430
"2023-04-12 00:00:00",8766153,10218
"2023-04-11 00:00:00",8755935,8943
"2023-04-10 00:00:00",8746992,9313
"2023-04-09 00:00:00",8737679,9725
"2023-04-08 00:00:00",8727954,10559
"2023-04-07 00:00:00",8717395,10432
"2023-04-06 00:00:00",8706963,0
"2023-04-05 00:00:00",8706963,21062
"2023-04-04 00:00:00",8685901,9507
"2023-04-03 00:00:00",8676394,9455
"2023-04-02 00:00:00",8666939,10298
"2023-04-01 00:00:00",8656641,10912
"2023-03-31 00:00:00",8645729,0
"2023-03-30 00:00:00",8645729,22313
"2023-03-29 00:00:00",8623416,11355
"2023-03-28 00:00:00",8612061,10300
"2023-03-27 00:00:00",8601761,10407
"2023-03-26 00:00:00",8591354,0
"2023-03-25 00:00:00",8591354,23390
"2023-03-24 00:00:00",8567964,12065
"2023-03-23 00:00:00",8555899,0
"2023-03-22 00:00:00",8555899,25292
"2023-03-21 00:00:00",8530607,10944
"2023-03-20 00:00:00",8519663,11130
"2023-03-19 00:00:00",8508533,12804
"2023-03-18 00:00:00",8495729,0
"2023-03-17 00:00:00",8495729,28880
"2023-03-16 00:00:00",8466849,13981
"2023-03-15 00:00:00",8452868,12782
"2023-03-14 00:00:00",8440086,11407
"2023-03-13 00:00:00",8428679,11312
"2023-03-12 00:00:00",8417367,12712
"2023-03-11 00:00:00",8404655,13288
"2023-03-10 00:00:00",8391367,0
"2023-03-09 00:00:00",8391367,26682
"2023-03-08 00:00:00",8364685,13594
"2023-03-07 00:00:00",8351091,11075
"2023-03-06 00:00:00",8340016,11285
"2023-03-05 00:00:00",8328731,12200
"2023-03-04 00:00:00",8316531,12587
"2023-03-03 00:00:00",8303944,11817
"2023-03-02 00:00:00",8292127,11961
"2023-03-01 00:00:00",8280166,12575
"2023-02-28 00:00:00",8267591,11004
"2023-02-27 00:00:00",8256587,0
"2023-02-26 00:00:00",8256587,21484
"2023-02-25 00:00:00",8235103,10656
"2023-02-24 00:00:00",8224447,10608
"2023-02-23 00:00:00",8213839,20164
"2023-02-22 00:00:00",8193675,0
"2023-02-21 00:00:00",8193675,8850
"2023-02-20 00:00:00",8184825,0
"2023-02-19 00:00:00",8184825,18900
"2023-02-18 00:00:00",8165925,0
"2023-02-17 00:00:00",8165925,10309
"2023-02-16 00:00:00",8155616,20273
"2023-02-15 00:00:00",8135343,9713
"2023-02-14 00:00:00",8125630,8754
"2023-02-13 00:00:00",8116876,8656
"2023-02-12 00:00:00",8108220,10167
"2023-02-11 00:00:00",8098053,10998
"2023-02-10 00:00:00",8087055,0
"2023-02-09 00:00:00",8087055,24064
"2023-02-08 00:00:00",8062991,12739
"2023-02-07 00:00:00",8050252,10313
"2023-02-06 00:00:00",8039939,10069
"2023-02-05 00:00:00",8029870,11206
"2023-02-04 00:00:00",8018664,11648
"2023-02-03 00:00:00",8007016,11522
"2023-02-02 00:00:00",7995494,11931
"2023-02-01 00:00:00",7983563,12119
"2023-01-31 00:00:00",7971444,10671
"2023-01-30 00:00:00",7960773,10624
"2023-01-29 00:00:00",7950149,12630
"2023-01-28 00:00:00",7937519,13277
"2023-01-27 00:00:00",7924242,11756
"2023-01-26 00:00:00",7912486,12175
"2023-01-25 00:00:00",7900311,11758
"2023-01-24 00:00:00",7888553,10069
"2023-01-23 00:00:00",7878484,9791
"2023-01-22 00:00:00",7868693,11462
"2023-01-21 00:00:00",7857231,12651
"2023-01-20 00:00:00",7844580,0
"2023-01-19 00:00:00",7844580,26955
"2023-01-18 00:00:00",7817625,12151
"2023-01-17 00:00:00",7805474,11536
"2023-01-16 00:00:00",7793938,11048
"2023-01-15 00:00:00",7782890,12933
"2023-01-14 00:00:00",7769957,13894
"2023-01-13 00:00:00",7756063,13960
"2023-01-12 00:00:00",7742103,13931
"2023-01-11 00:00:00",7728172,13813
"2023-01-10 00:00:00",7714359,11669
"2023-01-09 00:00:00",7702690,11521
"2023-01-08 00:00:00",7691169,13133
"2023-01-07 00:00:00",7678036,13315
"2023-01-06 00:00:00",7664721,12949
"2023-01-05 00:00:00",7651772,12889
