"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",11485761,30802
"2023-05-08 00:00:00",11454959,15661
"2023-05-07 00:00:00",11439298,0
"2023-05-06 00:00:00",11439298,33298
"2023-05-05 00:00:00",11406000,16138
"2023-05-04 00:00:00",11389862,0
"2023-05-03 00:00:00",11389862,23101
"2023-05-02 00:00:00",11366762,23101
"2023-05-01 00:00:00",11343661,7901
"2023-04-30 00:00:00",11335761,7901
"2023-04-29 00:00:00",11327860,16783
"2023-04-28 00:00:00",11311077,16783
"2023-04-27 00:00:00",11294294,32831
"2023-04-26 00:00:00",11261463,16023
"2023-04-25 00:00:00",11245440,13802
"2023-04-24 00:00:00",11231638,15015
"2023-04-23 00:00:00",11216623,16558
"2023-04-22 00:00:00",11200065,16558
"2023-04-21 00:00:00",11183507,16558
"2023-04-20 00:00:00",11166949,16712
"2023-04-19 00:00:00",11150237,16997
"2023-04-18 00:00:00",11133240,0
"2023-04-17 00:00:00",11133240,31094
"2023-04-16 00:00:00",11102146,0
"2023-04-15 00:00:00",11102146,35159
"2023-04-14 00:00:00",11066987,16994
"2023-04-13 00:00:00",11049993,17638
"2023-04-12 00:00:00",11032355,0
"2023-04-11 00:00:00",11032355,30674
"2023-04-10 00:00:00",11001681,16489
"2023-04-09 00:00:00",10985192,17086
"2023-04-08 00:00:00",10968106,18942
"2023-04-07 00:00:00",10949164,18930
"2023-04-06 00:00:00",10930234,18901
"2023-04-05 00:00:00",10911333,18805
"2023-04-04 00:00:00",10892528,16328
"2023-04-03 00:00:00",10876200,18858
"2023-04-02 00:00:00",10857342,20473
"2023-04-01 00:00:00",10836869,20757
"2023-03-31 00:00:00",10816112,20059
"2023-03-30 00:00:00",10796053,20290
"2023-03-29 00:00:00",10775763,20123
"2023-03-28 00:00:00",10755640,18110
"2023-03-27 00:00:00",10737530,20532
"2023-03-26 00:00:00",10716998,22446
"2023-03-25 00:00:00",10694552,23817
"2023-03-24 00:00:00",10670735,24037
"2023-03-23 00:00:00",10646698,0
"2023-03-22 00:00:00",10646698,47480
"2023-03-21 00:00:00",10599218,19578
"2023-03-20 00:00:00",10579640,20771
"2023-03-19 00:00:00",10558869,23903
"2023-03-18 00:00:00",10534966,0
"2023-03-17 00:00:00",10534966,47258
"2023-03-16 00:00:00",10487708,0
"2023-03-15 00:00:00",10487708,48114
"2023-03-14 00:00:00",10439594,21300
"2023-03-13 00:00:00",10418294,0
"2023-03-12 00:00:00",10418294,49945
"2023-03-11 00:00:00",10368349,25670
"2023-03-10 00:00:00",10342679,25514
"2023-03-09 00:00:00",10317165,27367
"2023-03-08 00:00:00",10289798,26447
"2023-03-07 00:00:00",10263351,22202
"2023-03-06 00:00:00",10241149,24306
"2023-03-05 00:00:00",10216843,27141
"2023-03-04 00:00:00",10189702,27320
"2023-03-03 00:00:00",10162382,27537
"2023-03-02 00:00:00",10134845,0
"2023-03-01 00:00:00",10134845,53624
"2023-02-28 00:00:00",10081221,21991
"2023-02-27 00:00:00",10059230,24571
"2023-02-26 00:00:00",10034659,27086
"2023-02-25 00:00:00",10007573,27047
"2023-02-24 00:00:00",9980526,26349
"2023-02-23 00:00:00",9954177,25039
"2023-02-22 00:00:00",9929138,23805
"2023-02-21 00:00:00",9905333,22132
"2023-02-20 00:00:00",9883201,23626
"2023-02-19 00:00:00",9859575,25066
"2023-02-18 00:00:00",9834509,24664
"2023-02-17 00:00:00",9809845,0
"2023-02-16 00:00:00",9809845,49777
"2023-02-15 00:00:00",9760068,21661
"2023-02-14 00:00:00",9738407,18641
"2023-02-13 00:00:00",9719766,18456
"2023-02-12 00:00:00",9701310,20210
"2023-02-11 00:00:00",9681100,21388
"2023-02-10 00:00:00",9659712,22266
"2023-02-09 00:00:00",9637446,21514
"2023-02-08 00:00:00",9615932,21578
"2023-02-07 00:00:00",9594354,19796
"2023-02-06 00:00:00",9574558,20714
"2023-02-05 00:00:00",9553844,0
"2023-02-04 00:00:00",9553844,21666
"2023-02-03 00:00:00",9532178,21561
"2023-02-02 00:00:00",9510617,41940
"2023-02-01 00:00:00",9468677,20802
"2023-01-31 00:00:00",9447875,18676
"2023-01-30 00:00:00",9429199,20144
"2023-01-29 00:00:00",9409055,20838
"2023-01-28 00:00:00",9388217,20811
"2023-01-27 00:00:00",9367406,21963
"2023-01-26 00:00:00",9345443,0
"2023-01-25 00:00:00",9345443,43783
"2023-01-24 00:00:00",9301660,19797
"2023-01-23 00:00:00",9281863,20683
"2023-01-22 00:00:00",9261180,0
"2023-01-21 00:00:00",9261180,44602
"2023-01-20 00:00:00",9216578,22686
"2023-01-19 00:00:00",9193892,22115
"2023-01-18 00:00:00",9171777,21166
"2023-01-17 00:00:00",9150611,20177
"2023-01-16 00:00:00",9130434,20831
"2023-01-15 00:00:00",9109603,22968
"2023-01-14 00:00:00",9086635,22774
"2023-01-13 00:00:00",9063861,22597
"2023-01-12 00:00:00",9041264,21848
"2023-01-11 00:00:00",9019416,21243
"2023-01-10 00:00:00",8998173,19388
"2023-01-09 00:00:00",8978785,20605
"2023-01-08 00:00:00",8958180,21422
"2023-01-07 00:00:00",8936758,21735
"2023-01-06 00:00:00",8915023,21482
"2023-01-05 00:00:00",8893541,21701
"2023-01-04 00:00:00",8871840,20317
"2023-01-03 00:00:00",8851523,17286
"2023-01-02 00:00:00",8834237,21332
"2023-01-01 00:00:00",8812905,21849
"2022-12-31 00:00:00",8791056,22362
"2022-12-30 00:00:00",8768694,21764
"2022-12-29 00:00:00",8746930,21389
"2022-12-28 00:00:00",8725541,19425
"2022-12-27 00:00:00",8706116,16943
"2022-12-26 00:00:00",8689173,20057
"2022-12-25 00:00:00",8669116,22496
"2022-12-24 00:00:00",8646620,23495
"2022-12-23 00:00:00",8623125,23564
"2022-12-22 00:00:00",8599561,23088
"2022-12-21 00:00:00",8576473,22149
"2022-12-20 00:00:00",8554324,19708
"2022-12-19 00:00:00",8534616,22783
"2022-12-18 00:00:00",8511833,24983
"2022-12-17 00:00:00",8486850,27405
"2022-12-16 00:00:00",8459445,27851
"2022-12-15 00:00:00",8431594,28105
"2022-12-14 00:00:00",8403489,27679
"2022-12-13 00:00:00",8375810,0
"2022-12-12 00:00:00",8375810,53285
"2022-12-11 00:00:00",8322525,29802
"2022-12-10 00:00:00",8292723,30941
"2022-12-09 00:00:00",8261782,29799
"2022-12-08 00:00:00",8231983,28494
"2022-12-07 00:00:00",8203489,27023
"2022-12-06 00:00:00",8176466,29111
"2022-12-05 00:00:00",8147355,29111
"2022-12-04 00:00:00",8118245,29111
"2022-12-03 00:00:00",8089134,29111
"2022-12-02 00:00:00",8060024,29111
"2022-12-01 00:00:00",8030913,0
"2022-11-30 00:00:00",8030913,62810
"2022-11-29 00:00:00",7968103,29298
"2022-11-28 00:00:00",7938805,28076
"2022-11-27 00:00:00",7910729,27395
"2022-11-26 00:00:00",7883334,29054
"2022-11-25 00:00:00",7854280,31153
"2022-11-24 00:00:00",7823127,31756
"2022-11-23 00:00:00",7791371,0
"2022-11-22 00:00:00",7791371,66341
"2022-11-21 00:00:00",7725030,38316
"2022-11-20 00:00:00",7686714,39081
"2022-11-19 00:00:00",7647633,39403
"2022-11-18 00:00:00",7608230,39592
"2022-11-17 00:00:00",7568638,38174
"2022-11-16 00:00:00",7530464,37482
"2022-11-15 00:00:00",7492982,34023
"2022-11-14 00:00:00",7458959,37621
"2022-11-13 00:00:00",7421338,37371
"2022-11-12 00:00:00",7383967,37116
"2022-11-11 00:00:00",7346851,36906
"2022-11-10 00:00:00",7309945,36443
"2022-11-09 00:00:00",7273502,35194
"2022-11-08 00:00:00",7238308,31797
"2022-11-07 00:00:00",7206511,35077
"2022-11-06 00:00:00",7171434,37889
"2022-11-05 00:00:00",7133545,39939
"2022-11-04 00:00:00",7093606,39854
