"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",5903010,5359
"2023-05-08 00:00:00",5897651,6108
"2023-05-07 00:00:00",5891543,6849
"2023-05-06 00:00:00",5884694,6497
"2023-05-05 00:00:00",5878197,6371
"2023-05-04 00:00:00",5871826,6206
"2023-05-03 00:00:00",5865620,5854
"2023-05-02 00:00:00",5859766,5184
"2023-05-01 00:00:00",5854582,4168
"2023-04-30 00:00:00",5850414,4168
"2023-04-29 00:00:00",5846247,4168
"2023-04-28 00:00:00",5842079,13209
"2023-04-27 00:00:00",5828870,0
"2023-04-26 00:00:00",5828870,12829
"2023-04-25 00:00:00",5816041,5661
"2023-04-24 00:00:00",5810381,5661
"2023-04-23 00:00:00",5804720,6417
"2023-04-22 00:00:00",5798303,6423
"2023-04-21 00:00:00",5791880,0
"2023-04-20 00:00:00",5791880,9559
"2023-04-19 00:00:00",5782321,9559
"2023-04-18 00:00:00",5772762,0
"2023-04-17 00:00:00",5772762,11575
"2023-04-16 00:00:00",5761187,6796
"2023-04-15 00:00:00",5754391,6793
"2023-04-14 00:00:00",5747598,6702
"2023-04-13 00:00:00",5740896,6690
"2023-04-12 00:00:00",5734206,5810
"2023-04-11 00:00:00",5728396,5049
"2023-04-10 00:00:00",5723347,0
"2023-04-09 00:00:00",5723347,12561
"2023-04-08 00:00:00",5710786,7277
"2023-04-07 00:00:00",5703509,7343
"2023-04-06 00:00:00",5696166,7104
"2023-04-05 00:00:00",5689062,6880
"2023-04-04 00:00:00",5682182,5811
"2023-04-03 00:00:00",5676371,6682
"2023-04-02 00:00:00",5669689,7498
"2023-04-01 00:00:00",5662191,7290
"2023-03-31 00:00:00",5654901,7108
"2023-03-30 00:00:00",5647793,7118
"2023-03-29 00:00:00",5640675,7163
"2023-03-28 00:00:00",5633512,6202
"2023-03-27 00:00:00",5627310,0
"2023-03-26 00:00:00",5627310,6646
"2023-03-25 00:00:00",5620664,7569
"2023-03-24 00:00:00",5613095,15637
"2023-03-23 00:00:00",5597458,8062
"2023-03-22 00:00:00",5589396,7873
"2023-03-21 00:00:00",5581523,6697
"2023-03-20 00:00:00",5574826,0
"2023-03-19 00:00:00",5574826,15953
"2023-03-18 00:00:00",5558873,8364
"2023-03-17 00:00:00",5550509,7922
"2023-03-16 00:00:00",5542587,8128
"2023-03-15 00:00:00",5534459,0
"2023-03-14 00:00:00",5534459,7701
"2023-03-13 00:00:00",5526758,6710
"2023-03-12 00:00:00",5520048,16166
"2023-03-11 00:00:00",5503882,0
"2023-03-10 00:00:00",5503882,16954
"2023-03-09 00:00:00",5486928,8743
"2023-03-08 00:00:00",5478185,8728
"2023-03-07 00:00:00",5469457,0
"2023-03-06 00:00:00",5469457,15307
"2023-03-05 00:00:00",5454150,8768
"2023-03-04 00:00:00",5445382,9103
"2023-03-03 00:00:00",5436279,8827
"2023-03-02 00:00:00",5427452,0
"2023-03-01 00:00:00",5427452,9239
"2023-02-28 00:00:00",5418213,16592
"2023-02-27 00:00:00",5401621,8737
"2023-02-26 00:00:00",5392884,11212
"2023-02-25 00:00:00",5381672,9828
"2023-02-24 00:00:00",5371844,0
"2023-02-23 00:00:00",5371844,18729
"2023-02-22 00:00:00",5353115,8906
"2023-02-21 00:00:00",5344209,7636
"2023-02-20 00:00:00",5336573,0
"2023-02-19 00:00:00",5336573,8640
"2023-02-18 00:00:00",5327933,17986
"2023-02-17 00:00:00",5309947,9077
"2023-02-16 00:00:00",5300870,0
"2023-02-15 00:00:00",5300870,17659
"2023-02-14 00:00:00",5283211,7666
"2023-02-13 00:00:00",5275545,8602
"2023-02-12 00:00:00",5266943,9270
"2023-02-11 00:00:00",5257673,9312
"2023-02-10 00:00:00",5248361,9780
"2023-02-09 00:00:00",5238581,10296
"2023-02-08 00:00:00",5228285,9789
"2023-02-07 00:00:00",5218496,8437
