"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",10457913,9911
"2023-05-08 00:00:00",10448002,11486
"2023-05-07 00:00:00",10436516,12774
"2023-05-06 00:00:00",10423742,11793
"2023-05-05 00:00:00",10411949,0
"2023-05-04 00:00:00",10411949,23355
"2023-05-03 00:00:00",10388594,10480
"2023-05-02 00:00:00",10378114,9551
"2023-05-01 00:00:00",10368563,8118
"2023-04-30 00:00:00",10360445,8118
"2023-04-29 00:00:00",10352328,8118
"2023-04-28 00:00:00",10344210,24039
"2023-04-27 00:00:00",10320171,0
"2023-04-26 00:00:00",10320171,23316
"2023-04-25 00:00:00",10296855,10696
"2023-04-24 00:00:00",10286159,10696
"2023-04-23 00:00:00",10275463,12353
"2023-04-22 00:00:00",10263110,12566
"2023-04-21 00:00:00",10250544,0
"2023-04-20 00:00:00",10250544,17869
"2023-04-19 00:00:00",10232676,17869
"2023-04-18 00:00:00",10214807,0
"2023-04-17 00:00:00",10214807,22283
"2023-04-16 00:00:00",10192524,13159
"2023-04-15 00:00:00",10179365,12783
"2023-04-14 00:00:00",10166582,12510
"2023-04-13 00:00:00",10154072,12418
"2023-04-12 00:00:00",10141654,11176
"2023-04-11 00:00:00",10130478,10028
"2023-04-10 00:00:00",10120450,0
"2023-04-09 00:00:00",10120450,25274
"2023-04-08 00:00:00",10095176,14355
"2023-04-07 00:00:00",10080821,13864
"2023-04-06 00:00:00",10066957,14154
"2023-04-05 00:00:00",10052803,13694
"2023-04-04 00:00:00",10039109,11590
"2023-04-03 00:00:00",10027519,13695
"2023-04-02 00:00:00",10013824,15468
"2023-04-01 00:00:00",9998356,15487
"2023-03-31 00:00:00",9982869,15321
"2023-03-30 00:00:00",9967548,15296
"2023-03-29 00:00:00",9952252,15061
"2023-03-28 00:00:00",9937191,13002
"2023-03-27 00:00:00",9924189,0
"2023-03-26 00:00:00",9924189,15820
"2023-03-25 00:00:00",9908369,16898
"2023-03-24 00:00:00",9891471,35169
"2023-03-23 00:00:00",9856302,18104
"2023-03-22 00:00:00",9838198,17657
"2023-03-21 00:00:00",9820541,14773
"2023-03-20 00:00:00",9805768,0
"2023-03-19 00:00:00",9805768,35803
"2023-03-18 00:00:00",9769965,18291
"2023-03-17 00:00:00",9751674,18527
"2023-03-16 00:00:00",9733147,18307
"2023-03-15 00:00:00",9714840,0
"2023-03-14 00:00:00",9714840,18729
"2023-03-13 00:00:00",9696111,15983
"2023-03-12 00:00:00",9680128,37731
"2023-03-11 00:00:00",9642397,0
"2023-03-10 00:00:00",9642397,39884
"2023-03-09 00:00:00",9602513,21393
"2023-03-08 00:00:00",9581120,20800
"2023-03-07 00:00:00",9560320,0
"2023-03-06 00:00:00",9560320,35952
"2023-03-05 00:00:00",9524368,21525
"2023-03-04 00:00:00",9502843,21514
"2023-03-03 00:00:00",9481329,21058
"2023-03-02 00:00:00",9460271,0
"2023-03-01 00:00:00",9460271,21400
"2023-02-28 00:00:00",9438871,36730
"2023-02-27 00:00:00",9402141,19318
"2023-02-26 00:00:00",9382823,22032
"2023-02-25 00:00:00",9360791,21736
"2023-02-24 00:00:00",9339055,0
"2023-02-23 00:00:00",9339055,41877
"2023-02-22 00:00:00",9297178,20632
"2023-02-21 00:00:00",9276546,17910
"2023-02-20 00:00:00",9258636,0
"2023-02-19 00:00:00",9258636,19344
"2023-02-18 00:00:00",9239292,42075
"2023-02-17 00:00:00",9197217,21117
"2023-02-16 00:00:00",9176100,0
"2023-02-15 00:00:00",9176100,40944
"2023-02-14 00:00:00",9135156,16078
"2023-02-13 00:00:00",9119078,16558
"2023-02-12 00:00:00",9102520,17478
"2023-02-11 00:00:00",9085042,17387
"2023-02-10 00:00:00",9067655,17565
"2023-02-09 00:00:00",9050090,17999
"2023-02-08 00:00:00",9032091,16733
"2023-02-07 00:00:00",9015358,13587
"2023-02-06 00:00:00",9001771,15084
"2023-02-05 00:00:00",8986687,15097
"2023-02-04 00:00:00",8971590,14828
"2023-02-03 00:00:00",8956762,14365
"2023-02-02 00:00:00",8942397,14182
"2023-02-01 00:00:00",8928215,13486
"2023-01-31 00:00:00",8914729,11406
"2023-01-30 00:00:00",8903323,13549
"2023-01-29 00:00:00",8889774,7417
"2023-01-28 00:00:00",8882358,7417
"2023-01-27 00:00:00",8874941,28116
"2023-01-26 00:00:00",8846825,13586
"2023-01-25 00:00:00",8833239,12850
"2023-01-24 00:00:00",8820389,11201
"2023-01-23 00:00:00",8809188,12812
"2023-01-22 00:00:00",8796376,0
"2023-01-21 00:00:00",8796376,28811
"2023-01-20 00:00:00",8767565,14960
"2023-01-19 00:00:00",8752605,14449
"2023-01-18 00:00:00",8738156,0
"2023-01-17 00:00:00",8738156,26201
"2023-01-16 00:00:00",8711955,13823
"2023-01-15 00:00:00",8698132,15338
"2023-01-14 00:00:00",8682794,15093
"2023-01-13 00:00:00",8667701,14969
"2023-01-12 00:00:00",8652732,14388
"2023-01-11 00:00:00",8638344,14341
"2023-01-10 00:00:00",8624003,12069
"2023-01-09 00:00:00",8611934,13751
"2023-01-08 00:00:00",8598183,14594
"2023-01-07 00:00:00",8583589,14155
"2023-01-06 00:00:00",8569434,0
"2023-01-05 00:00:00",8569434,27580
"2023-01-04 00:00:00",8541854,12840
"2023-01-03 00:00:00",8529014,10841
"2023-01-02 00:00:00",8518173,14405
"2023-01-01 00:00:00",8503768,14542
"2022-12-31 00:00:00",8489226,14640
"2022-12-30 00:00:00",8474586,14339
"2022-12-29 00:00:00",8460247,14169
"2022-12-28 00:00:00",8446078,13201
"2022-12-27 00:00:00",8432877,12328
"2022-12-26 00:00:00",8420549,15125
"2022-12-25 00:00:00",8405424,16881
"2022-12-24 00:00:00",8388543,17572
"2022-12-23 00:00:00",8370971,17236
"2022-12-22 00:00:00",8353735,17012
"2022-12-21 00:00:00",8336723,16703
"2022-12-20 00:00:00",8320020,14129
"2022-12-19 00:00:00",8305891,16718
"2022-12-18 00:00:00",8289173,18898
"2022-12-17 00:00:00",8270275,19526
"2022-12-16 00:00:00",8250749,19129
"2022-12-15 00:00:00",8231620,19303
"2022-12-14 00:00:00",8212317,0
"2022-12-13 00:00:00",8212317,36737
"2022-12-12 00:00:00",8175580,20810
"2022-12-11 00:00:00",8154770,22093
"2022-12-10 00:00:00",8132677,21933
"2022-12-09 00:00:00",8110744,20352
"2022-12-08 00:00:00",8090392,18321
"2022-12-07 00:00:00",8072071,17239
"2022-12-06 00:00:00",8054832,18916
"2022-12-05 00:00:00",8035916,18916
"2022-12-04 00:00:00",8017000,18916
"2022-12-03 00:00:00",7998084,18916
"2022-12-02 00:00:00",7979168,18916
"2022-12-01 00:00:00",7960252,19157
"2022-11-30 00:00:00",7941095,18559
"2022-11-29 00:00:00",7922536,0
"2022-11-28 00:00:00",7922536,34337
"2022-11-27 00:00:00",7888199,18141
"2022-11-26 00:00:00",7870058,19703
"2022-11-25 00:00:00",7850355,21538
"2022-11-24 00:00:00",7828817,23681
"2022-11-23 00:00:00",7805136,25864
"2022-11-22 00:00:00",7779272,19414
"2022-11-21 00:00:00",7759858,23784
"2022-11-20 00:00:00",7736074,24097
"2022-11-19 00:00:00",7711977,20541
