Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 24, 2022",966,"203,287",,
"Jun 25, 2022","1,188","209,452",,
"Jun 26, 2022","1,326","282,103",1,379
"Jun 27, 2022","1,430","623,731",1,379
"Jun 28, 2022","1,506","633,397",1,379
"Jun 29, 2022","1,589","650,390",1,379
"Jun 30, 2022","1,640","652,368",1,379
"Jul 01, 2022","1,694","582,898",2,"25,415"
"Jul 02, 2022","1,718","579,280",2,"25,419"
"Jul 03, 2022","1,755","581,168",2,"25,428"
"Jul 04, 2022","1,779","582,189",2,"25,439"
"Jul 05, 2022","1,808","584,497",2,"25,447"
"Jul 06, 2022","1,837","579,874",2,"25,455"
"Jul 07, 2022","1,863","581,144",2,"25,463"
"Jul 08, 2022","1,908","585,105",2,"25,474"
"Jul 09, 2022","1,931","586,373",2,"25,483"
"Jul 10, 2022","1,959","587,566",2,"25,500"
"Jul 11, 2022","1,974","588,305",2,"25,517"
"Jul 12, 2022","1,999","585,210",2,"25,530"
"Jul 13, 2022","2,019","582,705",2,"25,531"
"Jul 14, 2022","2,036","592,199",2,"25,536"
"Jul 15, 2022","2,050","593,792",2,"25,545"
"Jul 16, 2022","2,055","594,171",2,"25,555"
"Jul 17, 2022","2,070","594,996",2,"25,564"
"Jul 18, 2022","2,077","595,367",2,"25,569"
"Jul 19, 2022","2,083","623,661",2,"25,574"
"Jul 20, 2022","2,091","624,089",2,"25,585"
"Jul 21, 2022","2,100","624,611",2,"25,598"
"Jul 22, 2022","2,111","625,691",2,"25,604"
"Jul 23, 2022","2,119","626,466",2,"25,615"
"Jul 24, 2022","2,123","629,213",2,"25,626"
"Jul 25, 2022","2,131","630,745",2,"25,634"
"Jul 26, 2022","2,133","631,170",2,"25,646"
"Jul 27, 2022","2,150","634,320",2,"25,659"
"Jul 28, 2022","2,157","634,660",2,"25,677"
"Jul 29, 2022","2,169","635,249",2,"25,685"
"Jul 30, 2022","2,175","635,977",2,"25,695"
"Jul 31, 2022","2,189","636,915",2,"25,701"
"Aug 01, 2022","2,195","637,251",2,"25,708"
"Aug 02, 2022","2,206","637,897",2,"25,718"
"Aug 03, 2022","2,216","638,551",2,"25,727"
"Aug 04, 2022","2,227","640,770",2,"25,742"
"Aug 05, 2022","2,232","641,264",2,"25,755"
"Aug 06, 2022","2,242","643,004",2,"25,765"
"Aug 07, 2022","2,244","611,453",2,"25,775"
"Aug 08, 2022","2,251","612,271",2,"25,789"
"Aug 09, 2022","2,254","612,195",2,"25,806"
"Aug 10, 2022","2,255","612,613",2,"25,813"
"Aug 11, 2022","2,256","612,934",2,"25,825"
"Aug 12, 2022","2,258","617,886",2,"25,837"
"Aug 13, 2022","2,260","618,275",2,"25,849"
"Aug 14, 2022","2,262","539,655",2,"25,855"
"Aug 15, 2022","2,267","539,991",2,"25,867"
"Aug 16, 2022","2,271","539,924",2,"25,877"
"Aug 17, 2022","2,270","541,707",2,"25,891"
"Aug 18, 2022","2,275","541,996",2,"25,903"
"Aug 19, 2022","2,279","541,978",2,"25,911"
"Aug 20, 2022","2,284","542,359",2,"25,921"
"Aug 21, 2022","2,289","542,791",2,"25,933"
"Aug 22, 2022","2,293","541,602",2,"25,936"
"Aug 23, 2022","2,299","542,026",2,"25,954"
"Aug 24, 2022","2,306","541,155",2,"25,965"
"Aug 25, 2022","2,310","541,566",2,"25,973"
"Aug 26, 2022","2,315","543,458",2,"25,979"
"Aug 27, 2022","2,316","543,799",2,"25,993"
"Aug 28, 2022","2,313","544,066",2,"26,010"
"Aug 29, 2022","2,315","544,456",2,"26,014"
"Aug 30, 2022","2,316","543,237",2,"26,024"
"Aug 31, 2022","2,321","543,647",2,"26,031"
"Sep 01, 2022","2,326","544,006",2,"26,039"
"Sep 02, 2022","2,329","544,295",2,"26,052"
"Sep 03, 2022","2,330","544,621",2,"26,063"
"Sep 04, 2022","2,332","544,918",2,"26,080"
"Sep 05, 2022","2,338","545,142",2,"26,091"
"Sep 06, 2022","2,343","545,088",3,"26,104"
"Sep 07, 2022","2,348","539,614",3,"26,109"
"Sep 08, 2022","2,351","540,107",3,"26,116"
"Sep 09, 2022","2,351","540,451",3,"26,124"
"Sep 10, 2022","2,353","541,040",3,"26,136"
"Sep 11, 2022","2,361","541,272",3,"26,153"
"Sep 12, 2022","2,365","541,098",3,"26,175"
"Sep 13, 2022","2,368","541,402",3,"26,189"
"Sep 14, 2022","2,372","541,725",3,"26,201"
"Sep 15, 2022","2,376","542,066",3,"26,210"
"Sep 16, 2022","2,380","542,393",3,"26,217"
