Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 24, 2022",794,"161,763",,
"Jun 25, 2022",949,"169,586",,
"Jun 26, 2022","1,069","160,570",1,379
"Jun 27, 2022","1,151","489,706",1,379
"Jun 28, 2022","1,205","491,218",1,379
"Jun 29, 2022","1,288","640,406",1,379
"Jun 30, 2022","1,352","642,611",1,379
"Jul 01, 2022","1,380","401,371",1,379
"Jul 02, 2022","1,396","395,312",1,379
"Jul 03, 2022","1,421","406,945",1,379
"Jul 04, 2022","1,450","407,799",1,379
"Jul 05, 2022","1,472","409,135",1,379
"Jul 06, 2022","1,490","411,743",1,379
"Jul 07, 2022","1,506","412,987",1,379
"Jul 08, 2022","1,548","416,801",1,379
"Jul 09, 2022","1,565","417,769",1,379
"Jul 10, 2022","1,592","418,768",1,379
"Jul 11, 2022","1,607","419,504",1,379
"Jul 12, 2022","1,621","415,940",1,379
"Jul 13, 2022","1,636","413,174",1,379
"Jul 14, 2022","1,649","414,356",1,379
"Jul 15, 2022","1,654","552,881",1,379
"Jul 16, 2022","1,663","553,253",1,379
"Jul 17, 2022","1,669","416,176",1,379
"Jul 18, 2022","1,677","416,358",1,379
"Jul 19, 2022","1,685","417,264",1,378
"Jul 20, 2022","1,694","418,100",1,378
"Jul 21, 2022","1,699","418,743",1,378
"Jul 22, 2022","1,705","418,824",1,378
"Jul 23, 2022","1,717","419,209",1,378
"Jul 24, 2022","1,724","419,515",1,378
"Jul 25, 2022","1,728","420,268",1,378
"Jul 26, 2022","1,735","558,681",1,378
"Jul 27, 2022","1,744","559,930",1,378
"Jul 28, 2022","1,746","560,250",1,378
"Jul 29, 2022","1,757","560,843",1,378
"Jul 30, 2022","1,759","422,709",1,378
"Jul 31, 2022","1,767","423,515",1,378
"Aug 01, 2022","1,772","423,780",1,378
"Aug 02, 2022","1,777","424,137",1,378
"Aug 03, 2022","1,781","424,421",1,378
"Aug 04, 2022","1,786","424,702",1,378
"Aug 05, 2022","1,786","424,981",1,378
"Aug 06, 2022","1,791","426,534",1,378
"Aug 07, 2022","1,794","426,844",1,378
"Aug 08, 2022","1,794","427,116",1,378
"Aug 09, 2022","1,804","451,665",1,378
"Aug 10, 2022","1,805","451,466",1,378
"Aug 11, 2022","1,804","450,837",1,378
"Aug 12, 2022","1,806","449,745",1,378
"Aug 13, 2022","1,806","450,136",1,378
"Aug 14, 2022","1,804","443,229",1,378
"Aug 15, 2022","1,803","442,886",1,378
"Aug 16, 2022","1,802","442,647",1,378
"Aug 17, 2022","1,800","440,324",1,378
"Aug 18, 2022","1,804","440,593",1,378
"Aug 19, 2022","1,809","441,088",1,378
"Aug 20, 2022","1,809","441,397",1,378
"Aug 21, 2022","1,811","441,702",1,378
"Aug 22, 2022","1,814","442,073",1,378
"Aug 23, 2022","1,816","442,413",1,378
"Aug 24, 2022","1,818","441,486",1,378
"Aug 25, 2022","1,825","441,811",1,378
"Aug 26, 2022","1,824","442,187",1,378
"Aug 27, 2022","1,824","442,549",1,378
"Aug 28, 2022","1,823","442,838",1,378
"Aug 29, 2022","1,824","443,083",1,378
"Aug 30, 2022","1,828","443,424",1,378
"Aug 31, 2022","1,832","443,712",1,378
"Sep 01, 2022","1,836","444,065",1,378
"Sep 02, 2022","1,840","444,420",1,378
"Sep 03, 2022","1,840","444,723",1,378
"Sep 04, 2022","1,842","452,609",1,378
"Sep 05, 2022","1,845","452,871",1,378
"Sep 06, 2022","1,843","452,644",1,378
"Sep 07, 2022","1,844","452,941",1,378
"Sep 08, 2022","1,848","453,264",1,378
"Sep 09, 2022","1,851","453,680",1,378
"Sep 10, 2022","1,850","453,680",1,378
"Sep 11, 2022","1,852","453,920",1,378
"Sep 12, 2022","1,853","454,197",1,378
"Sep 13, 2022","1,854","454,476",1,378
"Sep 14, 2022","1,855","454,707",1,378
"Sep 15, 2022","1,857","454,999",1,378
"Sep 16, 2022","1,858","455,150",1,378
"Sep 17, 2022","1,865","455,884",1,378
"Sep 18, 2022","1,867","456,155",1,378
"Sep 19, 2022","1,870","456,388",1,378
"Sep 20, 2022","1,869","456,679",1,378
"Sep 21, 2022","1,872","456,811",1,378
"Sep 22, 2022","1,873","457,048",1,378
"Sep 23, 2022","1,875","457,346",1,378
"Sep 24, 2022","1,875","457,598",1,378
"Sep 25, 2022","1,876","457,887",1,378
"Sep 26, 2022","1,881","458,150",1,378
"Sep 27, 2022","1,881","458,415",1,378
"Sep 28, 2022","1,881","458,597",1,378
"Sep 29, 2022","1,886","458,836",1,378
"Sep 30, 2022","1,888","459,077",1,378
"Oct 01, 2022","1,886","459,290",1,378
"Oct 02, 2022","1,888","459,571",1,378
"Oct 03, 2022","1,889","459,757",1,378
"Oct 04, 2022","1,890","460,030",1,378
"Oct 05, 2022","1,888","460,206",1,378
"Oct 06, 2022","1,890","460,551",1,378
"Oct 07, 2022","1,890","460,780",1,378
"Oct 08, 2022","1,893","461,024",1,378
"Oct 09, 2022","1,895","607,421",1,378
"Oct 10, 2022","1,894","607,753",1,378
"Oct 11, 2022","1,896","461,737",1,378
"Oct 12, 2022","1,896","461,890",1,378
"Oct 13, 2022","1,895","462,097",1,378
"Oct 14, 2022","1,894","462,393",1,378
"Oct 15, 2022","1,892","462,619",1,378
"Oct 16, 2022","1,893","462,811",1,378
"Oct 17, 2022","1,894","463,015",1,378
"Oct 18, 2022","1,896","463,231",1,378
"Oct 19, 2022","1,898","463,409",1,378
"Oct 20, 2022","1,897","463,645",1,378
"Oct 21, 2022","1,897","463,936",1,378
"Oct 22, 2022","1,896","464,293",1,378
"Oct 23, 2022","1,894","464,635",1,378
"Oct 24, 2022","1,894","464,832",1,378
"Oct 25, 2022","1,895","465,028",1,378
"Oct 26, 2022","1,895","465,340",1,378
"Oct 27, 2022","1,896","465,559",1,378
"Oct 28, 2022","1,900","465,997",1,378
"Oct 29, 2022","1,903","466,270",1,378
"Oct 30, 2022","1,906","466,500",1,378
"Oct 31, 2022","1,904","466,673",1,378
"Nov 01, 2022","1,904","466,864",1,378
"Nov 02, 2022","1,905","467,023",1,378
"Nov 03, 2022","1,905","467,208",1,378
"Nov 04, 2022","1,904","467,404",1,378
"Nov 05, 2022","1,904","467,344",1,378
"Nov 06, 2022","1,903","467,600",1,378
"Nov 07, 2022","1,904","460,942",1,378
"Nov 08, 2022","1,903","461,163",1,378
"Nov 09, 2022","1,904","461,401",1,378
"Nov 10, 2022","1,903","461,578",1,378
"Nov 11, 2022","1,902","461,771",1,378
"Nov 12, 2022","1,902","461,974",1,378
"Nov 13, 2022","1,900","462,168",1,378
"Nov 14, 2022","1,897","462,379",1,378
"Nov 15, 2022","1,897","462,499",1,377
"Nov 16, 2022","1,897","462,641",1,377
"Nov 17, 2022","1,895","462,255",1,377
"Nov 18, 2022","1,876","462,137",1,377
"Nov 19, 2022","1,876","461,785",1,377
"Nov 20, 2022","1,880","462,045",1,376
"Nov 21, 2022","1,885","462,249",1,376
"Nov 22, 2022","1,892","462,381",1,376
"Nov 23, 2022","1,894","462,560",1,376
"Nov 24, 2022","1,897","463,024",1,376
"Nov 25, 2022","1,899","463,228",1,376
"Nov 26, 2022","1,898","463,281",1,376
"Nov 27, 2022","1,899","463,028",1,376
"Nov 28, 2022","1,908","463,231",1,376
"Nov 29, 2022","1,906","463,745",1,376
"Nov 30, 2022","1,909","463,894",1,376
"Dec 01, 2022","1,913","463,369",1,376
"Dec 02, 2022","1,913","463,446",1,376
"Dec 03, 2022","1,879","461,087",1,376
"Dec 04, 2022","1,874","462,422",1,376
"Dec 05, 2022","1,852","463,107",1,376
"Dec 06, 2022","1,846","463,016",1,376
"Dec 07, 2022","1,824","461,372",1,376
"Dec 08, 2022","1,808","459,293",1,376
"Dec 09, 2022","1,800","457,391",1,376
"Dec 10, 2022","1,803","459,561",1,376
"Dec 11, 2022","1,799","461,080",1,376
"Dec 12, 2022","1,791","456,766",1,376
"Dec 13, 2022","1,780","456,780",1,376
