"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",5814458,12539
"2023-05-08 00:00:00",5801919,6613
"2023-05-07 00:00:00",5795306,0
"2023-05-06 00:00:00",5795306,14547
"2023-05-05 00:00:00",5780759,6714
"2023-05-04 00:00:00",5774045,0
"2023-05-03 00:00:00",5774045,9282
"2023-05-02 00:00:00",5764763,9282
"2023-05-01 00:00:00",5755481,3199
"2023-04-30 00:00:00",5752283,3199
"2023-04-29 00:00:00",5749084,6887
"2023-04-28 00:00:00",5742198,6887
"2023-04-27 00:00:00",5735311,13689
"2023-04-26 00:00:00",5721622,6408
"2023-04-25 00:00:00",5715214,5469
"2023-04-24 00:00:00",5709745,6416
"2023-04-23 00:00:00",5703329,6922
"2023-04-22 00:00:00",5696407,6922
"2023-04-21 00:00:00",5689485,6922
"2023-04-20 00:00:00",5682563,6770
"2023-04-19 00:00:00",5675793,6665
"2023-04-18 00:00:00",5669128,0
"2023-04-17 00:00:00",5669128,11802
"2023-04-16 00:00:00",5657326,0
"2023-04-15 00:00:00",5657326,14220
"2023-04-14 00:00:00",5643106,7061
"2023-04-13 00:00:00",5636045,6956
"2023-04-12 00:00:00",5629089,0
"2023-04-11 00:00:00",5629089,11901
"2023-04-10 00:00:00",5617188,6620
"2023-04-09 00:00:00",5610568,6920
"2023-04-08 00:00:00",5603648,7605
"2023-04-07 00:00:00",5596043,7298
"2023-04-06 00:00:00",5588745,7305
"2023-04-05 00:00:00",5581440,7077
"2023-04-04 00:00:00",5574363,5906
"2023-04-03 00:00:00",5568457,6891
"2023-04-02 00:00:00",5561566,7609
"2023-04-01 00:00:00",5553957,7847
"2023-03-31 00:00:00",5546110,7421
"2023-03-30 00:00:00",5538689,7366
"2023-03-29 00:00:00",5531323,7307
"2023-03-28 00:00:00",5524016,6186
"2023-03-27 00:00:00",5517830,7020
"2023-03-26 00:00:00",5510810,8037
"2023-03-25 00:00:00",5502773,7936
"2023-03-24 00:00:00",5494837,8039
"2023-03-23 00:00:00",5486798,0
"2023-03-22 00:00:00",5486798,16078
"2023-03-21 00:00:00",5470720,6454
"2023-03-20 00:00:00",5464266,7733
"2023-03-19 00:00:00",5456533,8591
"2023-03-18 00:00:00",5447942,0
"2023-03-17 00:00:00",5447942,16745
"2023-03-16 00:00:00",5431197,0
"2023-03-15 00:00:00",5431197,16534
"2023-03-14 00:00:00",5414663,7041
"2023-03-13 00:00:00",5407622,0
"2023-03-12 00:00:00",5407622,16896
"2023-03-11 00:00:00",5390726,8988
"2023-03-10 00:00:00",5381738,9065
"2023-03-09 00:00:00",5372673,9462
"2023-03-08 00:00:00",5363211,9049
"2023-03-07 00:00:00",5354162,7432
"2023-03-06 00:00:00",5346730,8728
"2023-03-05 00:00:00",5338002,9522
"2023-03-04 00:00:00",5328480,9610
