"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",10798459,34649
"2023-05-08 00:00:00",10763810,19651
"2023-05-07 00:00:00",10744159,0
"2023-05-06 00:00:00",10744159,34804
"2023-05-05 00:00:00",10709355,14718
"2023-05-04 00:00:00",10694637,0
"2023-05-03 00:00:00",10694637,20477
"2023-05-02 00:00:00",10674160,20477
"2023-05-01 00:00:00",10653683,7300
"2023-04-30 00:00:00",10646383,7300
"2023-04-29 00:00:00",10639083,15435
"2023-04-28 00:00:00",10623649,15435
"2023-04-27 00:00:00",10608214,30695
"2023-04-26 00:00:00",10577519,14888
"2023-04-25 00:00:00",10562631,12397
"2023-04-24 00:00:00",10550234,14174
"2023-04-23 00:00:00",10536060,16046
"2023-04-22 00:00:00",10520014,16046
"2023-04-21 00:00:00",10503969,16046
"2023-04-20 00:00:00",10487923,16232
"2023-04-19 00:00:00",10471691,15928
"2023-04-18 00:00:00",10455763,0
"2023-04-17 00:00:00",10455763,28398
"2023-04-16 00:00:00",10427365,0
"2023-04-15 00:00:00",10427365,33602
"2023-04-14 00:00:00",10393763,17024
"2023-04-13 00:00:00",10376739,17399
"2023-04-12 00:00:00",10359340,0
"2023-04-11 00:00:00",10359340,29346
"2023-04-10 00:00:00",10329994,16863
"2023-04-09 00:00:00",10313131,17600
"2023-04-08 00:00:00",10295531,20119
"2023-04-07 00:00:00",10275412,19265
"2023-04-06 00:00:00",10256147,17461
"2023-04-05 00:00:00",10238686,17355
"2023-04-04 00:00:00",10221331,14702
"2023-04-03 00:00:00",10206629,16769
"2023-04-02 00:00:00",10189860,18989
"2023-04-01 00:00:00",10170871,19133
"2023-03-31 00:00:00",10151738,18935
"2023-03-30 00:00:00",10132803,18976
"2023-03-29 00:00:00",10113827,17413
"2023-03-28 00:00:00",10096414,14379
"2023-03-27 00:00:00",10082035,16464
"2023-03-26 00:00:00",10065571,18653
"2023-03-25 00:00:00",10046918,18985
"2023-03-24 00:00:00",10027933,20681
"2023-03-23 00:00:00",10007252,0
"2023-03-22 00:00:00",10007252,43540
"2023-03-21 00:00:00",9963712,16714
"2023-03-20 00:00:00",9946998,17389
"2023-03-19 00:00:00",9929609,18932
"2023-03-18 00:00:00",9910677,0
"2023-03-17 00:00:00",9910677,37658
"2023-03-16 00:00:00",9873019,0
"2023-03-15 00:00:00",9873019,37041
"2023-03-14 00:00:00",9835978,16077
"2023-03-13 00:00:00",9819901,0
"2023-03-12 00:00:00",9819901,42267
"2023-03-11 00:00:00",9777634,21175
"2023-03-10 00:00:00",9756459,21435
"2023-03-09 00:00:00",9735024,21236
"2023-03-08 00:00:00",9713788,22346
"2023-03-07 00:00:00",9691442,17967
"2023-03-06 00:00:00",9673475,19646
"2023-03-05 00:00:00",9653829,22819
"2023-03-04 00:00:00",9631010,22530
"2023-03-03 00:00:00",9608480,22217
"2023-03-02 00:00:00",9586263,0
"2023-03-01 00:00:00",9586263,43563
"2023-02-28 00:00:00",9542700,18215
"2023-02-27 00:00:00",9524485,20240
"2023-02-26 00:00:00",9504245,22443
"2023-02-25 00:00:00",9481802,20968
"2023-02-24 00:00:00",9460834,20825
"2023-02-23 00:00:00",9440009,21004
"2023-02-22 00:00:00",9419005,20390
"2023-02-21 00:00:00",9398615,18041
"2023-02-20 00:00:00",9380574,20233
"2023-02-19 00:00:00",9360341,21381
"2023-02-18 00:00:00",9338960,21340
"2023-02-17 00:00:00",9317620,0
"2023-02-16 00:00:00",9317620,44140
"2023-02-15 00:00:00",9273480,20949
"2023-02-14 00:00:00",9252531,17993
"2023-02-13 00:00:00",9234538,18843
"2023-02-12 00:00:00",9215695,21044
"2023-02-11 00:00:00",9194651,21805
"2023-02-10 00:00:00",9172846,22751
"2023-02-09 00:00:00",9150095,22855
"2023-02-08 00:00:00",9127240,22623
"2023-02-07 00:00:00",9104617,19184
"2023-02-06 00:00:00",9085433,20870
"2023-02-05 00:00:00",9064563,0
"2023-02-04 00:00:00",9064563,22367
"2023-02-03 00:00:00",9042196,22192
"2023-02-02 00:00:00",9020004,43189
"2023-02-01 00:00:00",8976815,21021
"2023-01-31 00:00:00",8955794,0
"2023-01-30 00:00:00",8955794,38845
"2023-01-29 00:00:00",8916949,23711
"2023-01-28 00:00:00",8893238,22978
"2023-01-27 00:00:00",8870260,22465
"2023-01-26 00:00:00",8847795,0
"2023-01-25 00:00:00",8847795,45029
"2023-01-24 00:00:00",8802766,18795
