"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",1021584,3500
"2023-05-13 00:00:00",1018084,3526
"2023-05-12 00:00:00",1014558,3474
"2023-05-11 00:00:00",1011084,3382
"2023-05-10 00:00:00",1007702,3789
"2023-05-09 00:00:00",1003913,2904
"2023-05-08 00:00:00",1001009,2996
"2023-05-07 00:00:00",998013,3957
"2023-05-06 00:00:00",994056,3657
"2023-05-05 00:00:00",990399,3588
"2023-05-04 00:00:00",986811,3475
"2023-05-03 00:00:00",983336,3788
"2023-05-02 00:00:00",979548,2813
"2023-05-01 00:00:00",976735,3061
"2023-04-30 00:00:00",973674,3381
"2023-04-29 00:00:00",970293,3563
"2023-04-28 00:00:00",966730,3616
"2023-04-27 00:00:00",963114,3702
"2023-04-26 00:00:00",959412,3988
"2023-04-25 00:00:00",955424,3085
"2023-04-24 00:00:00",952339,3227
"2023-04-23 00:00:00",949112,3538
"2023-04-22 00:00:00",945574,3831
"2023-04-21 00:00:00",941743,4047
"2023-04-20 00:00:00",937696,4470
"2023-04-19 00:00:00",933226,4562
"2023-04-18 00:00:00",928664,2759
"2023-04-17 00:00:00",925905,2675
"2023-04-16 00:00:00",923230,2951
"2023-04-15 00:00:00",920279,3139
"2023-04-14 00:00:00",917140,3021
"2023-04-13 00:00:00",914119,3388
"2023-04-12 00:00:00",910731,3385
"2023-04-11 00:00:00",907346,2869
"2023-04-10 00:00:00",904477,2819
"2023-04-09 00:00:00",901658,3039
"2023-04-08 00:00:00",898619,3143
"2023-04-07 00:00:00",895476,3340
"2023-04-06 00:00:00",892136,3664
"2023-04-05 00:00:00",888472,3571
"2023-04-04 00:00:00",884901,2586
"2023-04-03 00:00:00",882315,2669
"2023-04-02 00:00:00",879646,3070
"2023-04-01 00:00:00",876576,3437
"2023-03-31 00:00:00",873139,3326
"2023-03-30 00:00:00",869813,3160
"2023-03-29 00:00:00",866653,3503
"2023-03-28 00:00:00",863150,2973
"2023-03-27 00:00:00",860177,2917
"2023-03-26 00:00:00",857260,3285
"2023-03-25 00:00:00",853975,3445
"2023-03-24 00:00:00",850530,3448
"2023-03-23 00:00:00",847082,3810
"2023-03-22 00:00:00",843272,3995
"2023-03-21 00:00:00",839277,3295
"2023-03-20 00:00:00",835982,3200
"2023-03-19 00:00:00",832782,3650
"2023-03-18 00:00:00",829132,3662
"2023-03-17 00:00:00",825470,3889
"2023-03-16 00:00:00",821581,4138
"2023-03-15 00:00:00",817443,4494
"2023-03-14 00:00:00",812949,3067
"2023-03-13 00:00:00",809882,3079
"2023-03-12 00:00:00",806803,3494
"2023-03-11 00:00:00",803309,3710
"2023-03-10 00:00:00",799599,3612
"2023-03-09 00:00:00",795987,3644
"2023-03-08 00:00:00",792343,3728
"2023-03-07 00:00:00",788615,3091
"2023-03-06 00:00:00",785524,3341
"2023-03-05 00:00:00",782183,4026
"2023-03-04 00:00:00",778157,4213
"2023-03-03 00:00:00",773944,4115
"2023-03-02 00:00:00",769829,4646
"2023-03-01 00:00:00",765183,5559
"2023-02-28 00:00:00",759624,3816
