"DateTime","Spotify Streams","Change"
"2023-05-09 00:00:00",1271000,1322
"2023-05-08 00:00:00",1269679,1322
"2023-05-07 00:00:00",1268357,1425
"2023-05-06 00:00:00",1266932,1635
"2023-05-05 00:00:00",1265297,1488
"2023-05-04 00:00:00",1263809,0
"2023-05-03 00:00:00",1263809,3135
"2023-05-02 00:00:00",1260674,1365
"2023-05-01 00:00:00",1259309,1529
"2023-04-30 00:00:00",1257780,1646
"2023-04-29 00:00:00",1256134,1646
"2023-04-28 00:00:00",1254488,1646
"2023-04-27 00:00:00",1252842,1608
"2023-04-26 00:00:00",1251234,1590
"2023-04-25 00:00:00",1249644,1401
"2023-04-24 00:00:00",1248243,1704
"2023-04-23 00:00:00",1246539,1633
"2023-04-22 00:00:00",1244906,1663
"2023-04-21 00:00:00",1243243,1675
"2023-04-20 00:00:00",1241568,1573
"2023-04-19 00:00:00",1239995,1600
"2023-04-18 00:00:00",1238395,705
"2023-04-17 00:00:00",1237690,705
"2023-04-16 00:00:00",1236985,3138
"2023-04-15 00:00:00",1233847,826
"2023-04-14 00:00:00",1233021,826
"2023-04-13 00:00:00",1232195,3320
"2023-04-12 00:00:00",1228875,1534
"2023-04-11 00:00:00",1227341,1363
"2023-04-10 00:00:00",1225978,1569
"2023-04-09 00:00:00",1224409,1635
"2023-04-08 00:00:00",1222774,1687
"2023-04-07 00:00:00",1221087,0
"2023-04-06 00:00:00",1221087,3220
"2023-04-05 00:00:00",1217867,1583
"2023-04-04 00:00:00",1216284,0
"2023-04-03 00:00:00",1216284,2830
"2023-04-02 00:00:00",1213454,0
"2023-04-01 00:00:00",1213454,3452
"2023-03-31 00:00:00",1210002,1637
"2023-03-30 00:00:00",1208365,1767
"2023-03-29 00:00:00",1206598,1723
"2023-03-28 00:00:00",1204875,1596
"2023-03-27 00:00:00",1203279,1602
"2023-03-26 00:00:00",1201677,1749
"2023-03-25 00:00:00",1199928,1783
"2023-03-24 00:00:00",1198145,1738
"2023-03-23 00:00:00",1196407,1793
"2023-03-22 00:00:00",1194614,1701
"2023-03-21 00:00:00",1192913,1596
"2023-03-20 00:00:00",1191317,1692
"2023-03-19 00:00:00",1189625,1844
"2023-03-18 00:00:00",1187781,0
"2023-03-17 00:00:00",1187781,3480
"2023-03-16 00:00:00",1184301,1742
"2023-03-15 00:00:00",1182559,0
"2023-03-14 00:00:00",1182559,3306
"2023-03-13 00:00:00",1179253,1757
"2023-03-12 00:00:00",1177496,1882
"2023-03-11 00:00:00",1175614,1929
"2023-03-10 00:00:00",1173685,0
"2023-03-09 00:00:00",1173685,3829
"2023-03-08 00:00:00",1169856,1831
"2023-03-07 00:00:00",1168025,1599
"2023-03-06 00:00:00",1166426,1710
"2023-03-05 00:00:00",1164716,1905
"2023-03-04 00:00:00",1162811,1899
"2023-03-03 00:00:00",1160912,1790
"2023-03-02 00:00:00",1159122,1761
"2023-03-01 00:00:00",1157361,1904
"2023-02-28 00:00:00",1155457,1645
"2023-02-27 00:00:00",1153812,1735
"2023-02-26 00:00:00",1152077,1959
"2023-02-25 00:00:00",1150118,1914
"2023-02-24 00:00:00",1148204,0
"2023-02-23 00:00:00",1148204,3961
"2023-02-22 00:00:00",1144243,1873
"2023-02-21 00:00:00",1142370,1809
"2023-02-20 00:00:00",1140561,1862
"2023-02-19 00:00:00",1138699,0
"2023-02-18 00:00:00",1138699,3899
"2023-02-17 00:00:00",1134800,2045
"2023-02-16 00:00:00",1132755,0
"2023-02-15 00:00:00",1132755,3727
"2023-02-14 00:00:00",1129028,1994
"2023-02-13 00:00:00",1127034,1883
"2023-02-12 00:00:00",1125151,2083
"2023-02-11 00:00:00",1123068,1980
"2023-02-10 00:00:00",1121088,0
"2023-02-09 00:00:00",1121088,4289
"2023-02-08 00:00:00",1116799,2140
"2023-02-07 00:00:00",1114659,0
"2023-02-06 00:00:00",1114659,4248
"2023-02-05 00:00:00",1110411,2435
"2023-02-04 00:00:00",1107976,2443
"2023-02-03 00:00:00",1105533,2420
"2023-02-02 00:00:00",1103113,2345
"2023-02-01 00:00:00",1100768,2432
"2023-01-31 00:00:00",1098336,2383
"2023-01-30 00:00:00",1095953,2653
"2023-01-29 00:00:00",1093300,3208
"2023-01-28 00:00:00",1090092,2923
"2023-01-27 00:00:00",1087169,2469
"2023-01-26 00:00:00",1084700,2004
"2023-01-25 00:00:00",1082696,1842
"2023-01-24 00:00:00",1080854,1777
"2023-01-23 00:00:00",1079077,1872
"2023-01-22 00:00:00",1077205,0
"2023-01-21 00:00:00",1077205,3976
"2023-01-20 00:00:00",1073229,0
"2023-01-19 00:00:00",1073229,4068
"2023-01-18 00:00:00",1069161,1875
"2023-01-17 00:00:00",1067286,1744
"2023-01-16 00:00:00",1065542,1791
"2023-01-15 00:00:00",1063751,2007
"2023-01-14 00:00:00",1061744,2178
"2023-01-13 00:00:00",1059566,2059
"2023-01-12 00:00:00",1057507,2023
"2023-01-11 00:00:00",1055484,2101
"2023-01-10 00:00:00",1053383,1849
"2023-01-09 00:00:00",1051534,1960
"2023-01-08 00:00:00",1049574,2152
"2023-01-07 00:00:00",1047422,2036
"2023-01-06 00:00:00",1045386,2053
"2023-01-05 00:00:00",1043333,2055
"2023-01-04 00:00:00",1041278,1866
"2023-01-03 00:00:00",1039412,1706
"2023-01-02 00:00:00",1037706,1971
"2023-01-01 00:00:00",1035735,2072
"2022-12-31 00:00:00",1033663,1956
"2022-12-30 00:00:00",1031707,2120
"2022-12-29 00:00:00",1029587,2118
"2022-12-28 00:00:00",1027469,2077
"2022-12-27 00:00:00",1025392,1711
"2022-12-26 00:00:00",1023681,1928
"2022-12-25 00:00:00",1021753,2155
"2022-12-24 00:00:00",1019598,2216
"2022-12-23 00:00:00",1017382,2088
"2022-12-22 00:00:00",1015294,0
"2022-12-21 00:00:00",1015294,4464
"2022-12-20 00:00:00",1010830,1945
"2022-12-19 00:00:00",1008885,2256
"2022-12-18 00:00:00",1006629,2429
"2022-12-17 00:00:00",1004200,2467
"2022-12-16 00:00:00",1001733,2447
"2022-12-15 00:00:00",999286,2539
"2022-12-14 00:00:00",996747,2463
"2022-12-13 00:00:00",994284,2075
"2022-12-12 00:00:00",992209,2361
"2022-12-11 00:00:00",989848,2421
"2022-12-10 00:00:00",987427,2517
"2022-12-09 00:00:00",984910,2457
"2022-12-08 00:00:00",982453,2315
"2022-12-07 00:00:00",980138,2213
"2022-12-06 00:00:00",977925,2377
"2022-12-05 00:00:00",975548,2377
"2022-12-04 00:00:00",973170,2377
"2022-12-03 00:00:00",970793,2377
"2022-12-02 00:00:00",968415,2377
"2022-12-01 00:00:00",966038,2397
"2022-11-30 00:00:00",963641,2295
"2022-11-29 00:00:00",961346,1897
"2022-11-28 00:00:00",959449,2047
"2022-11-27 00:00:00",957402,2137
"2022-11-26 00:00:00",955265,2109
"2022-11-25 00:00:00",953156,2233
"2022-11-24 00:00:00",950923,2242
"2022-11-23 00:00:00",948681,2306
"2022-11-22 00:00:00",946375,1937
"2022-11-21 00:00:00",944438,2173
"2022-11-20 00:00:00",942265,2171
"2022-11-19 00:00:00",940094,2342
"2022-11-18 00:00:00",937752,2466
"2022-11-17 00:00:00",935286,2436
"2022-11-16 00:00:00",932850,2376
"2022-11-15 00:00:00",930474,2105
"2022-11-14 00:00:00",928369,2232
"2022-11-13 00:00:00",926137,2525
"2022-11-12 00:00:00",923612,2502
"2022-11-11 00:00:00",921110,2447
"2022-11-10 00:00:00",918663,2512
"2022-11-09 00:00:00",916151,2411
"2022-11-08 00:00:00",913740,2093
"2022-11-07 00:00:00",911647,2146
"2022-11-06 00:00:00",909501,2246
"2022-11-05 00:00:00",907255,2478
"2022-11-04 00:00:00",904777,2512
"2022-11-03 00:00:00",902265,2463
"2022-11-02 00:00:00",899802,2679
"2022-11-01 00:00:00",897123,2347
"2022-10-31 00:00:00",894776,2475
"2022-10-30 00:00:00",892301,2898
"2022-10-29 00:00:00",889403,2975
"2022-10-28 00:00:00",886428,2986
"2022-10-27 00:00:00",883442,3156
"2022-10-26 00:00:00",880286,3013
"2022-10-25 00:00:00",877273,2602
"2022-10-24 00:00:00",874671,2806
"2022-10-23 00:00:00",871865,3054
"2022-10-22 00:00:00",868811,3312
"2022-10-21 00:00:00",865499,3181
"2022-10-20 00:00:00",862318,3082
"2022-10-19 00:00:00",859236,2974
"2022-10-18 00:00:00",856262,2777
"2022-10-17 00:00:00",853485,2880
"2022-10-16 00:00:00",850605,3166
"2022-10-15 00:00:00",847439,3273
"2022-10-14 00:00:00",844166,3148
"2022-10-13 00:00:00",841018,3135
"2022-10-12 00:00:00",837883,3006
"2022-10-11 00:00:00",834877,2731
"2022-10-10 00:00:00",832146,2883
"2022-10-09 00:00:00",829263,3264
"2022-10-08 00:00:00",825999,3378
"2022-10-07 00:00:00",822621,3483
"2022-10-06 00:00:00",819138,3760
"2022-10-05 00:00:00",815378,3294
"2022-10-04 00:00:00",812084,2714
"2022-10-03 00:00:00",809370,2953
"2022-10-02 00:00:00",806417,3399
"2022-10-01 00:00:00",803018,3369
"2022-09-30 00:00:00",799649,3278
"2022-09-29 00:00:00",796371,3380
"2022-09-28 00:00:00",792991,3320
"2022-09-27 00:00:00",789671,2983
"2022-09-26 00:00:00",786688,3397
"2022-09-25 00:00:00",783291,3651
"2022-09-24 00:00:00",779640,0
"2022-09-23 00:00:00",779640,7466
"2022-09-22 00:00:00",772174,3751
"2022-09-21 00:00:00",768423,3389
"2022-09-20 00:00:00",765034,3025
"2022-09-19 00:00:00",762009,3393
"2022-09-18 00:00:00",758616,0
"2022-09-17 00:00:00",758616,7765
"2022-09-16 00:00:00",750851,4047
"2022-09-15 00:00:00",746804,3979
"2022-09-14 00:00:00",742825,4046
"2022-09-13 00:00:00",738779,3382
"2022-09-12 00:00:00",735397,3641
"2022-09-11 00:00:00",731756,3932
"2022-09-10 00:00:00",727824,4125
"2022-09-09 00:00:00",723699,4338
"2022-09-08 00:00:00",719361,8550
"2022-09-07 00:00:00",710811,0
"2022-09-06 00:00:00",710811,4095
"2022-09-05 00:00:00",706716,4147
"2022-09-04 00:00:00",702569,4919
"2022-09-03 00:00:00",697650,4375
"2022-09-02 00:00:00",693275,4593
"2022-09-01 00:00:00",688682,4099
"2022-08-31 00:00:00",684583,3800
"2022-08-30 00:00:00",680783,3385
"2022-08-29 00:00:00",677398,3475
"2022-08-28 00:00:00",673923,3893
"2022-08-27 00:00:00",670030,4068
"2022-08-26 00:00:00",665962,4039
"2022-08-25 00:00:00",661923,4107
"2022-08-24 00:00:00",657816,4170
"2022-08-23 00:00:00",653646,4214
"2022-08-22 00:00:00",649432,4214
"2022-08-21 00:00:00",645217,4214
"2022-08-20 00:00:00",641003,4214
"2022-08-19 00:00:00",636789,4214
"2022-08-18 00:00:00",632574,4214
"2022-08-17 00:00:00",628360,4245
"2022-08-16 00:00:00",624115,3912
"2022-08-15 00:00:00",620203,4510
"2022-08-14 00:00:00",615693,4670
"2022-08-13 00:00:00",611023,4878
"2022-08-12 00:00:00",606145,4726
"2022-08-11 00:00:00",601419,4742
"2022-08-10 00:00:00",596677,4662
"2022-08-09 00:00:00",592015,4320
"2022-08-08 00:00:00",587695,4773
"2022-08-07 00:00:00",582922,4697
"2022-08-06 00:00:00",578225,4866
"2022-08-05 00:00:00",573359,4929
"2022-08-04 00:00:00",568430,5129
"2022-08-03 00:00:00",563301,5109
"2022-08-02 00:00:00",558192,4847
"2022-08-01 00:00:00",553345,5407
"2022-07-31 00:00:00",547938,5654
"2022-07-30 00:00:00",542284,0
"2022-07-29 00:00:00",542284,5780
"2022-07-28 00:00:00",536504,5894
"2022-07-27 00:00:00",530610,6071
"2022-07-26 00:00:00",524539,5706
"2022-07-25 00:00:00",518833,5473
"2022-07-24 00:00:00",513360,12477
"2022-07-23 00:00:00",500883,7006
"2022-07-22 00:00:00",493877,0
"2022-07-21 00:00:00",493877,7001
"2022-07-20 00:00:00",486876,7029
"2022-07-19 00:00:00",479847,14083
"2022-07-18 00:00:00",465764,0
"2022-07-17 00:00:00",465764,7528
"2022-07-16 00:00:00",458236,7866
"2022-07-15 00:00:00",450370,16959
"2022-07-14 00:00:00",433411,0
"2022-07-13 00:00:00",433411,18020
"2022-07-12 00:00:00",415391,9027
"2022-07-11 00:00:00",406364,9559
"2022-07-10 00:00:00",396805,10488
"2022-07-09 00:00:00",386317,11480
"2022-07-08 00:00:00",374837,0
"2022-07-07 00:00:00",374837,24714
"2022-07-06 00:00:00",350123,0
"2022-07-05 00:00:00",350123,13288
"2022-07-04 00:00:00",336835,13769
"2022-07-03 00:00:00",323066,35522
"2022-07-02 00:00:00",287544,23070
"2022-07-01 00:00:00",264474,26207
"2022-06-30 00:00:00",238267,31582
"2022-06-29 00:00:00",206685,0
"2022-06-28 00:00:00",206685,37151
"2022-06-27 00:00:00",169534,88615
"2022-06-26 00:00:00",80919,79367
