Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 25, 2022",666,"1,167,641",1,"1,133,443"
"Jun 26, 2022",763,"1,189,763",1,"1,133,602"
"Jun 27, 2022",835,"1,192,194",1,"1,133,722"
"Jun 28, 2022",892,"1,195,045",1,"1,133,879"
"Jun 29, 2022",934,"1,195,564",1,"1,134,063"
"Jun 30, 2022",970,"1,196,830",1,"1,134,310"
"Jul 01, 2022",997,"1,198,551",1,"1,134,898"
"Jul 02, 2022","1,018","1,202,009",1,"1,135,598"
"Jul 03, 2022","1,028","1,192,836",1,"1,136,545"
"Jul 04, 2022","1,055","1,196,504",1,"1,137,465"
"Jul 05, 2022","1,068","1,203,983",1,"1,138,422"
"Jul 06, 2022","1,082","1,255,070",1,"1,139,373"
"Jul 07, 2022","1,093","1,256,116",1,"1,140,309"
"Jul 08, 2022","1,105","1,257,875",1,"1,141,887"
"Jul 09, 2022","1,122","1,260,552",1,"1,144,144"
"Jul 10, 2022","1,124","1,262,457",1,"1,146,030"
"Jul 11, 2022","1,139","1,264,646",1,"1,147,858"
"Jul 12, 2022","1,145","1,265,316",1,"1,149,453"
"Jul 13, 2022","1,154","1,266,931",1,"1,151,013"
"Jul 14, 2022","1,159","1,276,304",1,"1,152,492"
"Jul 15, 2022","1,168","1,278,399",1,"1,153,899"
"Jul 16, 2022","1,172","1,279,289",1,"1,155,350"
"Jul 17, 2022","1,183","1,280,878",1,"1,156,760"
"Jul 18, 2022","1,196","1,283,039",1,"1,158,557"
"Jul 19, 2022","1,202","1,285,121",1,"1,160,578"
"Jul 20, 2022","1,209","1,286,986",1,"1,162,316"
"Jul 21, 2022","1,217","1,288,797",1,"1,163,690"
"Jul 22, 2022","1,221","1,290,414",1,"1,165,185"
"Jul 23, 2022","1,227","1,292,065",1,"1,166,687"
"Jul 24, 2022","1,235","1,293,787",1,"1,168,329"
"Jul 25, 2022","1,236","1,295,664",1,"1,170,062"
"Jul 26, 2022","1,243","1,297,511",1,"1,171,765"
"Jul 27, 2022","1,245","1,296,365",1,"1,173,512"
"Jul 28, 2022","1,247","1,298,365",1,"1,175,362"
"Jul 29, 2022","1,253","1,301,047",1,"1,177,199"
"Jul 30, 2022","1,258","1,303,153",1,"1,179,110"
"Jul 31, 2022","1,263","1,305,075",1,"1,180,873"
"Aug 01, 2022","1,264","1,306,949",1,"1,182,537"
"Aug 02, 2022","1,270","1,308,638",1,"1,184,131"
"Aug 03, 2022","1,273","1,310,412",1,"1,185,799"
"Aug 04, 2022","1,283","1,312,307",1,"1,187,447"
"Aug 05, 2022","1,284","1,314,262",1,"1,189,041"
"Aug 06, 2022","1,286","1,315,872",1,"1,190,780"
"Aug 07, 2022","1,285","1,317,700",1,"1,192,331"
"Aug 08, 2022","1,287","1,319,334",1,"1,193,962"
"Aug 09, 2022","1,288","125,429",,
