Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Jun 25, 2022",628,"41,150",,
"Jun 26, 2022",722,"43,543",,
"Jun 27, 2022",789,"44,060",,
"Jun 28, 2022",833,"53,179",,
"Jun 29, 2022",879,"53,609",,
"Jun 30, 2022",907,"54,002",,
"Jul 01, 2022",929,"47,352",,
"Jul 02, 2022",948,"49,724",,
"Jul 03, 2022",958,"34,509",,
"Jul 04, 2022",976,"34,636",,
"Jul 05, 2022",984,"34,721",,
"Jul 06, 2022",995,"34,782",,
"Jul 07, 2022","1,007","34,942",,
"Jul 08, 2022","1,015","35,085",,
"Jul 09, 2022","1,021","35,121",,
"Jul 10, 2022","1,027","35,149",,
"Jul 11, 2022","1,036","35,480",,
"Jul 12, 2022","1,040","34,618",,
"Jul 13, 2022","1,051","42,974",,
"Jul 14, 2022","1,057","43,266",,
"Jul 15, 2022","1,062","43,364",,
"Jul 16, 2022","1,064","42,830",,
"Jul 17, 2022","1,071","42,908",,
"Jul 18, 2022","1,072","34,589",,
"Jul 19, 2022","1,075","42,987",,
"Jul 20, 2022","1,079","43,030",,
"Jul 21, 2022","1,084","44,139",,
"Jul 22, 2022","1,089","36,136",,
"Jul 23, 2022","1,091","44,609",,
"Jul 24, 2022","1,093","44,679",,
"Jul 25, 2022","1,095","44,803",,
"Jul 26, 2022","1,098","44,881",,
"Jul 27, 2022","1,099","44,929",,
"Jul 28, 2022","1,099","45,004",,
"Jul 29, 2022","1,103","45,156",,
"Jul 30, 2022","1,104","36,711",,
"Jul 31, 2022","1,104","36,725",,
"Aug 01, 2022","1,105","36,821",,
"Aug 02, 2022","1,108","36,871",,
"Aug 03, 2022","1,112","36,965",,
"Aug 04, 2022","1,117","45,780",,
"Aug 05, 2022","1,122","46,211",,
"Aug 06, 2022","1,123","46,329",,
"Aug 07, 2022","1,124","46,425",,
"Aug 08, 2022","1,123","46,444",,
"Aug 09, 2022","1,124","46,485",,
"Aug 10, 2022","1,124","46,531",,
"Aug 11, 2022","1,126","46,603",,
"Aug 12, 2022","1,128","47,887",,
"Aug 13, 2022","1,130","39,351",,
"Aug 14, 2022","1,129","47,615",,
"Aug 15, 2022","1,135","47,738",,
"Aug 16, 2022","1,137","48,170",,
"Aug 17, 2022","1,141","48,248",,
"Aug 18, 2022","1,145","48,324",,
"Aug 19, 2022","1,145","48,408",,
"Aug 20, 2022","1,144","39,758",,
"Aug 21, 2022","1,145","39,812",,
"Aug 22, 2022","1,147","50,923",,
"Aug 23, 2022","1,147","50,986",,
"Aug 24, 2022","1,150","51,212",,
"Aug 25, 2022","1,150","51,293",,
"Aug 26, 2022","1,153","51,367",,
"Aug 27, 2022","1,152","52,268",,
"Aug 28, 2022","1,156","52,373",,
"Aug 29, 2022","1,157","43,668",,
"Aug 30, 2022","1,157","43,743",,
"Aug 31, 2022","1,158","43,785",,
"Sep 01, 2022","1,159","52,549",,
"Sep 02, 2022","1,162","52,478",,
"Sep 03, 2022","1,162","52,480",,
"Sep 04, 2022","1,161","43,790",,
"Sep 05, 2022","1,163","52,564",,
"Sep 06, 2022","1,163","52,700",,
"Sep 07, 2022","1,162","52,787",,
"Sep 08, 2022","1,164","52,898",,
"Sep 09, 2022","1,167","53,054",,
"Sep 10, 2022","1,169","53,179",,
"Sep 11, 2022","1,167","53,235",,
"Sep 12, 2022","1,169","53,301",,
"Sep 13, 2022","1,174","53,380",,
"Sep 14, 2022","1,174","44,630",,
"Sep 15, 2022","1,177","44,769",,
"Sep 16, 2022","1,178","53,637",,
"Sep 17, 2022","1,176","53,704",,
"Sep 18, 2022","1,176","53,775",,
"Sep 19, 2022","1,181","54,606",,
"Sep 20, 2022","1,179","45,808",,
"Sep 21, 2022","1,180","45,960",,
"Sep 22, 2022","1,184","54,899",,
"Sep 23, 2022","1,186","55,045",,
"Sep 24, 2022","1,189","55,154",,
