Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 24, 2022",338,"98,194",,
"Sep 25, 2022",382,"102,056",,
"Sep 26, 2022",411,"105,473",,
"Sep 27, 2022",439,"105,675",,
"Sep 28, 2022",486,"104,080",,
"Sep 29, 2022",507,"104,802",,
"Sep 30, 2022",527,"105,643",,
"Oct 01, 2022",534,"87,716",,
"Oct 02, 2022",538,"84,089",,
"Oct 03, 2022",542,"84,074",,
"Oct 04, 2022",546,"84,175",,
"Oct 05, 2022",562,"87,044",,
"Oct 06, 2022",570,"87,181",,
"Oct 07, 2022",576,"87,266",,
"Oct 08, 2022",577,"86,577",,
"Oct 09, 2022",581,"86,609",,
"Oct 10, 2022",583,"86,549",,
"Oct 11, 2022",582,"86,545",,
"Oct 12, 2022",583,"86,460",,
"Oct 13, 2022",586,"86,288",,
"Oct 14, 2022",589,"86,360",,
"Oct 15, 2022",591,"86,294",,
"Oct 16, 2022",590,"86,405",,
"Oct 17, 2022",595,"86,492",,
"Oct 18, 2022",597,"86,628",,
"Oct 19, 2022",602,"86,943",,
"Oct 20, 2022",610,"87,483",,
"Oct 21, 2022",611,"87,735",,
"Oct 22, 2022",610,"87,934",,
"Oct 23, 2022",609,"87,976",,
"Oct 24, 2022",610,"88,759",,
"Oct 25, 2022",614,"88,812",,
"Oct 26, 2022",618,"89,781",,
"Oct 27, 2022",621,"89,858",,
"Oct 28, 2022",622,"89,928",,
"Oct 29, 2022",625,"90,053",,
"Oct 30, 2022",627,"90,148",,
"Oct 31, 2022",627,"90,193",,
"Nov 01, 2022",631,"90,269",,
"Nov 02, 2022",631,"90,312",,
"Nov 03, 2022",630,"90,395",,
"Nov 04, 2022",630,"90,530",,
"Nov 05, 2022",631,"91,213",,
"Nov 06, 2022",635,"91,289",,
"Nov 07, 2022",637,"88,779",,
"Nov 08, 2022",638,"89,380",,
"Nov 09, 2022",638,"89,433",,
"Nov 10, 2022",639,"89,502",,
"Nov 11, 2022",639,"89,546",,
"Nov 12, 2022",638,"89,619",,
"Nov 13, 2022",636,"89,654",,
"Nov 14, 2022",635,"89,788",,
"Nov 15, 2022",635,"89,862",,
"Nov 16, 2022",633,"89,927",,
"Nov 17, 2022",631,"89,976",,
"Nov 18, 2022",624,"89,919",,
"Nov 19, 2022",622,"89,790",,
"Nov 20, 2022",625,"89,929",,
"Nov 21, 2022",628,"90,325",,
"Nov 22, 2022",627,"90,466",,
"Nov 23, 2022",627,"90,549",,
"Nov 24, 2022",630,"90,687",,
"Nov 25, 2022",633,"90,831",,
"Nov 26, 2022",631,"88,224",,
"Nov 27, 2022",632,"87,831",,
"Nov 28, 2022",631,"87,826",,
"Nov 29, 2022",637,"88,253",,
"Nov 30, 2022",645,"88,502",,
"Dec 01, 2022",647,"88,571",,
"Dec 02, 2022",648,"88,602",,
"Dec 03, 2022",636,"88,273",,
"Dec 04, 2022",634,"88,293",,
"Dec 05, 2022",621,"87,451",,
"Dec 06, 2022",623,"87,519",,
"Dec 07, 2022",610,"82,818",,
"Dec 08, 2022",610,"83,458",,
"Dec 09, 2022",607,"83,050",,
"Dec 10, 2022",610,"84,093",,
"Dec 11, 2022",609,"86,337",,
"Dec 12, 2022",608,"86,313",,
"Dec 13, 2022",610,"86,275",,
"Dec 14, 2022",611,"86,285",,
"Dec 15, 2022",602,"84,147",,
"Dec 16, 2022",606,"84,240",,
"Dec 17, 2022",602,"83,430",,
"Dec 18, 2022",602,"81,575",,
"Dec 19, 2022",604,"82,884",,
"Dec 20, 2022",603,"78,345",,
"Dec 21, 2022",611,"86,703",,
"Dec 22, 2022",611,"86,966",,
"Dec 23, 2022",617,"89,351",,
"Dec 24, 2022",607,"86,860",,
"Dec 25, 2022",592,"86,669",,
"Dec 26, 2022",588,"87,359",,
"Dec 27, 2022",562,"84,146",,
"Dec 28, 2022",553,"84,107",,
"Dec 29, 2022",542,"84,786",,
"Dec 30, 2022",533,"82,671",,
"Dec 31, 2022",525,"80,619",,
"Jan 01, 2023",517,"85,183",,
"Jan 02, 2023",512,"80,346",,
"Jan 03, 2023",506,"79,980",,
"Jan 04, 2023",502,"82,526",,
"Jan 05, 2023",492,"81,971",,
"Jan 06, 2023",486,"81,740",,
"Jan 07, 2023",486,"81,740",,
"Jan 08, 2023",487,"81,748",,
"Jan 09, 2023",485,"81,662",,
"Jan 10, 2023",493,"90,307",,
"Jan 11, 2023",502,"90,680",,
"Jan 12, 2023",506,"91,049",,
"Jan 13, 2023",508,"90,674",,
"Jan 14, 2023",509,"88,224",,
"Jan 15, 2023",510,"91,029",,
"Jan 16, 2023",775,"94,942",,
"Jan 17, 2023",775,"95,022",,
"Jan 18, 2023",775,"95,052",,
"Jan 19, 2023",776,"95,128",,
"Jan 20, 2023",776,"95,216",,
"Jan 21, 2023",775,"95,159",,
"Jan 22, 2023",773,"95,226",,
"Jan 23, 2023",772,"95,277",,
