"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",1078707,2481
"2023-05-13 00:00:00",1076226,2559
"2023-05-12 00:00:00",1073667,2476
"2023-05-11 00:00:00",1071191,2348
"2023-05-10 00:00:00",1068843,2054
"2023-05-09 00:00:00",1066789,2028
"2023-05-08 00:00:00",1064761,2067
"2023-05-07 00:00:00",1062694,2006
"2023-05-06 00:00:00",1060688,2006
"2023-05-05 00:00:00",1058682,2076
"2023-05-04 00:00:00",1056606,1885
"2023-05-03 00:00:00",1054721,2275
"2023-05-02 00:00:00",1052447,2275
"2023-05-01 00:00:00",1050172,2029
"2023-04-30 00:00:00",1048143,2460
"2023-04-29 00:00:00",1045683,2518
"2023-04-28 00:00:00",1043165,1687
"2023-04-27 00:00:00",1041478,1687
"2023-04-26 00:00:00",1039790,1687
"2023-04-25 00:00:00",1038103,4701
"2023-04-24 00:00:00",1033402,0
"2023-04-23 00:00:00",1033402,4692
"2023-04-22 00:00:00",1028710,2445
"2023-04-21 00:00:00",1026265,2667
"2023-04-20 00:00:00",1023598,2667
"2023-04-19 00:00:00",1020931,2602
"2023-04-18 00:00:00",1018330,2602
"2023-04-17 00:00:00",1015728,1904
"2023-04-16 00:00:00",1013824,2586
"2023-04-15 00:00:00",1011238,2556
"2023-04-14 00:00:00",1008682,2586
"2023-04-13 00:00:00",1006096,2967
"2023-04-12 00:00:00",1003129,2114
"2023-04-11 00:00:00",1001015,2020
"2023-04-10 00:00:00",998995,1834
"2023-04-09 00:00:00",997161,1678
"2023-04-08 00:00:00",995483,1952
"2023-04-07 00:00:00",993531,2568
"2023-04-06 00:00:00",990963,3663
"2023-04-05 00:00:00",987300,3252
"2023-04-04 00:00:00",984048,3214
"2023-04-03 00:00:00",980834,3381
"2023-04-02 00:00:00",977453,3283
"2023-04-01 00:00:00",974170,2873
"2023-03-31 00:00:00",971297,2925
"2023-03-30 00:00:00",968372,3063
"2023-03-29 00:00:00",965309,3027
"2023-03-28 00:00:00",962282,3166
"2023-03-27 00:00:00",959116,3100
"2023-03-26 00:00:00",956016,2897
"2023-03-25 00:00:00",953119,3063
"2023-03-24 00:00:00",950056,3350
"2023-03-23 00:00:00",946706,0
"2023-03-22 00:00:00",946706,6247
"2023-03-21 00:00:00",940459,3029
"2023-03-20 00:00:00",937430,3400
"2023-03-19 00:00:00",934030,3179
"2023-03-18 00:00:00",930851,2550
"2023-03-17 00:00:00",928301,2819
"2023-03-16 00:00:00",925482,2646
"2023-03-15 00:00:00",922836,2785
"2023-03-14 00:00:00",920051,2997
"2023-03-13 00:00:00",917054,2753
"2023-03-12 00:00:00",914301,2718
"2023-03-11 00:00:00",911583,3039
"2023-03-10 00:00:00",908544,2686
"2023-03-09 00:00:00",905858,2790
"2023-03-08 00:00:00",903068,3094
"2023-03-07 00:00:00",899974,2921
"2023-03-06 00:00:00",897053,2851
"2023-03-05 00:00:00",894202,2987
"2023-03-04 00:00:00",891215,2968
"2023-03-03 00:00:00",888247,0
