Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 24, 2022",375,"97,654",,
"Sep 25, 2022",414,"98,403",,
"Sep 26, 2022",450,"192,626",,
"Sep 27, 2022",482,"194,924",,
"Sep 28, 2022",529,"101,346",,
"Sep 29, 2022",557,"101,626",,
"Sep 30, 2022",578,"102,273",,
"Oct 01, 2022",583,"83,817",,
"Oct 02, 2022",592,"83,953",,
"Oct 03, 2022",602,"83,997",,
"Oct 04, 2022",607,"84,152",,
"Oct 05, 2022",622,"87,371",,
"Oct 06, 2022",631,"87,489",,
"Oct 07, 2022",635,"87,583",,
"Oct 08, 2022",636,"86,943",,
"Oct 09, 2022",636,"86,945",,
"Oct 10, 2022",638,"86,879",,
"Oct 11, 2022",638,"86,919",,
"Oct 12, 2022",641,"86,983",,
"Oct 13, 2022",645,"86,766",,
"Oct 14, 2022",647,"85,629",,
"Oct 15, 2022",649,"85,555",,
"Oct 16, 2022",650,"85,598",,
"Oct 17, 2022",653,"85,678",,
"Oct 18, 2022",654,"85,769",,
"Oct 19, 2022",656,"86,049",,
"Oct 20, 2022",660,"86,567",,
"Oct 21, 2022",662,"86,781",,
"Oct 22, 2022",664,"86,878",,
"Oct 23, 2022",665,"86,978",,
"Oct 24, 2022",666,"87,020",,
"Oct 25, 2022",671,"87,089",,
"Oct 26, 2022",673,"87,178",,
"Oct 27, 2022",674,"87,249",,
"Oct 28, 2022",675,"87,294",,
"Oct 29, 2022",677,"87,402",,
"Oct 30, 2022",680,"87,493",,
"Oct 31, 2022",677,"87,498",,
"Nov 01, 2022",673,"87,538",,
"Nov 02, 2022",674,"87,580",,
"Nov 03, 2022",678,"87,655",,
"Nov 04, 2022",678,"87,763",,
"Nov 05, 2022",679,"87,831",,
"Nov 06, 2022",681,"87,884",,
"Nov 07, 2022",682,"87,900",,
"Nov 08, 2022",684,"88,480",,
"Nov 09, 2022",682,"88,513",,
"Nov 10, 2022",679,"88,552",,
"Nov 11, 2022",681,"88,616",,
"Nov 12, 2022",679,"88,625",,
"Nov 13, 2022",678,"88,659",,
"Nov 14, 2022",676,"88,740",,
"Nov 15, 2022",677,"88,820",,
"Nov 16, 2022",674,"88,796",,
"Nov 17, 2022",671,"88,828",,
"Nov 18, 2022",660,"88,527",,
"Nov 19, 2022",660,"88,481",,
"Nov 20, 2022",663,"88,784",,
"Nov 21, 2022",667,"88,882",,
"Nov 22, 2022",667,"88,872",,
"Nov 23, 2022",665,"88,884",,
"Nov 24, 2022",664,"88,965",,
"Nov 25, 2022",667,"89,114",,
"Nov 26, 2022",666,"89,079",,
"Nov 27, 2022",670,"88,728",,
"Nov 28, 2022",669,"88,724",,
"Nov 29, 2022",675,"89,201",,
"Nov 30, 2022",681,"89,260",,
"Dec 01, 2022",685,"89,332",,
"Dec 02, 2022",687,"89,380",,
"Dec 03, 2022",673,"87,068",,
"Dec 04, 2022",670,"88,995",,
"Dec 05, 2022",653,"88,121",,
"Dec 06, 2022",651,"88,144",,
"Dec 07, 2022",642,"85,272",,
"Dec 08, 2022",641,"84,004",,
"Dec 09, 2022",636,"83,592",,
"Dec 10, 2022",642,"92,871",,
"Dec 11, 2022",637,"92,828",,
"Dec 12, 2022",636,"92,882",,
"Dec 13, 2022",637,"92,830",,
"Dec 14, 2022",635,"92,626",,
"Dec 15, 2022",630,"89,787",,
"Dec 16, 2022",634,"89,871",,
"Dec 17, 2022",633,"89,727",,
"Dec 18, 2022",633,"79,551",,
"Dec 19, 2022",639,"92,932",,
"Dec 20, 2022",636,"88,338",,
"Dec 21, 2022",643,"96,514",,
"Dec 22, 2022",643,"95,121",,
"Dec 23, 2022",644,"93,382",,
"Dec 24, 2022",632,"92,370",,
"Dec 25, 2022",614,"93,752",,
"Dec 26, 2022",606,"89,974",,
"Dec 27, 2022",586,"90,910",,
"Dec 28, 2022",569,"90,598",,
"Dec 29, 2022",557,"90,712",,
"Dec 30, 2022",548,"86,790",,
"Dec 31, 2022",540,"86,871",,
"Jan 01, 2023",534,"89,525",,
"Jan 02, 2023",529,"90,981",,
"Jan 03, 2023",521,"80,491",,
"Jan 04, 2023",510,"78,627",,
"Jan 05, 2023",498,"80,271",,
"Jan 06, 2023",488,"80,026",,
"Jan 07, 2023",487,"80,023",,
"Jan 08, 2023",488,"80,026",,
"Jan 09, 2023",486,"79,898",,
"Jan 10, 2023",491,"94,297",,
"Jan 11, 2023",503,"96,876",,
"Jan 12, 2023",508,"97,150",,
"Jan 13, 2023",510,"96,807",,
"Jan 14, 2023",511,"94,124",,
"Jan 15, 2023",516,"97,140",,
"Jan 16, 2023",809,"100,582",,
"Jan 17, 2023",809,"100,644",,
"Jan 18, 2023",809,"100,678",,
"Jan 19, 2023",808,"100,735",,
"Jan 20, 2023",808,"100,821",,
"Jan 21, 2023",806,"100,733",,
"Jan 22, 2023",805,"100,788",,
"Jan 23, 2023",802,"100,793",,
"Jan 24, 2023",803,"101,055",,
"Jan 25, 2023",803,"101,096",,
"Jan 26, 2023",803,"101,201",,
"Jan 27, 2023",803,"101,251",,
"Jan 28, 2023",802,"101,245",,
"Jan 29, 2023",802,"101,356",,
"Jan 30, 2023",803,"101,442",,
"Jan 31, 2023",804,"101,512",,
"Feb 01, 2023",804,"101,574",,
"Feb 02, 2023",803,"101,601",,
"Feb 03, 2023",803,"101,641",,
"Feb 04, 2023",802,"101,655",,
"Feb 05, 2023",802,"101,661",,
"Feb 06, 2023",802,"101,687",,
"Feb 07, 2023",802,"101,716",,
"Feb 08, 2023",801,"101,719",,
"Feb 09, 2023",801,"101,749",,
"Feb 10, 2023",801,"101,826",,
"Feb 11, 2023",801,"101,843",,
"Feb 12, 2023",800,"101,859",,
"Feb 13, 2023",799,"101,890",,
"Feb 14, 2023",799,"101,913",,
"Feb 15, 2023",799,"101,948",,
"Feb 16, 2023",799,"101,974",,
"Feb 17, 2023",798,"101,966",,
"Feb 18, 2023",798,"101,976",,
"Feb 19, 2023",798,"102,049",,
"Feb 20, 2023",797,"102,039",,
"Feb 21, 2023",796,"102,056",,
"Feb 22, 2023",796,"102,079",,
"Feb 23, 2023",796,"102,081",,
"Feb 24, 2023",796,"102,089",,
"Feb 25, 2023",795,"102,121",,
"Feb 26, 2023",795,"102,285",,
"Feb 27, 2023",795,"102,299",,
"Mar 01, 2023",795,"102,284",,
"Mar 02, 2023",796,"102,293",,
"Mar 03, 2023",797,"102,342",,
"Mar 04, 2023",798,"102,358",,
"Mar 05, 2023",798,"102,355",,
"Mar 06, 2023",798,"102,412",,
"Mar 07, 2023",799,"102,420",,
"Mar 08, 2023",800,"102,426",,
"Mar 09, 2023",801,"102,495",,
"Mar 10, 2023",799,"102,516",,
"Mar 11, 2023",800,"102,527",,
"Mar 12, 2023",801,"102,590",,
"Mar 13, 2023",801,"102,627",,
"Mar 14, 2023",801,"102,648",,
"Mar 15, 2023",803,"102,702",,
"Mar 16, 2023",803,"102,717",,
"Mar 17, 2023",802,"102,746",,
"Mar 18, 2023",802,"102,816",,
"Mar 19, 2023",801,"102,838",,
"Mar 20, 2023",800,"102,843",,
"Mar 21, 2023",800,"102,876",,
"Mar 22, 2023",800,"102,899",,
"Mar 23, 2023",801,"102,930",,
"Mar 24, 2023",802,"102,961",,
"Mar 25, 2023",802,"102,955",,
"Mar 26, 2023",800,"102,940",,
"Mar 27, 2023",799,"102,952",,
"Mar 28, 2023",799,"102,955",,
"Mar 29, 2023",801,"102,981",,
"Mar 30, 2023",800,"103,023",,
"Mar 31, 2023",800,"103,049",,
"Apr 01, 2023",800,"103,097",,
