"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",801484,962
"2023-05-13 00:00:00",800522,1073
"2023-05-12 00:00:00",799449,1014
"2023-05-11 00:00:00",798435,1102
"2023-05-10 00:00:00",797333,1013
"2023-05-09 00:00:00",796320,1011
"2023-05-08 00:00:00",795309,1034
"2023-05-07 00:00:00",794275,1086
"2023-05-06 00:00:00",793189,1086
"2023-05-05 00:00:00",792103,1007
"2023-05-04 00:00:00",791096,980
"2023-05-03 00:00:00",790116,942
"2023-05-02 00:00:00",789174,942
"2023-05-01 00:00:00",788232,937
"2023-04-30 00:00:00",787295,996
"2023-04-29 00:00:00",786299,959
"2023-04-28 00:00:00",785340,645
"2023-04-27 00:00:00",784695,645
"2023-04-26 00:00:00",784049,645
"2023-04-25 00:00:00",783404,1780
"2023-04-24 00:00:00",781624,0
"2023-04-23 00:00:00",781624,1835
"2023-04-22 00:00:00",779789,1012
"2023-04-21 00:00:00",778777,967
"2023-04-20 00:00:00",777810,967
"2023-04-19 00:00:00",776843,917
"2023-04-18 00:00:00",775927,917
"2023-04-17 00:00:00",775010,939
"2023-04-16 00:00:00",774071,1100
"2023-04-15 00:00:00",772971,1058
"2023-04-14 00:00:00",771913,998
"2023-04-13 00:00:00",770915,1075
"2023-04-12 00:00:00",769840,1039
"2023-04-11 00:00:00",768801,910
"2023-04-10 00:00:00",767891,992
"2023-04-09 00:00:00",766899,1085
"2023-04-08 00:00:00",765814,1167
"2023-04-07 00:00:00",764647,1138
"2023-04-06 00:00:00",763509,1367
"2023-04-05 00:00:00",762142,1116
"2023-04-04 00:00:00",761026,1054
"2023-04-03 00:00:00",759972,1115
"2023-04-02 00:00:00",758857,1103
"2023-04-01 00:00:00",757754,1132
"2023-03-31 00:00:00",756622,1130
"2023-03-30 00:00:00",755492,1106
"2023-03-29 00:00:00",754386,1038
"2023-03-28 00:00:00",753348,959
"2023-03-27 00:00:00",752389,1212
"2023-03-26 00:00:00",751177,1366
"2023-03-25 00:00:00",749811,1705
"2023-03-24 00:00:00",748106,1225
"2023-03-23 00:00:00",746881,0
"2023-03-22 00:00:00",746881,2190
"2023-03-21 00:00:00",744691,964
"2023-03-20 00:00:00",743727,1188
"2023-03-19 00:00:00",742539,1291
"2023-03-18 00:00:00",741248,1245
"2023-03-17 00:00:00",740003,1041
"2023-03-16 00:00:00",738962,989
"2023-03-15 00:00:00",737973,963
"2023-03-14 00:00:00",737010,892
"2023-03-13 00:00:00",736118,965
"2023-03-12 00:00:00",735153,1092
"2023-03-11 00:00:00",734061,1067
"2023-03-10 00:00:00",732994,1084
"2023-03-09 00:00:00",731910,1035
"2023-03-08 00:00:00",730875,981
"2023-03-07 00:00:00",729894,795
"2023-03-06 00:00:00",729099,946
"2023-03-05 00:00:00",728153,1046
"2023-03-04 00:00:00",727107,1098
"2023-03-03 00:00:00",726009,0
