"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",1947444,4254
"2023-05-13 00:00:00",1943190,4201
"2023-05-12 00:00:00",1938989,4127
"2023-05-11 00:00:00",1934862,3937
"2023-05-10 00:00:00",1930925,3692
"2023-05-09 00:00:00",1927233,3309
"2023-05-08 00:00:00",1923924,3368
"2023-05-07 00:00:00",1920556,3647
"2023-05-06 00:00:00",1916910,3647
"2023-05-05 00:00:00",1913263,3725
"2023-05-04 00:00:00",1909538,3337
"2023-05-03 00:00:00",1906201,3536
"2023-05-02 00:00:00",1902666,3536
"2023-05-01 00:00:00",1899130,3176
"2023-04-30 00:00:00",1895954,3743
"2023-04-29 00:00:00",1892211,3635
"2023-04-28 00:00:00",1888576,2433
"2023-04-27 00:00:00",1886143,2433
"2023-04-26 00:00:00",1883711,2433
"2023-04-25 00:00:00",1881278,6499
"2023-04-24 00:00:00",1874779,0
"2023-04-23 00:00:00",1874779,6960
"2023-04-22 00:00:00",1867819,3665
"2023-04-21 00:00:00",1864154,3754
"2023-04-20 00:00:00",1860401,3754
"2023-04-19 00:00:00",1856647,3639
"2023-04-18 00:00:00",1853009,3639
"2023-04-17 00:00:00",1849370,3017
"2023-04-16 00:00:00",1846353,3913
"2023-04-15 00:00:00",1842440,3827
"2023-04-14 00:00:00",1838613,3951
"2023-04-13 00:00:00",1834662,4178
"2023-04-12 00:00:00",1830484,3445
"2023-04-11 00:00:00",1827039,3136
"2023-04-10 00:00:00",1823903,3147
"2023-04-09 00:00:00",1820756,3028
"2023-04-08 00:00:00",1817728,3267
"2023-04-07 00:00:00",1814461,3750
"2023-04-06 00:00:00",1810711,4398
"2023-04-05 00:00:00",1806313,4065
"2023-04-04 00:00:00",1802248,3948
"2023-04-03 00:00:00",1798300,4186
"2023-04-02 00:00:00",1794114,4418
"2023-04-01 00:00:00",1789696,4133
"2023-03-31 00:00:00",1785563,4146
"2023-03-30 00:00:00",1781417,4405
"2023-03-29 00:00:00",1777012,4270
"2023-03-28 00:00:00",1772742,4053
"2023-03-27 00:00:00",1768689,4389
"2023-03-26 00:00:00",1764300,5076
"2023-03-25 00:00:00",1759224,4542
"2023-03-24 00:00:00",1754682,4788
"2023-03-23 00:00:00",1749894,0
"2023-03-22 00:00:00",1749894,8556
"2023-03-21 00:00:00",1741338,3867
"2023-03-20 00:00:00",1737471,4386
"2023-03-19 00:00:00",1733085,4371
"2023-03-18 00:00:00",1728714,3760
"2023-03-17 00:00:00",1724954,3903
"2023-03-16 00:00:00",1721051,3851
"2023-03-15 00:00:00",1717200,3790
"2023-03-14 00:00:00",1713410,3874
"2023-03-13 00:00:00",1709536,3594
"2023-03-12 00:00:00",1705942,3793
"2023-03-11 00:00:00",1702149,4027
"2023-03-10 00:00:00",1698122,3848
"2023-03-09 00:00:00",1694274,3864
"2023-03-08 00:00:00",1690410,4224
"2023-03-07 00:00:00",1686186,3709
"2023-03-06 00:00:00",1682477,3852
"2023-03-05 00:00:00",1678625,4038
"2023-03-04 00:00:00",1674587,4056
"2023-03-03 00:00:00",1670531,0
"2023-03-02 00:00:00",1670531,4170
"2023-03-01 00:00:00",1666361,7948
"2023-02-28 00:00:00",1658413,4023
"2023-02-27 00:00:00",1654390,3867
"2023-02-26 00:00:00",1650523,3598
"2023-02-25 00:00:00",1646925,4030
"2023-02-24 00:00:00",1642895,4325
"2023-02-23 00:00:00",1638570,4329
"2023-02-22 00:00:00",1634241,0
"2023-02-21 00:00:00",1634241,7782
"2023-02-20 00:00:00",1626459,0
"2023-02-19 00:00:00",1626459,8225
"2023-02-18 00:00:00",1618234,4370
"2023-02-17 00:00:00",1613864,4364
"2023-02-16 00:00:00",1609500,4269
"2023-02-15 00:00:00",1605231,4259
"2023-02-14 00:00:00",1600972,3752
"2023-02-13 00:00:00",1597220,4003
"2023-02-12 00:00:00",1593217,4271
"2023-02-11 00:00:00",1588946,3924
"2023-02-10 00:00:00",1585022,4295
"2023-02-09 00:00:00",1580727,4296
"2023-02-08 00:00:00",1576431,4096
"2023-02-07 00:00:00",1572335,0
"2023-02-06 00:00:00",1572335,8043
"2023-02-05 00:00:00",1564292,4478
"2023-02-04 00:00:00",1559814,4487
"2023-02-03 00:00:00",1555327,4748
"2023-02-02 00:00:00",1550579,4846
"2023-02-01 00:00:00",1545733,0
"2023-01-31 00:00:00",1545733,9267
"2023-01-30 00:00:00",1536466,4838
"2023-01-29 00:00:00",1531628,4635
"2023-01-28 00:00:00",1526993,4635
"2023-01-27 00:00:00",1522358,4305
"2023-01-26 00:00:00",1518053,4178
"2023-01-25 00:00:00",1513875,4404
"2023-01-24 00:00:00",1509471,3797
"2023-01-23 00:00:00",1505674,4200
"2023-01-22 00:00:00",1501474,4729
"2023-01-21 00:00:00",1496745,4825
"2023-01-20 00:00:00",1491920,5149
"2023-01-19 00:00:00",1486771,4804
"2023-01-18 00:00:00",1481967,4782
"2023-01-17 00:00:00",1477185,4145
"2023-01-16 00:00:00",1473040,4211
"2023-01-15 00:00:00",1468829,4925
"2023-01-14 00:00:00",1463904,4755
"2023-01-13 00:00:00",1459149,4368
"2023-01-12 00:00:00",1454781,4577
"2023-01-11 00:00:00",1450204,4675
"2023-01-10 00:00:00",1445529,4038
"2023-01-09 00:00:00",1441491,4313
"2023-01-08 00:00:00",1437178,4514
"2023-01-07 00:00:00",1432664,0
"2023-01-06 00:00:00",1432664,9200
"2023-01-05 00:00:00",1423464,4551
"2023-01-04 00:00:00",1418913,4114
"2023-01-03 00:00:00",1414799,4048
"2023-01-02 00:00:00",1410751,4552
"2023-01-01 00:00:00",1406199,4791
"2022-12-31 00:00:00",1401408,4776
"2022-12-30 00:00:00",1396632,4923
"2022-12-29 00:00:00",1391709,4844
"2022-12-28 00:00:00",1386865,4182
"2022-12-27 00:00:00",1382683,3591
"2022-12-26 00:00:00",1379092,4545
"2022-12-25 00:00:00",1374547,5088
"2022-12-24 00:00:00",1369459,5236
"2022-12-23 00:00:00",1364223,5115
"2022-12-22 00:00:00",1359108,5074
"2022-12-21 00:00:00",1354034,4863
"2022-12-20 00:00:00",1349171,4298
"2022-12-19 00:00:00",1344873,5072
"2022-12-18 00:00:00",1339801,5694
"2022-12-17 00:00:00",1334107,5319
"2022-12-16 00:00:00",1328788,5005
"2022-12-15 00:00:00",1323783,5493
"2022-12-14 00:00:00",1318290,5566
"2022-12-13 00:00:00",1312724,4821
"2022-12-12 00:00:00",1307903,5101
"2022-12-11 00:00:00",1302802,5734
"2022-12-10 00:00:00",1297068,6428
"2022-12-09 00:00:00",1290640,6670
"2022-12-08 00:00:00",1283970,6038
"2022-12-07 00:00:00",1277932,5474
"2022-12-06 00:00:00",1272458,6453
"2022-12-05 00:00:00",1266005,6453
"2022-12-04 00:00:00",1259552,6453
"2022-12-03 00:00:00",1253099,6453
"2022-12-02 00:00:00",1246646,6453
"2022-12-01 00:00:00",1240193,7848
"2022-11-30 00:00:00",1232345,7903
"2022-11-29 00:00:00",1224442,6781
"2022-11-28 00:00:00",1217661,6627
"2022-11-27 00:00:00",1211034,5752
"2022-11-26 00:00:00",1205282,6211
"2022-11-25 00:00:00",1199071,7185
"2022-11-24 00:00:00",1191886,6973
"2022-11-23 00:00:00",1184913,6232
"2022-11-22 00:00:00",1178681,5847
"2022-11-21 00:00:00",1172834,6459
"2022-11-20 00:00:00",1166375,7261
"2022-11-19 00:00:00",1159114,7712
"2022-11-18 00:00:00",1151402,8003
"2022-11-17 00:00:00",1143399,8140
"2022-11-16 00:00:00",1135259,7593
"2022-11-15 00:00:00",1127666,6855
"2022-11-14 00:00:00",1120811,7961
"2022-11-13 00:00:00",1112850,8318
"2022-11-12 00:00:00",1104532,8949
"2022-11-11 00:00:00",1095583,9327
"2022-11-10 00:00:00",1086256,9011
"2022-11-09 00:00:00",1077245,0
"2022-11-08 00:00:00",1077245,16673
"2022-11-07 00:00:00",1060572,8531
"2022-11-06 00:00:00",1052041,9355
"2022-11-05 00:00:00",1042686,10301
"2022-11-04 00:00:00",1032385,11472
"2022-11-03 00:00:00",1020913,9680
"2022-11-02 00:00:00",1011233,10368
"2022-11-01 00:00:00",1000865,9070
"2022-10-31 00:00:00",991795,10713
"2022-10-30 00:00:00",981082,12666
"2022-10-29 00:00:00",968416,11464
"2022-10-28 00:00:00",956952,9328
"2022-10-27 00:00:00",947624,8994
"2022-10-26 00:00:00",938630,9146
"2022-10-25 00:00:00",929484,8212
"2022-10-24 00:00:00",921272,9442
"2022-10-23 00:00:00",911830,11485
"2022-10-22 00:00:00",900345,12686
"2022-10-21 00:00:00",887659,12436
"2022-10-20 00:00:00",875223,12382
"2022-10-19 00:00:00",862841,12514
"2022-10-18 00:00:00",850327,11113
"2022-10-17 00:00:00",839214,12710
"2022-10-16 00:00:00",826504,34159
"2022-10-15 00:00:00",792345,0
"2022-10-14 00:00:00",792345,17363
"2022-10-13 00:00:00",774982,16689
"2022-10-12 00:00:00",758293,16297
"2022-10-11 00:00:00",741996,13240
"2022-10-10 00:00:00",728756,16352
"2022-10-09 00:00:00",712404,22657
"2022-10-08 00:00:00",689747,27116
"2022-10-07 00:00:00",662631,26308
"2022-10-06 00:00:00",636323,26158
"2022-10-05 00:00:00",610165,26722
"2022-10-04 00:00:00",583443,23633
"2022-10-03 00:00:00",559810,30053
"2022-10-02 00:00:00",529757,36414
"2022-10-01 00:00:00",493343,51138
"2022-09-30 00:00:00",442205,64525
"2022-09-29 00:00:00",377680,43196
"2022-09-28 00:00:00",334484,48986
"2022-09-27 00:00:00",285498,47405
"2022-09-26 00:00:00",238093,80162
"2022-09-25 00:00:00",157931,156388
"2022-09-24 00:00:00",1543,0
"2022-09-23 00:00:00",1543,0
