Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 23, 2022",317,"75,073",,
"Sep 24, 2022",392,"78,124",,
"Sep 25, 2022",437,"91,871",,
"Sep 26, 2022",469,"93,298",,
"Sep 27, 2022",496,"94,301",,
"Sep 28, 2022",546,"93,489",,
"Sep 29, 2022",579,"95,192",,
"Sep 30, 2022",601,"96,018",,
"Oct 01, 2022",613,"122,606",,
"Oct 02, 2022",618,"122,758",,
"Oct 03, 2022",627,"123,545",,
"Oct 04, 2022",637,"123,724",,
"Oct 05, 2022",648,"126,625",,
"Oct 06, 2022",659,"126,969",,
"Oct 07, 2022",665,"125,907",,
"Oct 08, 2022",668,"125,367",,
"Oct 09, 2022",671,"125,464",,
"Oct 10, 2022",676,"125,708",,
"Oct 11, 2022",679,"126,410",,
"Oct 12, 2022",682,"126,606",,
"Oct 13, 2022",684,"126,422",,
"Oct 14, 2022",693,"126,596",,
"Oct 15, 2022",696,"122,951",,
"Oct 16, 2022",696,"123,027",,
"Oct 17, 2022",699,"123,111",,
"Oct 18, 2022",703,"123,472",,
"Oct 19, 2022",706,"123,830",,
"Oct 20, 2022",710,"123,804",,
"Oct 21, 2022",715,"124,034",,
"Oct 22, 2022",713,"124,211",,
"Oct 23, 2022",713,"124,376",,
"Oct 24, 2022",714,"124,479",,
"Oct 25, 2022",720,"124,600",,
"Oct 26, 2022",722,"124,797",,
"Oct 27, 2022",724,"124,901",,
"Oct 28, 2022",725,"125,004",,
"Oct 29, 2022",727,"125,119",,
"Oct 30, 2022",726,"125,109",,
"Oct 31, 2022",724,"125,115",,
"Nov 01, 2022",725,"125,178",,
"Nov 02, 2022",725,"125,227",,
"Nov 03, 2022",726,"125,312",,
"Nov 04, 2022",726,"125,185",,
"Nov 05, 2022",728,"125,872",,
"Nov 06, 2022",731,"126,030",,
"Nov 07, 2022",730,"123,490",,
"Nov 08, 2022",730,"123,251",,
"Nov 09, 2022",731,"123,301",,
"Nov 10, 2022",732,"123,345",,
"Nov 11, 2022",732,"123,394",,
"Nov 12, 2022",729,"123,399",,
"Nov 13, 2022",723,"123,374",,
"Nov 14, 2022",723,"123,449",,
