Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 24, 2022",361,"69,787",,
"Sep 25, 2022",406,"72,377",,
"Sep 26, 2022",430,"73,596",,
"Sep 27, 2022",460,"73,633",,
"Sep 28, 2022",513,"73,134",,
"Sep 29, 2022",544,"73,397",,
"Sep 30, 2022",561,"74,598",,
"Oct 01, 2022",576,"97,175",,
"Oct 02, 2022",585,"81,040",,
"Oct 03, 2022",594,"81,188",,
"Oct 04, 2022",600,"81,099",,
"Oct 05, 2022",616,"84,296",,
"Oct 06, 2022",629,"84,505",,
"Oct 07, 2022",633,"83,384",,
"Oct 08, 2022",633,"82,671",,
"Oct 09, 2022",637,"82,737",,
"Oct 10, 2022",642,"83,316",,
"Oct 11, 2022",648,"83,369",,
"Oct 12, 2022",653,"83,614",,
"Oct 13, 2022",664,"90,388",,
"Oct 14, 2022",677,"90,531",,
"Oct 15, 2022",684,"90,715",,
"Oct 16, 2022",691,"90,778",,
"Oct 17, 2022",694,"90,837",,
"Oct 18, 2022",700,"92,150",,
"Oct 19, 2022",706,"92,431",,
"Oct 20, 2022",710,"92,984",,
"Oct 21, 2022",717,"93,210",,
"Oct 22, 2022",721,"93,524",,
"Oct 23, 2022",723,"93,678",,
"Oct 24, 2022",724,"94,739",,
"Oct 25, 2022",729,"94,871",,
"Oct 26, 2022",731,"94,955",,
"Oct 27, 2022",732,"95,031",,
"Oct 28, 2022",733,"95,073",,
"Oct 29, 2022",734,"95,166",,
"Oct 30, 2022",735,"95,242",,
"Oct 31, 2022",735,"95,264",,
"Nov 01, 2022",735,"95,329",,
"Nov 02, 2022",738,"95,376",,
"Nov 03, 2022",740,"95,452",,
"Nov 04, 2022",740,"95,534",,
"Nov 05, 2022",738,"95,601",,
"Nov 06, 2022",742,"95,724",,
"Nov 07, 2022",738,"95,677",,
"Nov 08, 2022",738,"95,776",,
"Nov 09, 2022",738,"95,455",,
"Nov 10, 2022",739,"95,763",,
"Nov 11, 2022",741,"95,836",,
"Nov 12, 2022",738,"88,970",,
"Nov 13, 2022",737,"89,004",,
"Nov 14, 2022",736,"89,053",,
"Nov 15, 2022",736,"89,100",,
"Nov 16, 2022",737,"89,142",,
"Nov 17, 2022",736,"89,157",,
"Nov 18, 2022",719,"89,038",,
"Nov 19, 2022",718,"88,991",,
"Nov 20, 2022",722,"89,076",,
"Nov 21, 2022",727,"89,213",,
"Nov 22, 2022",728,"89,216",,
"Nov 23, 2022",727,"89,043",,
"Nov 24, 2022",729,"89,141",,
"Nov 25, 2022",729,"89,274",,
"Nov 26, 2022",730,"89,478",,
"Nov 27, 2022",731,"89,088",,
"Nov 28, 2022",732,"89,086",,
"Nov 29, 2022",735,"89,507",,
"Nov 30, 2022",737,"89,523",,
"Dec 01, 2022",738,"89,583",,
"Dec 02, 2022",740,"89,645",,
"Dec 03, 2022",723,"86,832",,
"Dec 04, 2022",722,"88,064",,
"Dec 05, 2022",710,"87,309",,
"Dec 06, 2022",712,"87,533",,
"Dec 07, 2022",703,"84,668",,
"Dec 08, 2022",700,"84,560",,
"Dec 09, 2022",696,"84,553",,
"Dec 10, 2022",700,"85,509",,
"Dec 11, 2022",697,"86,879",,
