"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",909748,1149
"2023-05-13 00:00:00",908599,1182
"2023-05-12 00:00:00",907417,1169
"2023-05-11 00:00:00",906248,1169
"2023-05-10 00:00:00",905079,1102
"2023-05-09 00:00:00",903977,1036
"2023-05-08 00:00:00",902941,1177
"2023-05-07 00:00:00",901764,1246
"2023-05-06 00:00:00",900519,1246
"2023-05-05 00:00:00",899273,1251
"2023-05-04 00:00:00",898022,1166
"2023-05-03 00:00:00",896856,1064
"2023-05-02 00:00:00",895792,1064
"2023-05-01 00:00:00",894728,1115
"2023-04-30 00:00:00",893613,1115
"2023-04-29 00:00:00",892498,1029
"2023-04-28 00:00:00",891469,735
"2023-04-27 00:00:00",890734,735
"2023-04-26 00:00:00",890000,735
"2023-04-25 00:00:00",889265,2088
"2023-04-24 00:00:00",887177,0
"2023-04-23 00:00:00",887177,2072
"2023-04-22 00:00:00",885105,1119
"2023-04-21 00:00:00",883986,1073
"2023-04-20 00:00:00",882913,1073
"2023-04-19 00:00:00",881840,1038
"2023-04-18 00:00:00",880803,1038
"2023-04-17 00:00:00",879765,1127
"2023-04-16 00:00:00",878638,1196
"2023-04-15 00:00:00",877442,1172
"2023-04-14 00:00:00",876270,1161
"2023-04-13 00:00:00",875109,1094
"2023-04-12 00:00:00",874015,1062
"2023-04-11 00:00:00",872953,967
"2023-04-10 00:00:00",871986,1049
"2023-04-09 00:00:00",870937,1180
"2023-04-08 00:00:00",869757,1218
"2023-04-07 00:00:00",868539,1187
"2023-04-06 00:00:00",867352,1192
"2023-04-05 00:00:00",866160,1143
"2023-04-04 00:00:00",865017,1038
"2023-04-03 00:00:00",863979,1063
"2023-04-02 00:00:00",862916,1195
"2023-04-01 00:00:00",861721,1213
"2023-03-31 00:00:00",860508,1167
"2023-03-30 00:00:00",859341,1252
"2023-03-29 00:00:00",858089,1110
"2023-03-28 00:00:00",856979,1058
"2023-03-27 00:00:00",855921,1129
"2023-03-26 00:00:00",854792,1185
"2023-03-25 00:00:00",853607,1454
"2023-03-24 00:00:00",852153,1258
"2023-03-23 00:00:00",850895,0
"2023-03-22 00:00:00",850895,2269
"2023-03-21 00:00:00",848626,1136
"2023-03-20 00:00:00",847490,1143
"2023-03-19 00:00:00",846347,1324
"2023-03-18 00:00:00",845023,1231
"2023-03-17 00:00:00",843792,1200
"2023-03-16 00:00:00",842592,1099
"2023-03-15 00:00:00",841493,1181
"2023-03-14 00:00:00",840312,1043
"2023-03-13 00:00:00",839269,1075
"2023-03-12 00:00:00",838194,1158
"2023-03-11 00:00:00",837036,1216
"2023-03-10 00:00:00",835820,1218
"2023-03-09 00:00:00",834602,1107
"2023-03-08 00:00:00",833495,1128
"2023-03-07 00:00:00",832367,1057
"2023-03-06 00:00:00",831310,1189
"2023-03-05 00:00:00",830121,1147
"2023-03-04 00:00:00",828974,1249
"2023-03-03 00:00:00",827725,0
"2023-03-02 00:00:00",827725,1238
"2023-03-01 00:00:00",826487,2352
"2023-02-28 00:00:00",824135,1099
"2023-02-27 00:00:00",823036,1096
"2023-02-26 00:00:00",821940,1221
"2023-02-25 00:00:00",820719,1226
"2023-02-24 00:00:00",819493,1297
"2023-02-23 00:00:00",818196,1252
"2023-02-22 00:00:00",816944,0
"2023-02-21 00:00:00",816944,2330
"2023-02-20 00:00:00",814614,0
"2023-02-19 00:00:00",814614,2707
"2023-02-18 00:00:00",811907,1392
"2023-02-17 00:00:00",810515,1317
"2023-02-16 00:00:00",809198,1324
"2023-02-15 00:00:00",807874,1241
"2023-02-14 00:00:00",806633,1169
"2023-02-13 00:00:00",805464,1299
"2023-02-12 00:00:00",804165,1535
"2023-02-11 00:00:00",802630,1609
"2023-02-10 00:00:00",801021,1627
"2023-02-09 00:00:00",799394,1435
"2023-02-08 00:00:00",797959,1409
"2023-02-07 00:00:00",796550,0
"2023-02-06 00:00:00",796550,2757
"2023-02-05 00:00:00",793793,1513
"2023-02-04 00:00:00",792280,1650
"2023-02-03 00:00:00",790630,1616
"2023-02-02 00:00:00",789014,1597
"2023-02-01 00:00:00",787417,0
"2023-01-31 00:00:00",787417,2907
"2023-01-30 00:00:00",784510,1572
"2023-01-29 00:00:00",782938,1604
"2023-01-28 00:00:00",781335,1604
"2023-01-27 00:00:00",779731,1656
"2023-01-26 00:00:00",778075,1573
"2023-01-25 00:00:00",776502,1543
