Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Sep 23, 2022","1,178","35,245,120",14,"27,158,531"
"Sep 24, 2022","1,546","35,799,077",15,"27,225,699"
"Sep 25, 2022","1,768","35,862,227",15,"27,229,454"
"Sep 26, 2022","1,968","36,748,745",16,"28,078,040"
"Sep 27, 2022","2,127","37,129,183",16,"28,081,301"
"Sep 28, 2022","2,291","37,137,966",16,"28,085,049"
"Sep 29, 2022","2,431","37,578,000",16,"28,088,714"
"Sep 30, 2022","2,600","38,448,289",16,"28,092,518"
"Oct 01, 2022","2,635","33,822,761",16,"28,097,174"
"Oct 02, 2022","2,665","31,679,276",15,"27,919,240"
"Oct 03, 2022","2,707","31,692,091",15,"27,922,101"
"Oct 04, 2022","2,754","31,748,376",15,"27,925,426"
"Oct 05, 2022","2,819","32,063,646",15,"27,929,549"
"Oct 06, 2022","2,875","31,227,275",14,"27,086,728"
"Oct 07, 2022","2,932","31,685,260",14,"27,090,813"
"Oct 08, 2022","2,934","31,815,156",14,"27,095,690"
"Oct 09, 2022","2,931","31,384,378",14,"27,100,310"
"Oct 10, 2022","2,953","31,302,515",14,"27,103,373"
"Oct 11, 2022","2,980","31,473,515",14,"27,107,497"
"Oct 12, 2022","3,005","30,618,925",14,"27,111,715"
"Oct 13, 2022","3,029","30,636,568",14,"27,115,462"
"Oct 14, 2022","3,062","31,716,242",13,"26,717,324"
"Oct 15, 2022","3,074","10,416,188",8,"5,427,939"
"Oct 16, 2022","3,088","10,389,351",8,"5,428,880"
"Oct 17, 2022","3,101","10,372,014",8,"5,429,692"
"Oct 18, 2022","3,121","10,325,009",8,"5,429,578"
"Oct 19, 2022","3,136","10,327,761",8,"5,430,146"
"Oct 20, 2022","3,150","10,323,395",8,"5,430,844"
"Oct 21, 2022","3,166","10,324,995",8,"5,431,670"
"Oct 22, 2022","3,157","10,329,870",8,"5,432,585"
"Oct 23, 2022","3,158","10,285,977",8,"5,433,447"
"Oct 24, 2022","3,160","10,296,826",8,"5,434,234"
"Oct 25, 2022","3,167","10,032,582",7,"5,179,014"
"Oct 26, 2022","3,175","10,141,939",7,"5,179,855"
"Oct 27, 2022","3,192","10,384,285",7,"5,180,802"
"Oct 28, 2022","3,201","12,411,874",7,"5,181,808"
"Oct 29, 2022","3,209","12,439,015",7,"5,182,806"
"Oct 30, 2022","3,213","12,343,731",7,"5,183,730"
"Oct 31, 2022","3,212","12,323,861",7,"5,184,532"
"Nov 01, 2022","3,225","12,436,958",7,"5,185,554"
"Nov 02, 2022","3,238","12,433,911",7,"5,186,459"
"Nov 03, 2022","3,248","12,441,874",7,"5,187,423"
"Nov 04, 2022","3,254","10,907,205",7,"5,188,036"
"Nov 05, 2022","3,263","10,936,299",7,"5,188,962"
