"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",8295985,10857
"2023-05-13 00:00:00",8285128,10850
"2023-05-12 00:00:00",8274278,10939
"2023-05-11 00:00:00",8263339,10737
"2023-05-10 00:00:00",8252602,10347
"2023-05-09 00:00:00",8242255,8901
"2023-05-08 00:00:00",8233354,10856
"2023-05-07 00:00:00",8222498,11162
"2023-05-06 00:00:00",8211337,11162
"2023-05-05 00:00:00",8200175,10446
"2023-05-04 00:00:00",8189729,10046
"2023-05-03 00:00:00",8179683,9256
"2023-05-02 00:00:00",8170427,9256
"2023-05-01 00:00:00",8161171,9759
"2023-04-30 00:00:00",8151412,10094
"2023-04-29 00:00:00",8141318,9904
"2023-04-28 00:00:00",8131414,6693
"2023-04-27 00:00:00",8124721,6693
"2023-04-26 00:00:00",8118028,6693
"2023-04-25 00:00:00",8111335,17399
"2023-04-24 00:00:00",8093936,0
"2023-04-23 00:00:00",8093936,19461
"2023-04-22 00:00:00",8074475,9953
"2023-04-21 00:00:00",8064522,9754
"2023-04-20 00:00:00",8054769,9754
"2023-04-19 00:00:00",8045015,9141
"2023-04-18 00:00:00",8035875,9141
"2023-04-17 00:00:00",8026734,10447
"2023-04-16 00:00:00",8016287,11006
"2023-04-15 00:00:00",8005281,10359
"2023-04-14 00:00:00",7994922,10317
"2023-04-13 00:00:00",7984605,10091
"2023-04-12 00:00:00",7974514,9227
"2023-04-11 00:00:00",7965287,8544
"2023-04-10 00:00:00",7956743,10160
"2023-04-09 00:00:00",7946583,10514
"2023-04-08 00:00:00",7936069,11637
"2023-04-07 00:00:00",7924432,11808
"2023-04-06 00:00:00",7912624,11371
"2023-04-05 00:00:00",7901253,10667
"2023-04-04 00:00:00",7890586,9611
"2023-04-03 00:00:00",7880975,10560
"2023-04-02 00:00:00",7870415,11517
"2023-04-01 00:00:00",7858898,10874
"2023-03-31 00:00:00",7848024,10652
"2023-03-30 00:00:00",7837372,10830
"2023-03-29 00:00:00",7826542,9997
"2023-03-28 00:00:00",7816545,9581
"2023-03-27 00:00:00",7806964,10556
"2023-03-26 00:00:00",7796408,11566
"2023-03-25 00:00:00",7784842,11310
"2023-03-24 00:00:00",7773532,11482
"2023-03-23 00:00:00",7762050,0
"2023-03-22 00:00:00",7762050,20655
"2023-03-21 00:00:00",7741395,9128
"2023-03-20 00:00:00",7732267,10634
"2023-03-19 00:00:00",7721633,11101
"2023-03-18 00:00:00",7710532,10820
"2023-03-17 00:00:00",7699712,10968
