"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",2595731,10694
"2023-05-13 00:00:00",2585037,11104
"2023-05-12 00:00:00",2573933,12723
"2023-05-11 00:00:00",2561210,12344
"2023-05-10 00:00:00",2548866,12548
"2023-05-09 00:00:00",2536318,10607
"2023-05-08 00:00:00",2525711,12960
"2023-05-07 00:00:00",2512751,18304
"2023-05-06 00:00:00",2494447,18304
"2023-05-05 00:00:00",2476143,17860
"2023-05-04 00:00:00",2458283,14281
"2023-05-03 00:00:00",2444002,12283
"2023-05-02 00:00:00",2431720,12283
"2023-05-01 00:00:00",2419437,8807
"2023-04-30 00:00:00",2410630,8295
"2023-04-29 00:00:00",2402335,7288
"2023-04-28 00:00:00",2395047,3231
"2023-04-27 00:00:00",2391816,3231
"2023-04-26 00:00:00",2388584,3231
"2023-04-25 00:00:00",2385353,7946
"2023-04-24 00:00:00",2377407,0
"2023-04-23 00:00:00",2377407,8303
"2023-04-22 00:00:00",2369104,4194
"2023-04-21 00:00:00",2364910,3968
"2023-04-20 00:00:00",2360942,3968
"2023-04-19 00:00:00",2356974,4035
"2023-04-18 00:00:00",2352940,4035
"2023-04-17 00:00:00",2348905,3916
"2023-04-16 00:00:00",2344989,4809
"2023-04-15 00:00:00",2340180,4508
"2023-04-14 00:00:00",2335672,4995
"2023-04-13 00:00:00",2330677,4440
"2023-04-12 00:00:00",2326237,4018
"2023-04-11 00:00:00",2322219,3628
"2023-04-10 00:00:00",2318591,3532
"2023-04-09 00:00:00",2315059,3706
"2023-04-08 00:00:00",2311353,3748
"2023-04-07 00:00:00",2307605,3754
"2023-04-06 00:00:00",2303851,4441
"2023-04-05 00:00:00",2299410,4110
"2023-04-04 00:00:00",2295300,3727
"2023-04-03 00:00:00",2291573,4131
"2023-04-02 00:00:00",2287442,4205
"2023-04-01 00:00:00",2283237,4556
"2023-03-31 00:00:00",2278681,4844
"2023-03-30 00:00:00",2273837,4753
"2023-03-29 00:00:00",2269084,3963
"2023-03-28 00:00:00",2265121,4572
"2023-03-27 00:00:00",2260549,6242
"2023-03-26 00:00:00",2254307,7361
"2023-03-25 00:00:00",2246946,4946
"2023-03-24 00:00:00",2242000,4660
"2023-03-23 00:00:00",2237340,0
"2023-03-22 00:00:00",2237340,8700
"2023-03-21 00:00:00",2228640,3899
"2023-03-20 00:00:00",2224741,4222
"2023-03-19 00:00:00",2220519,4343
"2023-03-18 00:00:00",2216176,4150
"2023-03-17 00:00:00",2212026,4031
"2023-03-16 00:00:00",2207995,3889
"2023-03-15 00:00:00",2204106,3754
"2023-03-14 00:00:00",2200352,3474
"2023-03-13 00:00:00",2196878,3819
"2023-03-12 00:00:00",2193059,3934
"2023-03-11 00:00:00",2189125,4097
"2023-03-10 00:00:00",2185028,4087
"2023-03-09 00:00:00",2180941,4140
"2023-03-08 00:00:00",2176801,4241
"2023-03-07 00:00:00",2172560,3699
"2023-03-06 00:00:00",2168861,4048
"2023-03-05 00:00:00",2164813,4437
"2023-03-04 00:00:00",2160376,4459
"2023-03-03 00:00:00",2155917,0
"2023-03-02 00:00:00",2155917,4443
"2023-03-01 00:00:00",2151474,8599
"2023-02-28 00:00:00",2142875,4063
"2023-02-27 00:00:00",2138812,4354
"2023-02-26 00:00:00",2134458,4397
"2023-02-25 00:00:00",2130061,4289
"2023-02-24 00:00:00",2125772,4345
"2023-02-23 00:00:00",2121427,4288
"2023-02-22 00:00:00",2117139,0
"2023-02-21 00:00:00",2117139,7990
"2023-02-20 00:00:00",2109149,0
"2023-02-19 00:00:00",2109149,8442
"2023-02-18 00:00:00",2100707,4506
"2023-02-17 00:00:00",2096201,4270
"2023-02-16 00:00:00",2091931,4521
"2023-02-15 00:00:00",2087410,4274
"2023-02-14 00:00:00",2083136,4008
"2023-02-13 00:00:00",2079128,4187
"2023-02-12 00:00:00",2074941,4499
"2023-02-11 00:00:00",2070442,4253
"2023-02-10 00:00:00",2066189,4435
"2023-02-09 00:00:00",2061754,4492
"2023-02-08 00:00:00",2057262,4148
"2023-02-07 00:00:00",2053114,0
"2023-02-06 00:00:00",2053114,8174
"2023-02-05 00:00:00",2044940,4709
"2023-02-04 00:00:00",2040231,4930
"2023-02-03 00:00:00",2035301,5233
"2023-02-02 00:00:00",2030068,5443
"2023-02-01 00:00:00",2024625,0
"2023-01-31 00:00:00",2024625,10065
"2023-01-30 00:00:00",2014560,5224
"2023-01-29 00:00:00",2009336,5158
"2023-01-28 00:00:00",2004178,5158
"2023-01-27 00:00:00",1999020,4892
"2023-01-26 00:00:00",1994128,4951
"2023-01-25 00:00:00",1989177,4907
"2023-01-24 00:00:00",1984270,4420
"2023-01-23 00:00:00",1979850,4810
"2023-01-22 00:00:00",1975040,5488
"2023-01-21 00:00:00",1969552,5708
"2023-01-20 00:00:00",1963844,6601
"2023-01-19 00:00:00",1957243,7741
"2023-01-18 00:00:00",1949502,6444
"2023-01-17 00:00:00",1943058,5376
"2023-01-16 00:00:00",1937682,5319
"2023-01-15 00:00:00",1932363,6533
"2023-01-14 00:00:00",1925830,6641
"2023-01-13 00:00:00",1919189,11520
"2023-01-12 00:00:00",1907669,8771
"2023-01-11 00:00:00",1898898,6646
"2023-01-10 00:00:00",1892252,5583
"2023-01-09 00:00:00",1886669,5974
"2023-01-08 00:00:00",1880695,6441
"2023-01-07 00:00:00",1874254,0
"2023-01-06 00:00:00",1874254,12627
"2023-01-05 00:00:00",1861627,6468
"2023-01-04 00:00:00",1855159,6684
"2023-01-03 00:00:00",1848475,5607
"2023-01-02 00:00:00",1842868,6697
"2023-01-01 00:00:00",1836171,6518
"2022-12-31 00:00:00",1829653,6492
"2022-12-30 00:00:00",1823161,6856
"2022-12-29 00:00:00",1816305,6579
"2022-12-28 00:00:00",1809726,5433
"2022-12-27 00:00:00",1804293,4598
"2022-12-26 00:00:00",1799695,6110
"2022-12-25 00:00:00",1793585,6802
"2022-12-24 00:00:00",1786783,6900
"2022-12-23 00:00:00",1779883,7443
"2022-12-22 00:00:00",1772440,7543
"2022-12-21 00:00:00",1764897,8061
"2022-12-20 00:00:00",1756836,5978
"2022-12-19 00:00:00",1750858,7375
"2022-12-18 00:00:00",1743483,8673
"2022-12-17 00:00:00",1734810,9057
"2022-12-16 00:00:00",1725753,8438
"2022-12-15 00:00:00",1717315,8441
"2022-12-14 00:00:00",1708874,7518
"2022-12-13 00:00:00",1701356,7126
"2022-12-12 00:00:00",1694230,7820
"2022-12-11 00:00:00",1686410,9932
"2022-12-10 00:00:00",1676478,11127
"2022-12-09 00:00:00",1665351,14709
"2022-12-08 00:00:00",1650642,8792
"2022-12-07 00:00:00",1641850,6037
"2022-12-06 00:00:00",1635813,8477
"2022-12-05 00:00:00",1627336,8477
"2022-12-04 00:00:00",1618859,8477
"2022-12-03 00:00:00",1610383,8477
"2022-12-02 00:00:00",1601906,8477
"2022-12-01 00:00:00",1593429,11442
"2022-11-30 00:00:00",1581987,11145
"2022-11-29 00:00:00",1570842,9414
"2022-11-28 00:00:00",1561428,9564
"2022-11-27 00:00:00",1551864,8868
"2022-11-26 00:00:00",1542996,9349
"2022-11-25 00:00:00",1533647,11254
"2022-11-24 00:00:00",1522393,9425
"2022-11-23 00:00:00",1512968,7108
"2022-11-22 00:00:00",1505860,6708
"2022-11-21 00:00:00",1499152,9375
"2022-11-20 00:00:00",1489777,10865
"2022-11-19 00:00:00",1478912,12183
"2022-11-18 00:00:00",1466729,15192
"2022-11-17 00:00:00",1451537,12517
"2022-11-16 00:00:00",1439020,9436
"2022-11-15 00:00:00",1429584,8442
"2022-11-14 00:00:00",1421142,9765
"2022-11-13 00:00:00",1411377,11896
"2022-11-12 00:00:00",1399481,12814
"2022-11-11 00:00:00",1386667,12849
"2022-11-10 00:00:00",1373818,13214
"2022-11-09 00:00:00",1360604,0
"2022-11-08 00:00:00",1360604,22348
"2022-11-07 00:00:00",1338256,10711
"2022-11-06 00:00:00",1327545,12431
"2022-11-05 00:00:00",1315114,14285
"2022-11-04 00:00:00",1300829,15017
"2022-11-03 00:00:00",1285812,12757
