"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",1197835,1635
"2023-05-13 00:00:00",1196200,1656
"2023-05-12 00:00:00",1194544,1643
"2023-05-11 00:00:00",1192901,1657
"2023-05-10 00:00:00",1191244,1490
"2023-05-09 00:00:00",1189754,1380
"2023-05-08 00:00:00",1188374,1595
"2023-05-07 00:00:00",1186779,1716
"2023-05-06 00:00:00",1185064,1716
"2023-05-05 00:00:00",1183348,1641
"2023-05-04 00:00:00",1181707,1500
"2023-05-03 00:00:00",1180207,1450
"2023-05-02 00:00:00",1178757,1450
"2023-05-01 00:00:00",1177307,1442
"2023-04-30 00:00:00",1175865,1623
"2023-04-29 00:00:00",1174242,1511
"2023-04-28 00:00:00",1172731,1009
"2023-04-27 00:00:00",1171722,1009
"2023-04-26 00:00:00",1170713,1009
"2023-04-25 00:00:00",1169704,2749
"2023-04-24 00:00:00",1166955,0
"2023-04-23 00:00:00",1166955,3100
"2023-04-22 00:00:00",1163855,1641
"2023-04-21 00:00:00",1162214,1551
"2023-04-20 00:00:00",1160663,1551
"2023-04-19 00:00:00",1159112,1479
"2023-04-18 00:00:00",1157633,1479
"2023-04-17 00:00:00",1156154,1525
"2023-04-16 00:00:00",1154629,1697
"2023-04-15 00:00:00",1152932,1663
"2023-04-14 00:00:00",1151269,1709
"2023-04-13 00:00:00",1149560,1658
"2023-04-12 00:00:00",1147902,1606
"2023-04-11 00:00:00",1146296,1387
"2023-04-10 00:00:00",1144909,1628
"2023-04-09 00:00:00",1143281,1631
"2023-04-08 00:00:00",1141650,1841
"2023-04-07 00:00:00",1139809,1799
"2023-04-06 00:00:00",1138010,1805
"2023-04-05 00:00:00",1136205,1717
"2023-04-04 00:00:00",1134488,1451
"2023-04-03 00:00:00",1133037,1596
"2023-04-02 00:00:00",1131441,1792
"2023-04-01 00:00:00",1129649,1718
"2023-03-31 00:00:00",1127931,1830
"2023-03-30 00:00:00",1126101,1707
"2023-03-29 00:00:00",1124394,1619
