Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,546","61,378",,
"Aug 14, 2022","1,700","114,063",,
"Aug 15, 2022","1,829","131,858",,
"Aug 16, 2022","1,950","136,446",,
"Aug 17, 2022","2,034","137,522",,
"Aug 18, 2022","2,100","140,195",,
"Aug 19, 2022","2,162","143,354",,
"Aug 20, 2022","2,188","142,160",,
"Aug 21, 2022","2,219","152,499",,
"Aug 22, 2022","2,255","154,298",,
"Aug 23, 2022","2,291","156,147",,
"Aug 24, 2022","2,318","156,661",,
"Aug 25, 2022","2,362","160,334",,
"Aug 26, 2022","2,395","161,070",,
"Aug 27, 2022","2,419","162,292",,
"Aug 28, 2022","2,440","162,849",,
"Aug 29, 2022","2,463","162,399",,
"Aug 30, 2022","2,485","163,114",,
"Aug 31, 2022","2,508","163,384",,
"Sep 01, 2022","2,540","164,712",,
"Sep 02, 2022","2,564","165,056",,
"Sep 03, 2022","2,575","165,637",,
"Sep 04, 2022","2,583","165,844",,
"Sep 05, 2022","2,602","166,266",,
"Sep 06, 2022","2,619","166,645",,
"Sep 07, 2022","2,637","167,731",,
"Sep 08, 2022","2,655","168,872",,
"Sep 09, 2022","2,673","169,558",,
"Sep 10, 2022","2,695","168,043",,
"Sep 11, 2022","2,715","170,708",,
"Sep 12, 2022","2,729","170,864",,
"Sep 13, 2022","2,746","171,687",,
"Sep 14, 2022","2,757","175,517",,
"Sep 15, 2022","2,774","185,828",,
"Sep 16, 2022","2,788","186,195",,
"Sep 17, 2022","2,797","186,649",,
"Sep 18, 2022","2,804","187,295",,
"Sep 19, 2022","2,829","188,421",,
"Sep 20, 2022","2,840","188,961",,
"Sep 21, 2022","2,853","189,592",,
"Sep 22, 2022","2,872","190,254",,
"Sep 23, 2022","2,884","191,639",,
"Sep 24, 2022","2,891","192,125",,
"Sep 25, 2022","2,906","196,477",,
"Sep 26, 2022","2,917","197,265",,
"Sep 27, 2022","2,929","198,126",,
"Sep 28, 2022","2,950","199,330",,
"Sep 29, 2022","2,960","200,253",,
"Sep 30, 2022","2,978","201,131",,
"Oct 01, 2022","2,991","201,449",,
"Oct 02, 2022","3,004","202,128",,
"Oct 03, 2022","3,012","202,627",,
"Oct 04, 2022","3,023","204,317",,
"Oct 05, 2022","3,042","205,235",,
"Oct 06, 2022","3,053","205,455",,
"Oct 07, 2022","3,072","206,836",,
"Oct 08, 2022","3,083","207,197",,
"Oct 09, 2022","3,106","207,684",,
"Oct 10, 2022","3,130","208,942",,
"Oct 11, 2022","3,147","209,643",,
"Oct 12, 2022","3,165","210,131",,
"Oct 13, 2022","3,185","211,277",,
"Oct 14, 2022","3,201","211,943",,
"Oct 15, 2022","3,216","213,055",,
"Oct 16, 2022","3,229","204,978",,
"Oct 17, 2022","3,240","205,887",,
"Oct 18, 2022","3,243","206,131",,
"Oct 19, 2022","3,263","206,816",,
"Oct 20, 2022","3,269","207,336",,
"Oct 21, 2022","3,273","208,159",,
"Oct 22, 2022","3,283","208,627",,
"Oct 23, 2022","3,293","211,019",,
"Oct 24, 2022","3,312","212,273",,
"Oct 25, 2022","3,326","213,192",,
"Oct 26, 2022","3,337","213,763",,
"Oct 27, 2022","3,351","214,569",,
"Oct 28, 2022","3,364","215,294",,
"Oct 29, 2022","3,369","215,685",,
"Oct 30, 2022","3,378","216,259",,
"Oct 31, 2022","3,391","216,491",,
"Nov 01, 2022","3,408","217,066",,
"Nov 02, 2022","3,417","218,168",,
"Nov 03, 2022","3,425","218,357",,
"Nov 04, 2022","3,436","218,658",,
"Nov 05, 2022","3,447","218,986",,
"Nov 06, 2022","3,452","219,203",,
"Nov 07, 2022","3,461","220,800",,
"Nov 08, 2022","3,475","221,109",,
"Nov 09, 2022","3,476","221,248",,
"Nov 10, 2022","3,487","221,689",,
"Nov 11, 2022","3,485","221,797",,
"Nov 12, 2022","3,480","221,791",,
"Nov 13, 2022","3,479","222,375",,
"Nov 14, 2022","3,482","222,586",,
"Nov 15, 2022","3,488","222,927",,
"Nov 16, 2022","3,489","223,201",,
"Nov 17, 2022","3,485","223,443",,
"Nov 18, 2022","3,411","223,046",,
"Nov 19, 2022","3,421","224,560",,
"Nov 20, 2022","3,445","223,738",,
"Nov 21, 2022","3,469","225,210",,
"Nov 22, 2022","3,499","226,744",,
"Nov 23, 2022","3,514","227,554",,
"Nov 24, 2022","3,537","228,248",,
"Nov 25, 2022","3,555","228,938",,
"Nov 26, 2022","3,565","227,824",,
"Nov 27, 2022","3,602","228,305",,
"Nov 28, 2022","3,641","230,618",,
"Nov 29, 2022","3,676","230,998",,
"Nov 30, 2022","3,704","231,373",,
"Dec 01, 2022","3,725","232,088",,
"Dec 02, 2022","3,733","231,493",,
"Dec 03, 2022","3,697","227,543",,
"Dec 04, 2022","3,701","230,155",,
"Dec 05, 2022","3,665","228,122",,
"Dec 06, 2022","3,679","231,966",,
"Dec 07, 2022","3,664","232,842",,
"Dec 08, 2022","3,659","230,318",,
"Dec 09, 2022","3,644","226,510",,
"Dec 10, 2022","3,653","252,785",,
"Dec 11, 2022","3,655","250,478",,
"Dec 12, 2022","3,669","252,652",,
"Dec 13, 2022","3,681","255,814",,
"Dec 14, 2022","3,683","269,198",,
"Dec 15, 2022","3,681","262,154",,
"Dec 16, 2022","3,697","266,762",,
"Dec 17, 2022","3,685","256,694",,
"Dec 18, 2022","3,698","263,749",,
"Dec 19, 2022","3,708","255,467",,
"Dec 20, 2022","3,718","253,182",,
"Dec 21, 2022","3,733","263,881",,
"Dec 22, 2022","3,736","263,806",,
"Dec 23, 2022","3,738","261,338",,
"Dec 24, 2022","3,699","247,749",,
"Dec 25, 2022","3,654","246,860",,
"Dec 26, 2022","3,605","254,961",,
"Dec 27, 2022","3,555","254,674",,
"Dec 28, 2022","3,519","265,744",,
"Dec 29, 2022","3,476","259,393",,
"Dec 30, 2022","3,462","253,005",,
"Dec 31, 2022","3,421","242,215",,
"Jan 01, 2023","3,384","251,732",,
"Jan 02, 2023","3,380","267,426",,
"Jan 03, 2023","3,344","271,640",,
"Jan 04, 2023","3,295","237,272",,
"Jan 05, 2023","3,227","169,748",,
"Jan 06, 2023","3,170","161,440",,
"Jan 07, 2023","3,169","161,462",,
"Jan 08, 2023","3,171","161,547",,
"Jan 09, 2023","3,169","160,052",,
"Jan 10, 2023","3,232","203,630",,
"Jan 11, 2023","3,290","284,615",,
"Jan 12, 2023","3,347","288,389",,
"Jan 13, 2023","3,393","292,678",,
"Jan 14, 2023","3,413","294,751",,
"Jan 15, 2023","3,455","296,986",,
"Jan 16, 2023","5,112","322,035",,
"Jan 17, 2023","5,125","322,744",,
"Jan 18, 2023","5,131","323,231",,
"Jan 19, 2023","5,145","324,208",,
"Jan 20, 2023","5,156","325,641",,
"Jan 21, 2023","5,169","327,935",,
"Jan 22, 2023","5,185","325,456",,
"Jan 23, 2023","5,203","326,895",,
"Jan 24, 2023","5,230","327,964",,
