"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",6207088,0
"2023-05-13 00:00:00",6207088,43159
"2023-05-12 00:00:00",6163929,22374
"2023-05-11 00:00:00",6141555,21073
"2023-05-10 00:00:00",6120482,20454
"2023-05-09 00:00:00",6100028,17113
"2023-05-08 00:00:00",6082915,20181
"2023-05-07 00:00:00",6062734,20181
"2023-05-06 00:00:00",6042553,26695
"2023-05-05 00:00:00",6015858,24401
"2023-05-04 00:00:00",5991457,0
"2023-05-03 00:00:00",5991457,33488
"2023-05-02 00:00:00",5957969,33488
"2023-05-01 00:00:00",5924481,20105
"2023-04-30 00:00:00",5904376,23928
"2023-04-29 00:00:00",5880448,22996
"2023-04-28 00:00:00",5857452,0
"2023-04-27 00:00:00",5857452,44714
"2023-04-26 00:00:00",5812738,20906
"2023-04-25 00:00:00",5791832,0
"2023-04-24 00:00:00",5791832,33317
"2023-04-23 00:00:00",5758515,0
"2023-04-22 00:00:00",5758515,41520
"2023-04-21 00:00:00",5716995,20828
"2023-04-20 00:00:00",5696167,21251
"2023-04-19 00:00:00",5674916,20769
"2023-04-18 00:00:00",5654147,0
"2023-04-17 00:00:00",5654147,35173
"2023-04-16 00:00:00",5618974,21377
"2023-04-15 00:00:00",5597597,22520
"2023-04-14 00:00:00",5575077,20772
"2023-04-13 00:00:00",5554305,20955
"2023-04-12 00:00:00",5533350,19398
"2023-04-11 00:00:00",5513952,16537
"2023-04-10 00:00:00",5497415,18049
"2023-04-09 00:00:00",5479366,19425
"2023-04-08 00:00:00",5459941,21497
"2023-04-07 00:00:00",5438444,21395
"2023-04-06 00:00:00",5417049,21382
"2023-04-05 00:00:00",5395667,0
"2023-04-04 00:00:00",5395667,38217
"2023-04-03 00:00:00",5357450,18422
"2023-04-02 00:00:00",5339028,21558
"2023-04-01 00:00:00",5317470,22786
"2023-03-31 00:00:00",5294684,22547
"2023-03-30 00:00:00",5272137,22424
"2023-03-29 00:00:00",5249713,22533
"2023-03-28 00:00:00",5227180,18874
"2023-03-27 00:00:00",5208306,20080
"2023-03-26 00:00:00",5188226,23233
"2023-03-25 00:00:00",5164993,23182
"2023-03-24 00:00:00",5141811,0
"2023-03-23 00:00:00",5141811,49179
"2023-03-22 00:00:00",5092632,24810
"2023-03-21 00:00:00",5067822,20951
"2023-03-20 00:00:00",5046871,22816
"2023-03-19 00:00:00",5024055,25844
"2023-03-18 00:00:00",4998211,0
"2023-03-17 00:00:00",4998211,52862
"2023-03-16 00:00:00",4945349,26055
"2023-03-15 00:00:00",4919294,27529
"2023-03-14 00:00:00",4891765,23516
"2023-03-13 00:00:00",4868249,25424
"2023-03-12 00:00:00",4842825,29588
"2023-03-11 00:00:00",4813237,30948
"2023-03-10 00:00:00",4782289,29879
"2023-03-09 00:00:00",4752410,30190
"2023-03-08 00:00:00",4722220,30100
"2023-03-07 00:00:00",4692120,23830
"2023-03-06 00:00:00",4668290,24711
"2023-03-05 00:00:00",4643579,27082
"2023-03-04 00:00:00",4616497,25138
"2023-03-03 00:00:00",4591359,24523
"2023-03-02 00:00:00",4566836,24285
"2023-03-01 00:00:00",4542551,24946
"2023-02-28 00:00:00",4517605,20149
"2023-02-27 00:00:00",4497456,20433
"2023-02-26 00:00:00",4477023,23421
"2023-02-25 00:00:00",4453602,28298
