Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Aug 13, 2022","1,359","56,477",,
"Aug 14, 2022","1,487","64,523",,
"Aug 15, 2022","1,571","71,492",,
"Aug 16, 2022","1,634","73,544",,
"Aug 17, 2022","1,700","74,165",,
"Aug 18, 2022","1,739","73,792",,
"Aug 19, 2022","1,778","74,592",,
"Aug 20, 2022","1,806","72,589",,
"Aug 21, 2022","1,831","83,505",,
"Aug 22, 2022","1,852","83,587",,
"Aug 23, 2022","1,872","84,139",,
"Aug 24, 2022","1,893","84,376",,
"Aug 25, 2022","1,915","84,869",,
"Aug 26, 2022","1,931","85,346",,
"Aug 27, 2022","1,947","85,783",,
"Aug 28, 2022","1,959","86,282",,
"Aug 29, 2022","1,970","85,613",,
"Aug 30, 2022","1,978","86,180",,
"Aug 31, 2022","1,989","86,324",,
"Sep 01, 2022","2,004","86,486",,
"Sep 02, 2022","2,017","86,685",,
"Sep 03, 2022","2,024","86,849",,
"Sep 04, 2022","2,029","86,913",,
"Sep 05, 2022","2,042","87,306",,
"Sep 06, 2022","2,053","87,723",,
"Sep 07, 2022","2,061","88,707",,
"Sep 08, 2022","2,074","89,137",,
"Sep 09, 2022","2,083","89,387",,
"Sep 10, 2022","2,090","89,792",,
"Sep 11, 2022","2,101","90,395",,
"Sep 12, 2022","2,116","91,227",,
"Sep 13, 2022","2,130","91,651",,
"Sep 14, 2022","2,138","92,144",,
"Sep 15, 2022","2,150","92,513",,
"Sep 16, 2022","2,161","92,772",,
"Sep 17, 2022","2,165","93,058",,
"Sep 18, 2022","2,174","93,339",,
"Sep 19, 2022","2,191","93,663",,
"Sep 20, 2022","2,202","94,107",,
"Sep 21, 2022","2,212","94,513",,
"Sep 22, 2022","2,225","95,968",,
"Sep 23, 2022","2,231","96,374",,
"Sep 24, 2022","2,234","97,031",,
"Sep 25, 2022","2,246","101,209",,
"Sep 26, 2022","2,252","101,539",,
"Sep 27, 2022","2,258","102,002",,
"Sep 28, 2022","2,265","102,175",,
"Sep 29, 2022","2,268","102,625",,
"Sep 30, 2022","2,277","103,291",,
"Oct 01, 2022","2,284","103,964",,
"Oct 02, 2022","2,290","104,169",,
"Oct 03, 2022","2,296","104,579",,
"Oct 04, 2022","2,304","105,908",,
"Oct 05, 2022","2,317","114,329",,
"Oct 06, 2022","2,317","114,519",,
"Oct 07, 2022","2,324","115,252",,
"Oct 08, 2022","2,334","115,495",,
"Oct 09, 2022","2,343","115,818",,
"Oct 10, 2022","2,349","116,977",,
"Oct 11, 2022","2,361","117,576",,
"Oct 12, 2022","2,368","117,885",,
"Oct 13, 2022","2,384","118,808",,
"Oct 14, 2022","2,390","119,344",,
"Oct 15, 2022","2,399","119,988",,
"Oct 16, 2022","2,406","120,225",,
"Oct 17, 2022","2,417","122,460",,
"Oct 18, 2022","2,417","122,620",,
"Oct 19, 2022","2,426","122,981",,
"Oct 20, 2022","2,434","123,444",,
"Oct 21, 2022","2,437","123,992",,
"Oct 22, 2022","2,437","124,337",,
"Oct 23, 2022","2,444","125,218",,
"Oct 24, 2022","2,451","125,847",,
"Oct 25, 2022","2,460","126,484",,
"Oct 26, 2022","2,461","126,811",,
