"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",56141618,336693
"2023-05-13 00:00:00",55804925,0
"2023-05-12 00:00:00",55804925,167148
"2023-05-11 00:00:00",55637777,165392
"2023-05-10 00:00:00",55472385,163986
"2023-05-09 00:00:00",55308399,144961
"2023-05-08 00:00:00",55163438,157644
"2023-05-07 00:00:00",55005794,181610
"2023-05-06 00:00:00",54824184,169723
"2023-05-05 00:00:00",54654461,167250
"2023-05-04 00:00:00",54487211,157681
"2023-05-03 00:00:00",54329530,151055
"2023-05-02 00:00:00",54178475,136571
"2023-05-01 00:00:00",54041904,147523
"2023-04-30 00:00:00",53894381,160229
"2023-04-29 00:00:00",53734152,159369
"2023-04-28 00:00:00",53574783,161581
"2023-04-27 00:00:00",53413202,155243
"2023-04-26 00:00:00",53257959,152956
"2023-04-25 00:00:00",53105003,133116
"2023-04-24 00:00:00",52971887,143925
"2023-04-23 00:00:00",52827962,160577
"2023-04-22 00:00:00",52667385,161122
"2023-04-21 00:00:00",52506263,157501
"2023-04-20 00:00:00",52348762,160149
"2023-04-19 00:00:00",52188613,157640
"2023-04-18 00:00:00",52030973,136592
"2023-04-17 00:00:00",51894381,147601
"2023-04-16 00:00:00",51746780,160267
"2023-04-15 00:00:00",51586513,159645
"2023-04-14 00:00:00",51426868,158028
"2023-04-13 00:00:00",51268840,159338
"2023-04-12 00:00:00",51109502,152185
"2023-04-11 00:00:00",50957317,135274
"2023-04-10 00:00:00",50822043,147351
"2023-04-09 00:00:00",50674692,156024
"2023-04-08 00:00:00",50518668,166499
"2023-04-07 00:00:00",50352169,167222
"2023-04-06 00:00:00",50184947,163144
"2023-04-05 00:00:00",50021803,160637
"2023-04-04 00:00:00",49861166,143000
"2023-04-03 00:00:00",49718166,152310
"2023-04-02 00:00:00",49565856,168164
"2023-04-01 00:00:00",49397692,169983
"2023-03-31 00:00:00",49227709,167557
"2023-03-30 00:00:00",49060152,165856
"2023-03-29 00:00:00",48894296,166493
"2023-03-28 00:00:00",48727803,148108
"2023-03-27 00:00:00",48579695,162350
"2023-03-26 00:00:00",48417345,181908
"2023-03-25 00:00:00",48235437,186457
"2023-03-24 00:00:00",48048980,187351
"2023-03-23 00:00:00",47861629,185687
"2023-03-22 00:00:00",47675942,182809
"2023-03-21 00:00:00",47493133,162397
"2023-03-20 00:00:00",47330736,177375
"2023-03-19 00:00:00",47153361,193169
"2023-03-18 00:00:00",46960192,192112
"2023-03-17 00:00:00",46768080,191708
"2023-03-16 00:00:00",46576372,189145
"2023-03-15 00:00:00",46387227,190771
"2023-03-14 00:00:00",46196456,175720
"2023-03-13 00:00:00",46020736,189262
"2023-03-12 00:00:00",45831474,205823
"2023-03-11 00:00:00",45625651,206249
"2023-03-10 00:00:00",45419402,202925
"2023-03-09 00:00:00",45216477,202287
"2023-03-08 00:00:00",45014190,202701
"2023-03-07 00:00:00",44811489,176951
"2023-03-06 00:00:00",44634538,184675
"2023-03-05 00:00:00",44449863,189155
"2023-03-04 00:00:00",44260708,172407
"2023-03-03 00:00:00",44088301,168246
"2023-03-02 00:00:00",43920055,167138
"2023-03-01 00:00:00",43752917,168908
"2023-02-28 00:00:00",43584009,148304
"2023-02-27 00:00:00",43435705,155454
"2023-02-26 00:00:00",43280251,169193
"2023-02-25 00:00:00",43111058,176112
"2023-02-24 00:00:00",42934946,180055
"2023-02-23 00:00:00",42754891,176897
"2023-02-22 00:00:00",42577994,166238
"2023-02-21 00:00:00",42411756,157051
"2023-02-20 00:00:00",42254705,170488
"2023-02-19 00:00:00",42084217,185992
