"DateTime","Spotify Streams","Change"
"2023-05-14 00:00:00",3600078,0
"2023-05-13 00:00:00",3600078,20125
"2023-05-12 00:00:00",3579953,10350
"2023-05-11 00:00:00",3569603,10150
"2023-05-10 00:00:00",3559453,10509
"2023-05-09 00:00:00",3548944,9169
"2023-05-08 00:00:00",3539775,11283
"2023-05-07 00:00:00",3528492,11283
"2023-05-06 00:00:00",3517209,14446
"2023-05-05 00:00:00",3502763,12613
"2023-05-04 00:00:00",3490150,12084
"2023-05-03 00:00:00",3478066,10817
"2023-05-02 00:00:00",3467250,10817
"2023-05-01 00:00:00",3456433,10388
"2023-04-30 00:00:00",3446045,11672
"2023-04-29 00:00:00",3434373,11251
"2023-04-28 00:00:00",3423122,0
"2023-04-27 00:00:00",3423122,22142
"2023-04-26 00:00:00",3400980,10358
"2023-04-25 00:00:00",3390622,0
"2023-04-24 00:00:00",3390622,17239
"2023-04-23 00:00:00",3373383,0
"2023-04-22 00:00:00",3373383,20479
"2023-04-21 00:00:00",3352904,10134
"2023-04-20 00:00:00",3342770,10257
"2023-04-19 00:00:00",3332513,10464
"2023-04-18 00:00:00",3322049,0
"2023-04-17 00:00:00",3322049,18511
"2023-04-16 00:00:00",3303538,10707
"2023-04-15 00:00:00",3292831,10589
"2023-04-14 00:00:00",3282242,10374
"2023-04-13 00:00:00",3271868,10595
"2023-04-12 00:00:00",3261273,9822
"2023-04-11 00:00:00",3251451,8787
"2023-04-10 00:00:00",3242664,9374
"2023-04-09 00:00:00",3233290,10086
"2023-04-08 00:00:00",3223204,10717
"2023-04-07 00:00:00",3212487,10696
"2023-04-06 00:00:00",3201791,11069
"2023-04-05 00:00:00",3190722,0
"2023-04-04 00:00:00",3190722,18714
"2023-04-03 00:00:00",3172008,9061
"2023-04-02 00:00:00",3162947,10253
"2023-04-01 00:00:00",3152694,10960
"2023-03-31 00:00:00",3141734,10940
"2023-03-30 00:00:00",3130794,10944
"2023-03-29 00:00:00",3119850,10923
"2023-03-28 00:00:00",3108927,9430
"2023-03-27 00:00:00",3099497,9790
"2023-03-26 00:00:00",3089707,11100
"2023-03-25 00:00:00",3078607,11614
"2023-03-24 00:00:00",3066993,0
"2023-03-23 00:00:00",3066993,24065
"2023-03-22 00:00:00",3042928,12405
"2023-03-21 00:00:00",3030523,10548
"2023-03-20 00:00:00",3019975,11438
"2023-03-19 00:00:00",3008537,13007
"2023-03-18 00:00:00",2995530,0
"2023-03-17 00:00:00",2995530,26488
"2023-03-16 00:00:00",2969042,12805
"2023-03-15 00:00:00",2956237,0
"2023-03-14 00:00:00",2956237,26687
"2023-03-13 00:00:00",2929550,12542
"2023-03-12 00:00:00",2917008,14312
"2023-03-11 00:00:00",2902696,14570
"2023-03-10 00:00:00",2888126,15007
"2023-03-09 00:00:00",2873119,15365
"2023-03-08 00:00:00",2857754,15393
"2023-03-07 00:00:00",2842361,12462
"2023-03-06 00:00:00",2829899,12866
"2023-03-05 00:00:00",2817033,14354
"2023-03-04 00:00:00",2802679,12659
"2023-03-03 00:00:00",2790020,12069
"2023-03-02 00:00:00",2777951,12498
"2023-03-01 00:00:00",2765453,12538
"2023-02-28 00:00:00",2752915,10315
"2023-02-27 00:00:00",2742600,10347
"2023-02-26 00:00:00",2732253,12029
"2023-02-25 00:00:00",2720224,14229
"2023-02-24 00:00:00",2705995,14545
"2023-02-23 00:00:00",2691450,14306
"2023-02-22 00:00:00",2677144,12029
"2023-02-21 00:00:00",2665115,11208
"2023-02-20 00:00:00",2653907,11313
"2023-02-19 00:00:00",2642594,13251
"2023-02-18 00:00:00",2629343,0
"2023-02-17 00:00:00",2629343,26371
"2023-02-16 00:00:00",2602972,12731
"2023-02-15 00:00:00",2590241,12392
"2023-02-14 00:00:00",2577849,0
"2023-02-13 00:00:00",2577849,21919
"2023-02-12 00:00:00",2555930,13923
"2023-02-11 00:00:00",2542007,13818
"2023-02-10 00:00:00",2528189,13853
"2023-02-09 00:00:00",2514336,13706
"2023-02-08 00:00:00",2500630,13819
"2023-02-07 00:00:00",2486811,0
"2023-02-06 00:00:00",2486811,22594
"2023-02-05 00:00:00",2464217,13154
"2023-02-04 00:00:00",2451063,13180
"2023-02-03 00:00:00",2437883,13359
"2023-02-02 00:00:00",2424524,12813
"2023-02-01 00:00:00",2411711,13018
"2023-01-31 00:00:00",2398693,10457
"2023-01-30 00:00:00",2388236,10725
"2023-01-29 00:00:00",2377511,13331
"2023-01-28 00:00:00",2364181,13331
"2023-01-27 00:00:00",2350850,13584
"2023-01-26 00:00:00",2337266,13914
"2023-01-25 00:00:00",2323352,13540
"2023-01-24 00:00:00",2309812,10972
"2023-01-23 00:00:00",2298840,11059
"2023-01-22 00:00:00",2287781,0
"2023-01-21 00:00:00",2287781,26127
"2023-01-20 00:00:00",2261654,12768
"2023-01-19 00:00:00",2248886,12718
"2023-01-18 00:00:00",2236168,10706
"2023-01-17 00:00:00",2225462,10262
"2023-01-16 00:00:00",2215200,10215
"2023-01-15 00:00:00",2204985,13007
"2023-01-14 00:00:00",2191978,12644
"2023-01-13 00:00:00",2179334,12945
"2023-01-12 00:00:00",2166389,12914
"2023-01-11 00:00:00",2153475,12800
"2023-01-10 00:00:00",2140675,10524
"2023-01-09 00:00:00",2130151,10301
"2023-01-08 00:00:00",2119850,11797
"2023-01-07 00:00:00",2108053,12180
"2023-01-06 00:00:00",2095873,11794
"2023-01-05 00:00:00",2084079,11115
"2023-01-04 00:00:00",2072964,10249
"2023-01-03 00:00:00",2062715,8883
"2023-01-02 00:00:00",2053832,10144
"2023-01-01 00:00:00",2043688,10231
"2022-12-31 00:00:00",2033457,10360
"2022-12-30 00:00:00",2023097,0
"2022-12-29 00:00:00",2023097,20873
"2022-12-28 00:00:00",2002224,9688
"2022-12-27 00:00:00",1992536,8945
"2022-12-26 00:00:00",1983591,9782
"2022-12-25 00:00:00",1973809,10465
"2022-12-24 00:00:00",1963344,11112
"2022-12-23 00:00:00",1952232,11133
"2022-12-22 00:00:00",1941099,11155
"2022-12-21 00:00:00",1929944,10592
"2022-12-20 00:00:00",1919352,9509
"2022-12-19 00:00:00",1909843,10092
"2022-12-18 00:00:00",1899751,11806
"2022-12-17 00:00:00",1887945,12104
"2022-12-16 00:00:00",1875842,12104
"2022-12-15 00:00:00",1863738,12481
