Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 25, 2023",387,"2,221,125",,
"Feb 26, 2023",429,"2,238,523",1,55
"Feb 27, 2023",446,"2,464,149",1,55
"Mar 01, 2023",402,"2,461,256",1,55
"Mar 02, 2023",509,"2,543,788",1,55
"Mar 03, 2023",615,"2,556,095",1,55
"Mar 04, 2023",675,"2,577,444",1,55
"Mar 05, 2023",772,"2,577,238",1,55
"Mar 06, 2023",832,"2,589,645",1,55
"Mar 07, 2023",926,"2,594,080",1,55
"Mar 08, 2023",984,"2,595,308",1,55
"Mar 09, 2023","1,048","2,595,310",1,55
"Mar 10, 2023","1,110","2,591,419",1,55
"Mar 11, 2023","1,195","2,625,344",1,55
"Mar 12, 2023","1,261","2,627,498",1,55
"Mar 13, 2023","1,311","2,627,986",1,55
"Mar 14, 2023","1,364","2,630,842",1,55
"Mar 15, 2023","1,434","2,635,785",1,55
"Mar 16, 2023","1,498","2,636,975",1,55
"Mar 17, 2023","1,592","2,639,333",1,55
"Mar 18, 2023","1,699","2,644,435",1,55
"Mar 19, 2023","1,820","2,648,125",1,55
"Mar 20, 2023","1,891","2,652,716",1,55
"Mar 21, 2023","1,985","2,645,492",1,55
"Mar 22, 2023","2,056","2,648,000",1,55
"Mar 23, 2023","2,185","2,650,443",1,55
"Mar 24, 2023","2,299","2,651,719",1,55
"Mar 25, 2023","2,502","2,653,254",1,55
"Mar 26, 2023","2,532","2,657,924",1,55
"Mar 27, 2023","2,567","2,658,716",1,55
"Mar 28, 2023","2,601","2,659,367",1,55
"Mar 29, 2023","2,635","2,659,790",1,55
"Mar 30, 2023","2,663","2,660,952",1,55
"Mar 31, 2023","2,684","2,661,357",1,55
"Apr 01, 2023","2,715","2,661,936",1,55
"Apr 02, 2023","2,736","2,662,183",1,55
"Apr 03, 2023","2,750","2,660,914",1,55
"Apr 04, 2023","2,771","2,669,677",1,55
"Apr 05, 2023","2,786","2,669,839",1,55
"Apr 06, 2023","2,805","2,670,174",1,55
"Apr 07, 2023","2,817","2,670,861",1,55
"Apr 08, 2023","2,836","2,671,218",1,55
"Apr 09, 2023","2,860","2,672,116",1,55
"Apr 10, 2023","2,879","2,672,394",1,55
"Apr 11, 2023","2,902","2,675,450",1,55
"Apr 12, 2023","2,918","2,675,707",1,55
"Apr 13, 2023","2,936","2,676,039",1,55
"Apr 14, 2023","2,955","2,676,334",1,55
"Apr 15, 2023","2,964","2,677,195",1,55
"Apr 16, 2023","2,984","2,677,762",1,55
"Apr 17, 2023","2,993","2,678,208",1,55
"Apr 18, 2023","3,001","2,678,675",1,55
"Apr 19, 2023","3,036","2,679,601",1,55
"Apr 20, 2023","3,060","2,680,054",1,55
"Apr 21, 2023","3,081","2,680,461",1,55
"Apr 22, 2023","3,090","2,682,393",1,55
"Apr 23, 2023","3,099","2,682,552",1,55
"Apr 24, 2023","3,112","2,682,705",1,55
"Apr 25, 2023","3,126","2,682,991",1,55
"Apr 26, 2023","3,141","2,683,197",1,55
"Apr 27, 2023","3,159","2,683,762",1,55
"Apr 28, 2023","3,172","2,679,563",1,55
"Apr 29, 2023","3,181","2,680,219",1,55
"Apr 30, 2023","3,202","2,675,191",1,55
"May 01, 2023","3,212","2,610,333",1,55
"May 02, 2023","3,227","2,699,195",1,55
"May 03, 2023","3,234","2,699,625",1,55
"May 04, 2023","3,248","2,699,909",1,55
"May 05, 2023","3,256","2,699,071",1,55
"May 06, 2023","3,272","2,700,219",1,55
"May 07, 2023","3,279","2,700,543",1,55
"May 08, 2023","3,281","2,700,822",1,55
"May 09, 2023","3,289","2,701,144",1,55
"May 10, 2023","3,299","2,701,861",1,55
"May 11, 2023","3,317","2,706,444",1,55
"May 12, 2023","3,333","2,707,114",1,55
"May 13, 2023","3,352","2,707,905",1,55
"May 14, 2023","3,373","2,707,066",1,55
"May 15, 2023","3,380","2,708,607",1,55
"May 16, 2023","3,385","2,710,101",1,55
"May 17, 2023","3,395","2,710,316",1,55
Invalid date,,,,
