"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",4924059,21081
"2023-05-16 00:00:00",4902979,21081
"2023-05-15 00:00:00",4881898,21445
"2023-05-14 00:00:00",4860453,47001
"2023-05-13 00:00:00",4813452,0
"2023-05-12 00:00:00",4813452,23535
"2023-05-11 00:00:00",4789917,0
"2023-05-10 00:00:00",4789917,47343
"2023-05-09 00:00:00",4742574,10619
"2023-05-08 00:00:00",4731956,10619
"2023-05-07 00:00:00",4721337,47896
"2023-05-06 00:00:00",4673441,26839
"2023-05-05 00:00:00",4646602,0
"2023-05-04 00:00:00",4646602,27878
"2023-05-03 00:00:00",4618724,57061
"2023-05-02 00:00:00",4561663,27407
"2023-05-01 00:00:00",4534256,30293
"2023-04-30 00:00:00",4503964,30293
"2023-04-29 00:00:00",4473671,32179
"2023-04-28 00:00:00",4441492,31606
"2023-04-27 00:00:00",4409886,0
"2023-04-26 00:00:00",4409886,59763
"2023-04-25 00:00:00",4350123,23822
"2023-04-24 00:00:00",4326301,26230
"2023-04-23 00:00:00",4300071,28530
"2023-04-22 00:00:00",4271541,29552
"2023-04-21 00:00:00",4241989,30208
"2023-04-20 00:00:00",4211781,30208
"2023-04-19 00:00:00",4181573,15251
"2023-04-18 00:00:00",4166322,15251
"2023-04-17 00:00:00",4151071,57077
"2023-04-16 00:00:00",4093994,33392
"2023-04-15 00:00:00",4060602,34933
"2023-04-14 00:00:00",4025669,35977
"2023-04-13 00:00:00",3989692,35034
"2023-04-12 00:00:00",3954658,34389
"2023-04-11 00:00:00",3920269,31401
"2023-04-10 00:00:00",3888868,34728
"2023-04-09 00:00:00",3854140,0
"2023-04-08 00:00:00",3854140,76845
"2023-04-07 00:00:00",3777295,38634
"2023-04-06 00:00:00",3738661,36669
"2023-04-05 00:00:00",3701992,35932
"2023-04-04 00:00:00",3666060,0
"2023-04-03 00:00:00",3666060,66931
"2023-04-02 00:00:00",3599129,0
"2023-04-01 00:00:00",3599129,81357
"2023-03-31 00:00:00",3517772,42889
"2023-03-30 00:00:00",3474883,42431
"2023-03-29 00:00:00",3432452,43823
"2023-03-28 00:00:00",3388629,39671
"2023-03-27 00:00:00",3348958,43129
"2023-03-26 00:00:00",3305829,48085
"2023-03-25 00:00:00",3257744,50693
"2023-03-24 00:00:00",3207051,55544
"2023-03-23 00:00:00",3151507,0
"2023-03-22 00:00:00",3151507,115911
"2023-03-21 00:00:00",3035596,53333
"2023-03-20 00:00:00",2982263,56349
"2023-03-19 00:00:00",2925914,61569
"2023-03-18 00:00:00",2864345,0
"2023-03-17 00:00:00",2864345,128770
"2023-03-16 00:00:00",2735575,69312
"2023-03-15 00:00:00",2666263,72627
"2023-03-14 00:00:00",2593636,66459
"2023-03-13 00:00:00",2527177,73960
"2023-03-12 00:00:00",2453217,0
"2023-03-11 00:00:00",2453217,180902
"2023-03-10 00:00:00",2272315,98362
"2023-03-09 00:00:00",2173953,104703
"2023-03-08 00:00:00",2069250,0
"2023-03-07 00:00:00",2069250,219274
"2023-03-06 00:00:00",1849976,0
"2023-03-05 00:00:00",1849976,305368
"2023-03-04 00:00:00",1544608,182705
"2023-03-03 00:00:00",1361903,203355
"2023-03-02 00:00:00",1158548,203778
"2023-03-01 00:00:00",954770,210997
"2023-02-28 00:00:00",743773,188580
"2023-02-27 00:00:00",555193,248156
"2023-02-26 00:00:00",307037,0
