"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",3389018,13325
"2023-05-16 00:00:00",3375693,13325
"2023-05-15 00:00:00",3362368,13353
"2023-05-14 00:00:00",3349015,29863
"2023-05-13 00:00:00",3319152,0
"2023-05-12 00:00:00",3319152,15345
"2023-05-11 00:00:00",3303807,0
"2023-05-10 00:00:00",3303807,29124
"2023-05-09 00:00:00",3274683,6299
"2023-05-08 00:00:00",3268385,6299
"2023-05-07 00:00:00",3262086,29291
"2023-05-06 00:00:00",3232795,16896
"2023-05-05 00:00:00",3215899,0
"2023-05-04 00:00:00",3215899,16240
"2023-05-03 00:00:00",3199659,32181
"2023-05-02 00:00:00",3167478,14219
"2023-05-01 00:00:00",3153259,15959
"2023-04-30 00:00:00",3137301,15959
"2023-04-29 00:00:00",3121342,17566
"2023-04-28 00:00:00",3103776,17946
"2023-04-27 00:00:00",3085830,0
"2023-04-26 00:00:00",3085830,36031
"2023-04-25 00:00:00",3049799,15346
"2023-04-24 00:00:00",3034453,16562
"2023-04-23 00:00:00",3017891,18139
"2023-04-22 00:00:00",2999752,19056
"2023-04-21 00:00:00",2980696,19328
"2023-04-20 00:00:00",2961368,19328
"2023-04-19 00:00:00",2942040,9441
"2023-04-18 00:00:00",2932600,9441
"2023-04-17 00:00:00",2923159,34012
"2023-04-16 00:00:00",2889147,19860
"2023-04-15 00:00:00",2869287,20500
"2023-04-14 00:00:00",2848787,20962
"2023-04-13 00:00:00",2827825,21423
"2023-04-12 00:00:00",2806402,20630
"2023-04-11 00:00:00",2785772,17845
"2023-04-10 00:00:00",2767927,20620
"2023-04-09 00:00:00",2747307,0
"2023-04-08 00:00:00",2747307,47927
"2023-04-07 00:00:00",2699380,26308
"2023-04-06 00:00:00",2673072,24319
"2023-04-05 00:00:00",2648753,24187
"2023-04-04 00:00:00",2624566,0
"2023-04-03 00:00:00",2624566,44619
"2023-04-02 00:00:00",2579947,0
"2023-04-01 00:00:00",2579947,55679
"2023-03-31 00:00:00",2524268,28527
"2023-03-30 00:00:00",2495741,28376
"2023-03-29 00:00:00",2467365,29755
"2023-03-28 00:00:00",2437610,26733
"2023-03-27 00:00:00",2410877,29016
"2023-03-26 00:00:00",2381861,32155
"2023-03-25 00:00:00",2349706,34567
"2023-03-24 00:00:00",2315139,38792
"2023-03-23 00:00:00",2276347,0
"2023-03-22 00:00:00",2276347,79427
"2023-03-21 00:00:00",2196920,35480
"2023-03-20 00:00:00",2161440,38715
"2023-03-19 00:00:00",2122725,44860
"2023-03-18 00:00:00",2077865,47386
"2023-03-17 00:00:00",2030479,49462
"2023-03-16 00:00:00",1981017,52298
"2023-03-15 00:00:00",1928719,54736
"2023-03-14 00:00:00",1873983,49537
"2023-03-13 00:00:00",1824446,56145
"2023-03-12 00:00:00",1768301,0
"2023-03-11 00:00:00",1768301,136739
"2023-03-10 00:00:00",1631562,76034
"2023-03-09 00:00:00",1555528,76523
"2023-03-08 00:00:00",1479005,0
"2023-03-07 00:00:00",1479005,156997
"2023-03-06 00:00:00",1322008,0
"2023-03-05 00:00:00",1322008,215599
"2023-03-04 00:00:00",1106409,133626
"2023-03-03 00:00:00",972783,147755
"2023-03-02 00:00:00",825028,140056
"2023-03-01 00:00:00",684972,144841
"2023-02-28 00:00:00",540131,131916
"2023-02-27 00:00:00",408215,178639
"2023-02-26 00:00:00",229576,0
