Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 25, 2023",406,"1,404,553",,
"Feb 26, 2023",448,"1,421,179",1,55
"Feb 27, 2023",473,"1,449,051",1,55
"Mar 01, 2023",434,"1,453,938",1,55
"Mar 02, 2023",546,"1,525,844",1,55
"Mar 03, 2023",637,"392,476",1,55
"Mar 04, 2023",728,"418,104",1,55
"Mar 05, 2023",825,"413,955",1,55
"Mar 06, 2023",897,"407,790",1,55
"Mar 07, 2023","1,002","413,347",1,55
"Mar 08, 2023","1,083","415,334",1,55
"Mar 09, 2023","1,150","416,622",1,55
"Mar 10, 2023","1,227","419,949",1,55
"Mar 11, 2023","1,304","424,045",1,55
"Mar 12, 2023","1,383","430,654",1,55
"Mar 13, 2023","1,453","435,423",1,55
"Mar 14, 2023","1,523","441,793",1,55
"Mar 15, 2023","1,609","446,429",1,55
"Mar 16, 2023","1,684","448,387",1,55
"Mar 17, 2023","1,804","451,639",1,55
"Mar 18, 2023","1,942","521,697",1,55
"Mar 19, 2023","2,075","523,370",1,55
"Mar 20, 2023","2,173","526,082",1,55
"Mar 21, 2023","2,293","461,098",1,55
"Mar 22, 2023","2,388","465,194",1,55
"Mar 23, 2023","2,540","467,468",1,55
"Mar 24, 2023","2,674","468,146",1,55
"Mar 25, 2023","2,916","474,171",1,55
"Mar 26, 2023","2,958","475,793",1,55
"Mar 27, 2023","2,995","477,076",1,55
"Mar 28, 2023","3,054","477,836",1,55
"Mar 29, 2023","3,090","478,585",1,55
"Mar 30, 2023","3,144","482,116",1,55
"Mar 31, 2023","3,197","487,015",1,55
"Apr 01, 2023","3,251","494,550",1,55
"Apr 02, 2023","3,282","494,057",1,55
"Apr 03, 2023","3,309","493,616",1,55
"Apr 04, 2023","3,332","494,046",1,55
"Apr 05, 2023","3,352","494,024",1,55
"Apr 06, 2023","3,383","494,852",1,55
"Apr 07, 2023","3,405","495,862",1,55
"Apr 08, 2023","3,428","499,677",1,55
"Apr 09, 2023","3,455","501,826",1,55
"Apr 10, 2023","3,484","502,329",1,55
"Apr 11, 2023","3,518","504,036",1,55
"Apr 12, 2023","3,549","506,227",1,55
"Apr 13, 2023","3,570","579,115",1,55
"Apr 14, 2023","3,593","579,583",1,55
"Apr 15, 2023","3,613","581,978",1,55
"Apr 16, 2023","3,646","583,139",1,55
"Apr 17, 2023","3,676","586,414",1,55
"Apr 18, 2023","3,703","586,931",1,55
"Apr 19, 2023","3,736","587,603",1,55
"Apr 20, 2023","3,751","588,447",1,55
"Apr 21, 2023","3,780","607,645",1,55
"Apr 22, 2023","3,786","608,235",1,55
"Apr 23, 2023","3,794","610,260",1,55
"Apr 24, 2023","3,811","611,556",1,55
"Apr 25, 2023","3,831","612,605",1,55
"Apr 26, 2023","3,855","613,393",1,55
"Apr 27, 2023","3,874","614,467",1,55
"Apr 28, 2023","3,892","614,935",1,55
"Apr 29, 2023","3,912","615,310",1,55
"Apr 30, 2023","3,935","636,561",1,55
"May 01, 2023","3,948","572,238",1,55
"May 02, 2023","3,964","661,137",1,55
"May 03, 2023","3,978","661,724",1,55
"May 04, 2023","3,999","659,702",1,55
"May 05, 2023","4,009","662,963",1,55
"May 06, 2023","4,034","663,372",1,55
"May 07, 2023","4,048","657,439",1,55
"May 08, 2023","4,059","657,845",1,55
"May 09, 2023","4,067","658,204",1,55
"May 10, 2023","4,081","659,453",1,55
"May 11, 2023","4,091","660,111",1,55
"May 12, 2023","4,105","660,609",1,55
"May 13, 2023","4,132","663,007",1,55
"May 14, 2023","4,145","662,158",1,55
"May 15, 2023","4,165","663,876",1,55
"May 16, 2023","4,174","664,340",1,55
"May 17, 2023","4,184","645,167",1,55
Invalid date,,,,
