"DateTime","Spotify Streams","Change"
"2023-05-17 00:00:00",5151355,21495
"2023-05-16 00:00:00",5129860,21495
"2023-05-15 00:00:00",5108365,21551
"2023-05-14 00:00:00",5086814,48180
"2023-05-13 00:00:00",5038634,0
"2023-05-12 00:00:00",5038634,25055
"2023-05-11 00:00:00",5013579,0
"2023-05-10 00:00:00",5013579,48037
"2023-05-09 00:00:00",4965542,10693
"2023-05-08 00:00:00",4954850,10693
"2023-05-07 00:00:00",4944157,47682
"2023-05-06 00:00:00",4896475,26505
"2023-05-05 00:00:00",4869970,0
"2023-05-04 00:00:00",4869970,26784
"2023-05-03 00:00:00",4843186,52551
"2023-05-02 00:00:00",4790635,23202
"2023-05-01 00:00:00",4767433,26298
"2023-04-30 00:00:00",4741135,26298
"2023-04-29 00:00:00",4714837,28641
"2023-04-28 00:00:00",4686196,29094
"2023-04-27 00:00:00",4657102,0
"2023-04-26 00:00:00",4657102,58381
"2023-04-25 00:00:00",4598721,24533
"2023-04-24 00:00:00",4574188,26285
"2023-04-23 00:00:00",4547903,28805
"2023-04-22 00:00:00",4519098,0
"2023-04-21 00:00:00",4519098,45936
"2023-04-20 00:00:00",4473163,45936
"2023-04-19 00:00:00",4427227,15385
"2023-04-18 00:00:00",4411842,15385
"2023-04-17 00:00:00",4396457,55702
"2023-04-16 00:00:00",4340755,32637
"2023-04-15 00:00:00",4308118,32901
"2023-04-14 00:00:00",4275217,33829
"2023-04-13 00:00:00",4241388,33865
"2023-04-12 00:00:00",4207523,33460
"2023-04-11 00:00:00",4174063,29182
"2023-04-10 00:00:00",4144881,32652
"2023-04-09 00:00:00",4112229,0
"2023-04-08 00:00:00",4112229,75879
"2023-04-07 00:00:00",4036350,40572
"2023-04-06 00:00:00",3995778,38350
"2023-04-05 00:00:00",3957428,37355
"2023-04-04 00:00:00",3920073,0
"2023-04-03 00:00:00",3920073,68027
"2023-04-02 00:00:00",3852046,0
"2023-04-01 00:00:00",3852046,83233
"2023-03-31 00:00:00",3768813,44251
"2023-03-30 00:00:00",3724562,44057
"2023-03-29 00:00:00",3680505,45431
"2023-03-28 00:00:00",3635074,40671
"2023-03-27 00:00:00",3594403,44531
"2023-03-26 00:00:00",3549872,49138
"2023-03-25 00:00:00",3500734,51876
"2023-03-24 00:00:00",3448858,56058
"2023-03-23 00:00:00",3392800,0
"2023-03-22 00:00:00",3392800,118164
"2023-03-21 00:00:00",3274636,52334
"2023-03-20 00:00:00",3222302,55711
"2023-03-19 00:00:00",3166591,62637
"2023-03-18 00:00:00",3103954,0
"2023-03-17 00:00:00",3103954,135394
"2023-03-16 00:00:00",2968560,73148
"2023-03-15 00:00:00",2895412,75911
"2023-03-14 00:00:00",2819501,68941
"2023-03-13 00:00:00",2750560,77856
"2023-03-12 00:00:00",2672704,0
"2023-03-11 00:00:00",2672704,188244
"2023-03-10 00:00:00",2484460,103056
"2023-03-09 00:00:00",2381404,109075
"2023-03-08 00:00:00",2272329,0
"2023-03-07 00:00:00",2272329,222271
"2023-03-06 00:00:00",2050058,0
"2023-03-05 00:00:00",2050058,315619
"2023-03-04 00:00:00",1734439,195235
"2023-03-03 00:00:00",1539204,224225
"2023-03-02 00:00:00",1314979,215086
"2023-03-01 00:00:00",1099893,227554
"2023-02-28 00:00:00",872339,205762
"2023-02-27 00:00:00",666577,281077
"2023-02-26 00:00:00",385500,0
