Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 25, 2023",565,"401,492",,
"Feb 26, 2023",617,"485,971",1,55
"Feb 27, 2023",647,"520,088",1,55
"Mar 01, 2023",592,"521,184",1,55
"Mar 02, 2023",749,"597,867",1,55
"Mar 03, 2023",902,"611,033",1,55
"Mar 04, 2023","1,023","640,347",1,55
"Mar 05, 2023","1,174","650,344",1,55
"Mar 06, 2023","1,276","657,813",1,55
"Mar 07, 2023","1,412","671,955",2,274
"Mar 08, 2023","1,516","685,669",2,274
"Mar 09, 2023","1,611","1,418,308",2,274
"Mar 10, 2023","1,702","1,424,353",1,55
"Mar 11, 2023","1,833","1,431,175",1,55
"Mar 12, 2023","1,923","1,437,390",1,55
"Mar 13, 2023","2,026","1,443,580",1,55
"Mar 14, 2023","2,119","1,450,529",1,55
"Mar 15, 2023","2,247","1,455,600",1,55
"Mar 16, 2023","2,332","1,462,326",1,55
"Mar 17, 2023","2,479","1,465,816",1,55
"Mar 18, 2023","2,661","1,468,277",1,55
"Mar 19, 2023","2,825","1,467,350",1,55
"Mar 20, 2023","2,947","1,460,030",1,55
"Mar 21, 2023","3,098","1,464,191",1,55
"Mar 22, 2023","3,238","1,467,328",1,55
"Mar 23, 2023","3,423","1,481,536",1,55
"Mar 24, 2023","3,608","1,485,037",1,55
"Mar 25, 2023","3,930","758,017",1,55
"Mar 26, 2023","3,992","762,483",1,55
"Mar 27, 2023","4,059","764,975",1,55
"Mar 28, 2023","4,127","766,026",1,55
"Mar 29, 2023","4,183","768,444",1,55
"Mar 30, 2023","4,256","771,153",1,55
"Mar 31, 2023","4,312","772,507",1,55
"Apr 01, 2023","4,375","767,920",1,55
"Apr 02, 2023","4,418","767,943",1,55
"Apr 03, 2023","4,459","767,594",1,55
"Apr 04, 2023","4,493","769,035",1,55
"Apr 05, 2023","4,521","768,086",1,55
"Apr 06, 2023","4,564","768,673",1,55
"Apr 07, 2023","4,600","770,249",1,55
"Apr 08, 2023","4,640","770,362",1,55
"Apr 09, 2023","4,677","771,414",1,55
"Apr 10, 2023","4,712","768,860",1,55
"Apr 11, 2023","4,753","769,646",1,55
"Apr 12, 2023","4,780","771,975",1,55
"Apr 13, 2023","4,805","772,445",1,55
"Apr 14, 2023","4,836","775,125",1,55
"Apr 15, 2023","4,867","776,394",1,55
"Apr 16, 2023","4,905","778,165",1,55
"Apr 17, 2023","4,929","777,588",1,55
"Apr 18, 2023","4,964","778,354",1,55
"Apr 19, 2023","5,022","779,963",1,55
"Apr 20, 2023","5,056","784,893",1,55
"Apr 21, 2023","5,103","786,327",1,55
"Apr 22, 2023","5,128","793,287",1,55
"Apr 23, 2023","5,156","793,814",1,55
"Apr 24, 2023","5,194","795,294",1,55
"Apr 25, 2023","5,214","795,845",1,55
"Apr 26, 2023","5,251","797,764",1,55
"Apr 27, 2023","5,269","798,366",1,55
"Apr 28, 2023","5,302","800,061",1,55
"Apr 29, 2023","5,328","800,304",1,55
"Apr 30, 2023","5,353","795,326",1,55
"May 01, 2023","5,384","730,554",1,55
"May 02, 2023","5,408","819,594",1,55
"May 03, 2023","5,430","954,088",1,55
"May 04, 2023","5,456","958,224",1,55
"May 05, 2023","5,478","958,215",1,55
"May 06, 2023","5,496","958,565",1,55
"May 07, 2023","5,523","960,547",1,55
"May 08, 2023","5,537","960,723",1,55
"May 09, 2023","5,543","960,831",1,55
"May 10, 2023","5,556","954,721",1,55
"May 11, 2023","5,577","955,414",1,55
"May 12, 2023","5,604","956,836",1,55
"May 13, 2023","5,633","957,634",1,55
"May 14, 2023","5,667","940,989",1,55
"May 15, 2023","5,693","942,683",1,55
"May 16, 2023","5,710","938,321",1,55
"May 17, 2023","5,725","938,449",1,55
Invalid date,,,,
