"DateTime","Spotify Streams","Change"
"2023-05-18 00:00:00",12857165,73359
"2023-05-17 00:00:00",12783806,72096
"2023-05-16 00:00:00",12711710,64757
"2023-05-15 00:00:00",12646953,70942
"2023-05-14 00:00:00",12576011,156899
"2023-05-13 00:00:00",12419112,0
"2023-05-12 00:00:00",12419112,90393
"2023-05-11 00:00:00",12328719,85403
"2023-05-10 00:00:00",12243316,83863
"2023-05-09 00:00:00",12159453,73056
"2023-05-08 00:00:00",12086397,80617
"2023-05-07 00:00:00",12005780,86359
"2023-05-06 00:00:00",11919421,91053
"2023-05-05 00:00:00",11828368,0
"2023-05-04 00:00:00",11828368,166998
"2023-05-03 00:00:00",11661370,80404
"2023-05-02 00:00:00",11580966,74886
"2023-05-01 00:00:00",11506080,82291
"2023-04-30 00:00:00",11423789,87884
"2023-04-29 00:00:00",11335905,90231
"2023-04-28 00:00:00",11245674,93122
"2023-04-27 00:00:00",11152552,91241
"2023-04-26 00:00:00",11061311,87396
"2023-04-25 00:00:00",10973915,71683
"2023-04-24 00:00:00",10902232,80238
"2023-04-23 00:00:00",10821994,85772
"2023-04-22 00:00:00",10736222,91037
"2023-04-21 00:00:00",10645185,90242
"2023-04-20 00:00:00",10554943,91753
"2023-04-19 00:00:00",10463190,87935
"2023-04-18 00:00:00",10375255,0
"2023-04-17 00:00:00",10375255,162904
"2023-04-16 00:00:00",10212351,93296
"2023-04-15 00:00:00",10119055,95782
"2023-04-14 00:00:00",10023273,94154
"2023-04-13 00:00:00",9929119,97776
"2023-04-12 00:00:00",9831343,89144
"2023-04-11 00:00:00",9742199,83510
"2023-04-10 00:00:00",9658689,97735
"2023-04-09 00:00:00",9560954,100953
"2023-04-08 00:00:00",9460001,107463
"2023-04-07 00:00:00",9352538,101714
"2023-04-06 00:00:00",9250824,98539
"2023-04-05 00:00:00",9152285,96183
"2023-04-04 00:00:00",9056102,85920
"2023-04-03 00:00:00",8970182,96692
"2023-04-02 00:00:00",8873490,106100
"2023-04-01 00:00:00",8767390,110840
"2023-03-31 00:00:00",8656550,109270
"2023-03-30 00:00:00",8547280,107668
"2023-03-29 00:00:00",8439612,110270
"2023-03-28 00:00:00",8329342,100193
"2023-03-27 00:00:00",8229149,111273
"2023-03-26 00:00:00",8117876,124667
"2023-03-25 00:00:00",7993209,128890
"2023-03-24 00:00:00",7864319,156589
"2023-03-23 00:00:00",7707730,157208
"2023-03-22 00:00:00",7550522,157306
"2023-03-21 00:00:00",7393216,143123
"2023-03-20 00:00:00",7250093,162356
"2023-03-19 00:00:00",7087737,181208
"2023-03-18 00:00:00",6906529,185940
"2023-03-17 00:00:00",6720589,195204
"2023-03-16 00:00:00",6525385,202045
"2023-03-15 00:00:00",6323340,205824
"2023-03-14 00:00:00",6117516,190367
"2023-03-13 00:00:00",5927149,215986
"2023-03-12 00:00:00",5711163,252263
"2023-03-11 00:00:00",5458900,262278
"2023-03-10 00:00:00",5196622,275902
"2023-03-09 00:00:00",4920720,284382
"2023-03-08 00:00:00",4636338,288075
"2023-03-07 00:00:00",4348263,260283
"2023-03-06 00:00:00",4087980,305078
"2023-03-05 00:00:00",3782902,399185
"2023-03-04 00:00:00",3383717,422849
"2023-03-03 00:00:00",2960868,460029
"2023-03-02 00:00:00",2500839,464057
"2023-03-01 00:00:00",2036782,461137
"2023-02-28 00:00:00",1575645,409701
"2023-02-27 00:00:00",1165944,500912
"2023-02-26 00:00:00",665032,0
