Date,Playlist Count,Playlist Total Reach,Editorial Playlist Count,Editorial Playlist Total Reach
"Feb 25, 2023",461,"124,928",,
"Feb 26, 2023",501,"200,763",1,55
"Feb 27, 2023",523,"229,427",1,55
"Mar 01, 2023",479,"236,178",1,55
"Mar 02, 2023",601,"319,331",1,55
"Mar 03, 2023",724,"333,437",1,55
"Mar 04, 2023",806,"361,170",1,55
"Mar 05, 2023",918,"297,896",1,55
"Mar 06, 2023",998,"310,507",1,55
"Mar 07, 2023","1,105","315,342",1,55
"Mar 08, 2023","1,188","316,807",1,55
"Mar 09, 2023","1,266","318,311",1,55
"Mar 10, 2023","1,325","313,903",1,55
"Mar 11, 2023","1,422","322,025",1,55
"Mar 12, 2023","1,493","328,220",1,55
"Mar 13, 2023","1,570","330,930",1,55
"Mar 14, 2023","1,649","333,958",1,55
"Mar 15, 2023","1,733","342,262",1,55
"Mar 16, 2023","1,808","343,930",1,55
"Mar 17, 2023","1,916","346,205",1,55
"Mar 18, 2023","2,046","348,532",1,55
"Mar 19, 2023","2,182","352,868",1,55
"Mar 20, 2023","2,272","354,421",1,55
"Mar 21, 2023","2,384","357,012",1,55
"Mar 22, 2023","2,481","358,806",1,55
"Mar 23, 2023","2,615","360,668",1,55
"Mar 24, 2023","2,724","363,379",1,55
"Mar 25, 2023","2,961","368,887",1,55
"Mar 26, 2023","3,003","370,242",1,55
"Mar 27, 2023","3,061","371,758",1,55
"Mar 28, 2023","3,108","372,340",1,55
"Mar 29, 2023","3,140","372,809",1,55
"Mar 30, 2023","3,186","375,541",1,55
"Mar 31, 2023","3,216","375,880",1,55
"Apr 01, 2023","3,259","376,464",1,55
"Apr 02, 2023","3,288","378,854",1,55
"Apr 03, 2023","3,303","378,132",1,55
"Apr 04, 2023","3,335","378,557",1,55
"Apr 05, 2023","3,349","377,206",1,55
"Apr 06, 2023","3,373","377,931",1,55
"Apr 07, 2023","3,398","378,776",1,55
"Apr 08, 2023","3,423","378,550",1,55
"Apr 09, 2023","3,447","379,274",1,55
"Apr 10, 2023","3,467","379,437",1,55
"Apr 11, 2023","3,494","380,028",1,55
"Apr 12, 2023","3,521","396,589",1,55
"Apr 13, 2023","3,545","402,047",1,55
"Apr 14, 2023","3,570","402,919",1,55
"Apr 15, 2023","3,581","404,576",1,55
"Apr 16, 2023","3,608","405,209",1,55
"Apr 17, 2023","3,628","406,111",1,55
"Apr 18, 2023","3,650","407,054",1,55
"Apr 19, 2023","3,685","408,012",1,55
"Apr 20, 2023","3,702","408,835",1,55
"Apr 21, 2023","3,716","409,081",1,55
"Apr 22, 2023","3,727","409,436",1,55
"Apr 23, 2023","3,737","410,161",1,55
"Apr 24, 2023","3,752","410,808",1,55
"Apr 25, 2023","3,772","410,998",1,55
"Apr 26, 2023","3,793","412,126",1,55
"Apr 27, 2023","3,809","414,235",1,55
"Apr 28, 2023","3,824","410,327",1,55
"Apr 29, 2023","3,839","415,280",1,55
"Apr 30, 2023","3,858","410,282",1,55
"May 01, 2023","3,869","345,322",1,55
"May 02, 2023","3,889","345,809",1,55
"May 03, 2023","3,897","346,479",1,55
"May 04, 2023","3,919","344,422",1,55
"May 05, 2023","3,927","343,877",1,55
"May 06, 2023","3,945","344,478",1,55
"May 07, 2023","3,960","345,734",1,55
"May 08, 2023","3,975","346,321",1,55
"May 09, 2023","3,984","346,654",1,55
"May 10, 2023","3,998","347,037",1,55
"May 11, 2023","4,012","347,234",1,55
"May 12, 2023","4,025","347,823",1,55
"May 13, 2023","4,045","348,579",1,55
"May 14, 2023","4,066","347,581",1,55
"May 15, 2023","4,083","348,737",1,55
"May 16, 2023","4,094","348,244",1,55
"May 17, 2023","4,102","347,960",1,55
Invalid date,,,,
